run,trial,ytrue,ypred
0,0,-0.37,0.0
0,1,-0.08,-0.36999999999999994
0,2,-0.8,-0.2017999999999998
0,3,-0.3,-0.23299999999999976
0,4,-0.61,-0.3362999999999999
0,5,-0.69,-0.5048999999999992
0,6,-0.23,-0.586899999999999
0,7,0.17,-0.2881000000000001
0,8,0.63,-0.30840000000000023
0,9,-0.1,-0.010600000000000005
1,0,-0.04,0.0
1,1,0.65,-0.04000000000000003
1,2,-0.25,0.2774000000000001
1,3,-0.53,-0.022600000000000023
1,4,-0.16,0.11110000000000006
1,5,0.0,-0.10679999999999996
1,6,-0.03,-0.031000000000000014
1,7,-0.07,0.010799999999999994
1,8,0.01,-0.11900000000000002
1,9,-0.09,-0.1426
2,0,-0.43,0.0
2,1,0.41,-0.42999999999999977
2,2,-0.51,-0.15279999999999988
2,3,-0.13,-0.24480000000000018
2,4,0.02,-0.18779999999999997
2,5,0.13,-0.24450000000000005
2,6,0.79,-0.07829999999999998
2,7,-0.73,-0.21960000000000007
2,8,-0.31,-0.22400000000000006
2,9,-0.47,-0.13339999999999996
3,0,0.68,0.0
3,1,-0.04,0.6800000000000002
3,2,-0.63,0.14000000000000024
3,3,-0.55,-0.2498999999999997
3,4,-0.75,-0.22899999999999987
3,5,-0.61,-0.039099999999999996
3,6,0.43,-0.012100000000000005
3,7,-0.72,0.01780000000000004
3,8,-0.6,-0.5715999999999998
3,9,-0.08,-0.5864999999999999
4,0,-0.44,0.0
4,1,0.42,-0.4399999999999998
4,2,-0.75,-0.28520000000000023
4,3,-0.16,-0.2079
4,4,0.3,-0.37529999999999986
4,5,-0.94,-0.4755999999999996
4,6,-0.87,-0.7276999999999991
4,7,-0.46,-0.3973
4,8,-1.0,-0.8145999999999995
4,9,-0.77,-0.7424999999999993
5,0,0.65,0.0
5,1,-0.43,0.6499999999999991
5,2,-0.56,-0.12759999999999974
5,3,-0.08,-0.17960000000000004
5,4,-0.35,0.12860000000000013
5,5,-0.22,-0.1864999999999999
5,6,-0.02,-0.10799999999999998
5,7,-0.56,-0.3095999999999999
5,8,-0.03,-0.03360000000000002
5,9,-0.77,-0.2124999999999998
6,0,-0.07,0.0
6,1,-0.58,-0.07000000000000009
6,2,0.14,-0.34029999999999966
6,3,-0.04,-0.25839999999999974
6,4,-0.68,-0.2736999999999998
6,5,-0.22,-0.2531999999999997
6,6,-0.31,-0.40349999999999975
6,7,-0.22,-0.19999999999999982
6,8,-0.75,-0.20809999999999979
6,9,0.32,-0.3452999999999998
7,0,-0.27,0.0
7,1,-0.22,-0.26999999999999963
7,2,-0.12,-0.2579999999999998
7,3,0.11,-0.18349999999999994
7,4,0.06,-0.1447999999999999
7,5,0.0,0.0023000000000000086
7,6,-0.74,-0.059200000000000016
7,7,-0.25,-0.35929999999999984
7,8,-0.18,-0.1631
7,9,0.03,-0.1650999999999999
8,0,-0.1,0.0
8,1,-0.28,-0.09999999999999981
8,2,-0.42,-0.20980000000000001
8,3,-0.63,-0.29780000000000056
8,4,0.07,-0.43680000000000063
8,5,-0.42,-0.3635000000000002
8,6,0.09,-0.3241000000000006
8,7,0.61,-0.1494999999999999
8,8,-0.13,-0.1799000000000001
8,9,-0.02,-0.044299999999999944
9,0,-0.47,0.0
9,1,-0.01,-0.46999999999999936
9,2,-0.37,-0.36419999999999964
9,3,-0.67,-0.3965999999999996
9,4,-0.3,-0.46799999999999947
9,5,-0.68,-0.3933999999999997
9,6,-0.61,-0.5195999999999996
9,7,0.01,-0.3642999999999999
9,8,0.21,-0.37970000000000004
9,9,0.44,-0.15620000000000003
10,0,-0.43,0.0
10,1,0.1,-0.42999999999999977
10,2,-0.26,-0.05900000000000007
10,3,-0.49,-0.2835999999999999
10,4,0.33,-0.1285
10,5,0.15,-0.22930000000000006
