run,trial,ytrue,ypred
0,0,-0.62,0.0
0,1,-0.81,-0.6199999999999989
0,2,-0.51,-0.7359000000000008
0,3,0.1,-0.6991000000000003
0,4,-0.26,-0.3461999999999999
0,5,-0.57,-0.1506
0,6,-0.33,-0.4207999999999997
0,7,-0.5,-0.37309999999999977
0,8,-0.68,-0.24660000000000004
0,9,-0.71,-0.44339999999999935
1,0,-0.4,0.0
1,1,-0.1,-0.39999999999999925
1,2,-0.59,-0.22300000000000014
1,3,-0.76,-0.2728000000000001
1,4,-0.71,-0.32630000000000015
1,5,-0.32,-0.28820000000000034
1,6,-0.43,-0.5972000000000004
1,7,-0.13,-0.34250000000000036
1,8,-0.67,-0.5974000000000006
1,9,-0.81,-0.5439000000000003
2,0,-0.9,0.0
2,1,-0.45,-0.9000000000000008
2,2,-0.53,-0.7470000000000004
2,3,-0.24,-0.6736000000000003
2,4,-0.72,-0.6444000000000001
2,5,0.63,-0.5666000000000002
2,6,-0.35,-0.6841000000000002
2,7,-0.73,-0.5102
2,8,-0.7,-0.5791999999999997
2,9,-0.27,-0.5692999999999998
3,0,-0.51,0.0
3,1,-0.7,-0.5099999999999997
3,2,-0.62,-0.5765000000000002
3,3,-0.48,-0.5530999999999995
3,4,-0.36,-0.5747999999999996
3,5,-0.29,-0.6626000000000009
3,6,-0.54,-0.4654999999999998
3,7,-0.13,-0.5085999999999995
3,8,-0.56,-0.4584999999999997
3,9,-0.72,-0.46459999999999946
4,0,-0.64,0.0
4,1,-0.49,-0.6400000000000005
4,2,-0.42,-0.5935000000000005
4,3,-0.44,-0.5408000000000007
4,4,-0.21,-0.4436000000000007
4,5,-0.82,-0.49230000000000024
4,6,0.11,-0.5043000000000003
4,7,-0.24,-0.5685000000000002
4,8,-0.33,-0.3050999999999999
4,9,-0.78,-0.21300000000000036
5,0,-0.53,0.0
5,1,-0.47,-0.5300000000000007
5,2,-0.67,-0.5084000000000002
5,3,-0.51,-0.5640000000000008
5,4,-0.71,-0.5932000000000005
5,5,-0.64,-0.6540000000000006
5,6,-0.49,-0.5227
5,7,-0.75,-0.6216000000000006
5,8,-0.72,-0.6168000000000002
5,9,-0.51,-0.5758000000000003
6,0,-0.55,0.0
6,1,-0.4,-0.549999999999999
6,2,-0.59,-0.4554999999999992
6,3,-0.33,-0.47419999999999957
6,4,-0.78,-0.5285000000000002
6,5,-0.69,-0.4545999999999994
6,6,-0.3,-0.4580999999999993
6,7,-0.21,-0.6801
6,8,-0.37,-0.5582
6,9,-0.11,-0.39860000000000034
7,0,-0.42,0.0
7,1,-0.9,-0.420000000000001
7,2,-0.35,-0.7896000000000006
7,3,-0.56,-0.5902000000000002
7,4,-0.62,-0.5848000000000004
7,5,-0.13,-0.48080000000000034
7,6,-0.61,-0.6441000000000001
7,7,-0.5,-0.5653000000000001
7,8,-0.66,-0.5584000000000002
7,9,-0.46,-0.5190000000000001
8,0,-0.69,0.0
8,1,-0.76,-0.6899999999999991
8,2,0.0,-0.7207999999999996
8,3,-0.11,-0.5069999999999998
8,4,-0.51,-0.2425999999999999
8,5,-0.29,-0.3869
8,6,-0.54,-0.3419
8,7,0.24,-0.3238
8,8,-1.0,-0.4075000000000001
8,9,-0.54,-0.38189999999999996
9,0,-0.73,0.0
9,1,0.4,-0.7299999999999993
9,2,-0.17,-0.17630000000000035
9,3,0.1,-0.4262
9,4,-0.27,-0.07960000000000006
9,5,-0.71,0.11780000000000011
9,6,-0.69,-0.3226000000000005
9,7,0.04,-0.34379999999999994
9,8,-0.67,-0.27250000000000013
9,9,-0.22,-0.18710000000000002
10,0,-0.55,0.0
10,1,-0.02,-0.549999999999999
10,2,-0.62,-0.38040000000000007
10,3,-0.56,-0.5505999999999993
10,4,-0.76,-0.5579999999999997
10,5,-0.68,-0.5493999999999996
10,6,-0.33,-0.24069999999999983
10,7,-0.35,-0.5320999999999997
10,8,-0.47,-0.6431999999999995
10,9,-0.53,-0.41140000000000015
11,0,-0.28,0.0
11,1,-0.72,-0.28000000000000036
11,2,-0.95,-0.4120000000000003
11,3,-0.25,-0.6898000000000007
11,4,-0.81,-0.4024000000000001
11,5,-0.55,-0.5567000000000004
11,6,-0.32,-0.7034000000000007
11,7,-0.9,-0.6138
11,8,-0.51,-0.5166000000000002
11,9,-0.46,-0.5742000000000002
12,0,-0.63,0.0
12,1,-0.77,-0.6300000000000011
12,2,-0.51,-0.669200000000001
12,3,-0.68,-0.6672000000000008
12,4,-0.56,-0.6657000000000007
12,5,-0.43,-0.6622000000000002
12,6,-0.6,-0.5661000000000003
12,7,0.24,-0.6077000000000008
12,8,-0.22,-0.4640000000000004
12,9,-0.62,-0.1320999999999999
13,0,-0.13,0.0
13,1,-0.47,-0.13000000000000025
13,2,-0.69,-0.3747999999999997
13,3,-0.51,-0.5053999999999995
13,4,-0.4,-0.3369999999999999
13,5,-0.21,-0.3277999999999998
13,6,-0.47,-0.2593000000000002
13,7,-0.44,-0.3654999999999998
13,8,-0.53,-0.4976999999999996
13,9,-0.19,-0.5265
14,0,-0.05,0.0
14,1,-0.01,-0.049999999999999906
14,2,-0.67,-0.038799999999999925
14,3,-0.25,-0.20100000000000035
14,4,-0.72,-0.3256000000000004
14,5,-0.47,-0.5519999999999997
14,6,-0.15,-0.18730000000000022
14,7,-0.22,-0.13910000000000006
14,8,-0.44,-0.47649999999999965
14,9,-0.59,-0.22720000000000012
15,0,-0.82,0.0
15,1,0.11,-0.8199999999999987
15,2,-0.62,-0.34570000000000034
15,3,0.04,-0.2505000000000003
15,4,-0.35,-0.34690000000000043
15,5,-0.62,0.006700000000000006
15,6,-0.35,-0.4622000000000002
15,7,-0.67,-0.47570000000000023
15,8,-0.68,-0.44569999999999993
15,9,-0.6,-0.5218000000000007
16,0,-0.58,0.0
16,1,-0.47,-0.5799999999999987
16,2,-0.37,-0.533799999999999
16,3,-0.6,-0.4336999999999995
16,4,-0.4,-0.4587999999999994
16,5,-0.17,-0.4377999999999993
16,6,0.73,-0.38999999999999974
16,7,-0.74,-0.30169999999999997
16,8,-0.63,-0.5523
16,9,-0.62,-0.5257000000000002
17,0,-0.62,0.0
17,1,-0.44,-0.6199999999999989
17,2,0.4,-0.5137999999999994
17,3,-0.71,0.11920000000000021
17,4,0.04,-0.47389999999999977
17,5,-0.99,-0.41570000000000007
17,6,-0.7,-0.5574000000000003
17,7,-0.67,-0.3929000000000002
17,8,-0.13,-0.5855999999999998
17,9,-0.41,-0.4738
18,0,-0.56,0.0
18,1,-0.98,-0.5600000000000007
18,2,-0.62,-0.6608000000000003
18,3,0.06,-0.7190000000000001
18,4,0.73,-0.426
18,5,-0.16,-0.17139999999999994
18,6,-0.59,0.16860000000000006
18,7,-0.69,-0.21049999999999994
18,8,-0.7,-0.23309999999999997
18,9,-0.49,-0.6417999999999999
19,0,-0.44,0.0
19,1,-0.64,-0.4399999999999998
19,2,-0.41,-0.5219999999999998
19,3,-0.52,-0.5597999999999999
19,4,-0.35,-0.4407999999999996
19,5,-0.24,-0.4669000000000003
19,6,-0.67,-0.3739000000000001
19,7,-0.7,-0.4045000000000003
19,8,-0.35,-0.5870000000000004
19,9,-0.6,-0.5714000000000007
20,0,-0.19,0.0
20,1,-0.09,-0.19000000000000006
20,2,-0.68,-0.11699999999999992
20,3,-0.58,-0.5012000000000003
20,4,-0.56,-0.47539999999999966
20,5,-0.67,-0.20010000000000008
20,6,-0.17,-0.4762999999999999
20,7,-0.39,-0.5167999999999997
20,8,-0.47,-0.37680000000000036
20,9,-0.33,-0.5005000000000005
21,0,-0.71,0.0
21,1,-0.47,-0.71
21,2,-0.35,-0.5923999999999999
21,3,-0.69,-0.46160000000000023
21,4,-0.95,-0.5626000000000002
21,5,-0.67,-0.6001999999999996
21,6,-0.21,-0.7016000000000001
21,7,-0.65,-0.4224000000000006
21,8,0.05,-0.5155999999999998
21,9,-0.33,-0.2761999999999998
22,0,-0.62,0.0
22,1,-0.31,-0.6199999999999989
22,2,-0.51,-0.5021999999999996
22,3,-0.34,-0.40329999999999994
22,4,-0.91,-0.3632000000000002
22,5,-0.64,-0.6076999999999992
22,6,-0.86,-0.5547
22,7,-0.6,-0.4766000000000002
22,8,-0.72,-0.4661000000000006
22,9,-0.4,-0.5684999999999998
23,0,-0.76,0.0
23,1,-0.56,-0.7600000000000002
23,2,-0.5,-0.7300000000000003
23,3,-0.42,-0.6535999999999998
23,4,-0.21,-0.5962
23,5,-0.6,-0.5665000000000004
23,6,-0.13,-0.3723000000000007
23,7,-0.16,-0.34660000000000013
23,8,-0.29,-0.21570000000000017
23,9,-0.39,-0.2638999999999999
24,0,-0.51,0.0
24,1,-0.82,-0.5099999999999997
24,2,-0.91,-0.5967999999999997
24,3,-0.33,-0.7759999999999988
24,4,-0.63,-0.7120999999999991
24,5,-0.28,-0.7511999999999989
24,6,0.63,-0.514
24,7,-0.52,-0.7105999999999986
24,8,-0.54,-0.4349
24,9,-0.5,0.2549999999999999
25,0,-0.53,0.0
25,1,-0.01,-0.5300000000000007
25,2,-0.47,-0.3376000000000004
25,3,-0.58,-0.27600000000000025
25,4,-0.54,-0.36419999999999975
25,5,-0.29,-0.4056999999999995
25,6,-0.25,-0.49309999999999976
25,7,-0.82,-0.4414999999999996
25,8,-0.16,-0.32559999999999995
25,9,-0.51,-0.21240000000000017
26,0,-0.52,0.0
26,1,-0.43,-0.520000000000001
