run,trial,ytrue,ypred
0,0,-0.73,0.0
0,1,0.15,-0.7299999999999993
0,2,0.88,-0.07879999999999995
0,3,0.47,0.3726999999999998
0,4,-0.15,0.1761
0,5,-0.57,-0.4205999999999998
0,6,0.55,0.38330000000000003
0,7,0.1,0.46719999999999956
0,8,-0.16,0.048399999999999874
0,9,0.6,0.48830000000000007
1,0,-0.34,0.0
1,1,0.07,-0.3400000000000001
1,2,0.55,-0.1759999999999999
1,3,-0.79,0.033499999999999995
1,4,0.01,-0.20879999999999968
1,5,0.23,-0.0007999999999999774
1,6,0.2,0.21360000000000032
1,7,-0.48,-0.5516999999999999
1,8,0.72,0.2773
1,9,0.7,0.44319999999999965
2,0,-0.15,0.0
2,1,0.15,-0.15000000000000024
2,2,0.2,-0.041999999999999996
2,3,0.07,0.1264999999999999
2,4,0.7,0.12879999999999991
2,5,-0.73,-0.016899999999999984
2,6,0.89,0.5391000000000007
2,7,-0.3,-0.08280000000000008
2,8,0.27,0.5746000000000011
2,9,0.6,0.4915000000000006
3,0,0.1,0.0
3,1,0.15,0.09999999999999981
3,2,1.0,0.11449999999999992
3,3,0.37,0.5345
3,4,0.23,0.17709999999999992
3,5,0.02,0.18019999999999997
3,6,0.23,0.18580000000000016
3,7,0.89,0.7123199999999997
3,8,0.47,0.2173133333333335
3,9,-0.34,0.10637190476190474
4,0,-0.43,0.0
4,1,-0.23,-0.42999999999999977
4,2,-0.34,-0.30600000000000016
4,3,0.27,-0.29280000000000017
4,4,0.15,-0.32409999999999994
4,5,0.07,-0.05540000000000001
4,6,0.89,0.19979999999999978
4,7,-0.57,-0.3319
4,8,-0.73,-0.5085000000000002
4,9,-0.15,-0.17380000000000018
5,0,0.01,0.0
5,1,0.02,0.010000000000000007
5,2,0.1,0.01590000000000001
5,3,-0.15,0.01540000000000001
5,4,0.07,0.07339999999999987
5,5,-0.48,-0.045200000000000046
5,6,-1.0,-0.3674999999999999
5,7,0.89,0.02230000000000004
5,8,1.0,0.6079000000000006
5,9,0.55,0.03470000000000001
6,0,-0.3,0.0
6,1,0.89,-0.3000000000000005
6,2,0.15,0.30689999999999995
6,3,0.27,0.46960000000000035
6,4,0.23,0.2933999999999998
6,5,0.37,0.34710000000000013
6,6,0.7,0.5467000000000006
6,7,-0.73,-0.13860000000000017
