run,trial,ytrue,ypred
0,0,-0.67,0.0
0,1,-0.62,-0.6700000000000013
0,2,-0.79,-0.6550000000000005
0,3,-0.57,-0.6395999999999996
0,4,-0.58,-0.5957
0,5,-0.48,-0.6082999999999994
0,6,-0.72,-0.6665000000000003
0,7,-0.8,-0.6380999999999992
0,8,-0.63,-0.6000999999999991
0,9,-0.79,-0.5491999999999991
1,0,-0.24,0.0
1,1,-0.89,-0.2399999999999996
1,2,-0.64,-0.4220000000000001
1,3,-0.27,-0.5625000000000004
1,4,-0.51,-0.4376000000000001
1,5,-0.8,-0.5548000000000005
1,6,-0.66,-0.5251000000000005
1,7,-0.54,-0.33640000000000003
1,8,-0.53,-0.5446000000000004
1,9,-0.59,-0.5425999999999999
2,0,-0.74,0.0
2,1,-0.89,-0.7399999999999999
2,2,-0.49,-0.7669999999999998
2,3,-0.67,-0.6795000000000003
2,4,-0.66,-0.6851000000000009
2,5,-0.57,-0.6887000000000002
2,6,-0.74,-0.7132999999999999
2,7,-0.59,-0.5897000000000006
2,8,-0.88,-0.8133999999999998
2,9,-0.7,-0.5308000000000006
3,0,-0.64,0.0
3,1,-0.68,-0.6400000000000005
3,2,-0.49,-0.6708000000000003
3,3,-0.6,-0.6358
3,4,-0.43,-0.6118000000000006
3,5,-0.67,-0.5763999999999998
3,6,-0.62,-0.5443000000000005
3,7,-0.75,-0.5939000000000005
3,8,-0.81,-0.6092
3,9,-0.58,-0.6373000000000006
4,0,-0.58,0.0
4,1,-0.32,-0.5799999999999987
4,2,-0.52,-0.4343999999999996
4,3,-0.65,-0.39379999999999993
4,4,-0.79,-0.4069
4,5,-0.69,-0.5195000000000008
4,6,-0.88,-0.5588000000000003
4,7,0.13,-0.6620999999999992
4,8,-0.53,-0.7514000000000002
4,9,-0.65,-0.4236
5,0,-0.55,0.0
5,1,-0.88,-0.549999999999999
5,2,-0.76,-0.7875999999999996
5,3,-0.58,-0.6321999999999995
5,4,-0.57,-0.5979999999999989
5,5,-1.0,-0.7156999999999998
5,6,-0.65,-0.5814999999999997
5,7,-0.76,-0.6557
5,8,-0.65,-0.601199999999999
5,9,-0.69,-0.8097
6,0,-0.88,0.0
6,1,-0.84,-0.8799999999999996
6,2,-0.45,-0.8540000000000013
6,3,-0.84,-0.7312000000000016
6,4,-0.81,-0.5713000000000011
6,5,-0.62,-0.8415000000000014
6,6,-0.55,-0.5649000000000003
6,7,-0.86,-0.7724000000000008
6,8,-0.61,-0.6878999999999996
6,9,-0.47,-0.5430000000000006
7,0,-0.79,0.0
7,1,1.0,-0.7900000000000006
7,2,-0.86,-0.3424999999999996
7,3,-0.5,0.4788000000000002
7,4,-0.59,0.5319
7,5,-0.46,-0.6929999999999998
7,6,-0.86,-0.7885
7,7,-0.56,-0.8390999999999997
7,8,-0.69,-0.6568000000000004
