run,trial,ytrue,ypred
0,0,-0.1,0.0
0,1,0.37,-0.09999999999999981
0,2,0.99,0.28070000000000017
0,3,0.07,0.42529999999999957
0,4,-0.71,0.24119999999999991
1,0,0.37,0.0
1,1,-0.21,0.36999999999999994
1,2,-0.01,-0.024399999999999967
1,3,-0.08,0.0020000000000000196
1,4,-0.2,0.043000000000000024
2,0,-0.72,0.0
2,1,-0.38,-0.7199999999999993
2,2,-0.69,-0.45140000000000036
2,3,-0.73,-0.5643999999999999
2,4,-0.42,-0.6739999999999992
3,0,0.73,0.0
3,1,1.0,0.7299999999999993
3,2,-0.18,0.8785000000000001
3,3,-0.29,0.5157999999999999
3,4,-0.52,0.5165999999999995
4,0,-0.29,0.0
4,1,0.52,-0.28999999999999937
4,2,1.0,0.22029999999999994
4,3,-0.08,0.5353000000000003
4,4,-1.0,0.016899999999999984
5,0,0.37,0.0
5,1,-0.33,0.36999999999999994
5,2,0.73,0.06200000000000001
5,3,-0.35,0.3948
5,4,-0.33,-0.12159999999999989
6,0,-0.52,0.0
6,1,-0.29,-0.520000000000001
6,2,-0.38,-0.4441000000000003
6,3,-0.52,-0.4010000000000001
6,4,-0.32,-0.47230000000000066
7,0,0.52,0.0
7,1,-0.59,0.520000000000001
7,2,-0.29,0.12039999999999988
7,3,0.07,0.00970000000000003
7,4,-0.72,-0.22579999999999983
8,0,0.14,0.0
8,1,-1.0,0.14000000000000018
8,2,0.07,-0.13360000000000002
8,3,1.0,-0.08389999999999997
8,4,-0.18,0.3035000000000002
9,0,-0.69,0.0
9,1,-0.33,-0.6899999999999991
9,2,0.14,-0.5207999999999992
9,3,0.52,-0.2623999999999997
9,4,0.71,0.19000000000000003
10,0,0.73,0.0
10,1,0.37,0.7299999999999993
10,2,-0.71,0.45279999999999937
10,3,0.07,0.16119999999999984
10,4,-0.29,0.06940000000000004
11,0,0.08,0.0
11,1,-0.21,0.08000000000000006
11,2,-0.08,-0.03889999999999996
11,3,-0.46,-0.036699999999999997
11,4,-0.52,-0.23400000000000024
12,0,-0.21,0.0
12,1,-0.01,-0.2100000000000005
12,2,-0.33,-0.13400000000000015
12,3,-0.08,-0.2548
12,4,1.0,-0.25129999999999997
13,0,-0.26,0.0
13,1,0.07,-0.2600000000000005
13,2,-0.1,-0.11149999999999986
