run,trial,ytrue,ypred
0,0,0.34,0.0
0,1,-0.37,0.3400000000000001
0,2,-0.37,-0.10729999999999995
0,3,0.05,0.0063000000000000365
0,4,-0.76,-0.20439999999999986
1,0,0.5,0.0
1,1,-0.16,0.5
1,2,0.05,0.14359999999999995
1,3,0.08,0.3704000000000001
1,4,-0.13,0.17359999999999992
2,0,-0.24,0.0
2,1,-0.32,-0.2399999999999996
2,2,-0.76,-0.28079999999999966
2,3,-0.68,-0.35760000000000003
2,4,-0.39,-0.6511999999999999
3,0,0.13,0.0
3,1,-0.76,0.13000000000000025
3,2,0.05,-0.19929999999999995
3,3,0.11,0.009300000000000015
3,4,-0.11,-0.5460999999999996
4,0,-0.55,0.0
4,1,-0.47,-0.549999999999999
4,2,0.21,-0.5027999999999994
4,3,0.13,-0.0955999999999999
4,4,0.03,0.0003999999999999815
5,0,0.68,0.0
5,1,0.61,0.6800000000000002
5,2,-0.39,0.6253999999999995
5,3,-0.61,0.10769999999999982
5,4,-0.34,-0.40920000000000006
6,0,0.05,0.0
6,1,-0.13,0.049999999999999906
6,2,-0.11,-0.038200000000000005
6,3,-0.34,-0.08480000000000003
6,4,-0.89,-0.1673999999999999
7,0,0.21,0.0
7,1,-0.71,0.2100000000000005
7,2,0.03,-0.020000000000000007
7,3,-0.58,-0.44480000000000025
7,4,0.47,-0.22159999999999982
8,0,-0.45,0.0
8,1,-0.39,-0.4500000000000004
8,2,0.13,-0.4230000000000004
8,3,-0.11,-0.16959999999999972
8,4,-0.74,-0.3551999999999999
9,0,0.11,0.0
9,1,-0.18,0.10999999999999995
9,2,0.11,0.025900000000000006
9,3,-0.95,-0.10169999999999992
9,4,0.11,-0.2766
10,0,-0.76,0.0
10,1,0.08,-0.7600000000000002
10,2,-0.05,-0.15519999999999995
10,3,-0.39,-0.24660000000000043
10,4,-0.76,-0.5475999999999998
11,0,-0.24,0.0
11,1,0.05,-0.2399999999999996
11,2,0.11,-0.048600000000000115
11,3,-0.18,-0.12900000000000003
11,4,0.24,0.031299999999999946
12,0,0.0,0.0
12,1,-0.53,0.0
12,2,-0.58,-0.4293000000000005
12,3,-0.11,-0.2528
12,4,0.13,-0.16129999999999986
13,0,-0.05,0.0
13,1,-0.76,-0.049999999999999906
13,2,-0.18,-0.27010000000000045
13,3,-0.47,-0.27230000000000026
13,4,-0.42,-0.6023999999999994
14,0,-0.55,0.0
14,1,-0.13,-0.549999999999999
14,2,-0.24,-0.4491999999999999
14,3,-0.82,-0.3848999999999998
14,4,0.29,-0.5116000000000005
15,0,-0.71,0.0
15,1,-0.11,-0.71
15,2,-0.11,-0.3560000000000001
15,3,-0.16,-0.2599999999999999
15,4,0.29,-0.13849999999999985
16,0,1.0,0.0
16,1,-0.66,1.0
16,2,-0.55,-0.12880000000000008
16,3,-0.5,0.5439000000000002
16,4,-0.5,0.30289999999999995
17,0,-0.68,0.0
17,1,0.0,-0.6800000000000002
17,2,0.21,-0.12919999999999995
17,3,-0.24,-0.4460999999999998
17,4,-0.79,-0.3823999999999997
18,0,-0.5,0.0
18,1,-0.13,-0.5
18,2,-0.29,-0.2557999999999998
18,3,-0.18,-0.3458999999999998
18,4,-0.16,-0.16270000000000018
19,0,-0.16,0.0
19,1,0.21,-0.16000000000000011
19,2,-0.55,0.05089999999999998
19,3,-0.45,-0.36619999999999986
19,4,-0.82,-0.4348999999999998
20,0,0.0,0.0
20,1,-0.26,0.0
20,2,-0.34,-0.12999999999999992
20,3,-0.37,-0.060199999999999976
20,4,-0.26,-0.2237000000000001
21,0,-0.76,0.0
21,1,0.13,-0.7600000000000002
21,2,-0.18,-0.25270000000000026
21,3,-0.53,-0.2502000000000001
21,4,0.37,-0.19129999999999991
22,0,-1.0,0.0
22,1,-0.11,-1.0
22,2,0.11,-0.2879999999999997
22,3,-0.24,-0.7090000000000001
22,4,-0.18,-0.0611
23,0,-0.66,0.0
23,1,-0.24,-0.6599999999999983
23,2,0.05,-0.48779999999999946
23,3,0.13,-0.06680000000000007
23,4,-0.34,-0.5013999999999994
24,0,-0.26,0.0
24,1,-0.5,-0.2600000000000005
24,2,0.0,-0.4016000000000002
24,3,-0.68,-0.3568000000000001
24,4,-0.76,-0.28220000000000023
25,0,1.0,0.0
25,1,-0.13,1.0
25,2,-0.18,0.3333000000000002
25,3,0.11,0.005499999999999978
25,4,0.08,0.0177
26,0,-0.76,0.0
26,1,-0.05,-0.7600000000000002
26,2,-0.18,-0.5895999999999995
26,3,-0.18,-0.2551000000000001
26,4,-1.0,-0.49639999999999973
27,0,0.47,0.0
27,1,-0.16,0.46999999999999936
27,2,-0.29,0.2683999999999998
27,3,0.61,0.17050000000000007
27,4,-0.05,0.40159999999999973
28,0,0.05,0.0
28,1,-0.11,0.049999999999999906
28,2,-0.05,-0.026800000000000032
28,3,-0.66,-0.06100000000000001
28,4,0.82,-0.05500000000000012
29,0,-0.5,0.0
29,1,-0.95,-0.5
29,2,-0.05,-0.6620000000000004
29,3,-0.05,-0.3560000000000001
29,4,-0.18,-0.7655000000000008
30,0,-0.18,0.0
30,1,-0.18,-0.17999999999999983
30,2,-0.18,-0.17999999999999983
30,3,-0.24,-0.17999999999999983
30,4,0.34,-0.18839999999999982
31,0,-0.26,0.0
31,1,-0.32,-0.2600000000000005
31,2,-0.16,-0.2858000000000004
31,3,0.0,-0.24280000000000018
31,4,0.0,-0.0852
32,0,-0.05,0.0
32,1,-0.29,-0.049999999999999906
32,2,-0.53,-0.16519999999999996
32,3,0.13,-0.27080000000000015
32,4,-0.68,-0.2197999999999997
33,0,0.0,0.0
33,1,-0.26,0.0
33,2,-0.16,-0.10399999999999993
33,3,-0.74,-0.07260000000000003
33,4,0.29,-0.1986000000000001
34,0,-0.13,0.0
34,1,0.0,-0.13000000000000025
34,2,-0.24,-0.07669999999999995
34,3,0.0,-0.07709999999999999
34,4,-0.13,-0.02209999999999999
35,0,-0.37,0.0
35,1,0.68,-0.36999999999999994
35,2,0.34,0.344
35,3,-0.76,0.13259999999999997
35,4,-0.39,-0.4304999999999999
36,0,0.0,0.0
36,1,1.0,0.0
36,2,-0.58,0.77
36,3,0.05,0.6104
36,4,-0.39,0.15830000000000002
37,0,-0.68,0.0
37,1,0.21,-0.6800000000000002
37,2,-0.34,-0.3239999999999996
37,3,-0.39,-0.41199999999999987
37,4,-0.74,-0.37060000000000004
38,0,-0.18,0.0
38,1,-0.61,-0.17999999999999983
38,2,-0.26,-0.30469999999999975
38,3,-0.18,-0.2764000000000002
38,4,-0.16,-0.2989999999999998
39,0,0.13,0.0
39,1,-0.05,0.13000000000000025
39,2,0.5,0.09400000000000003
39,3,-0.71,0.04500000000000005
39,4,0.18,0.07870000000000002
40,0,-0.87,0.0
40,1,-0.45,-0.8700000000000004
40,2,0.05,-0.5424000000000007
40,3,0.11,-0.21099999999999958
40,4,-0.82,-0.5493999999999999
41,0,-0.05,0.0
41,1,0.5,-0.049999999999999906
41,2,-0.53,0.1864999999999998
41,3,-0.08,0.09129999999999995
41,4,-0.18,-0.039299999999999995
42,0,-0.18,0.0
42,1,-0.95,-0.17999999999999983
42,2,-0.08,-0.4880000000000002
42,3,-0.11,-0.5543000000000002
42,4,-0.11,-0.23399999999999965
43,0,-0.76,0.0
43,1,-0.26,-0.7600000000000002
43,2,-0.68,-0.37500000000000017
43,3,0.11,-0.4641999999999997
43,4,-0.18,-0.15960000000000008
44,0,-0.71,0.0
44,1,0.24,-0.71
44,2,0.0,-0.1304999999999999
44,3,0.08,0.06800000000000005
44,4,0.05,-0.013899999999999997
45,0,-0.5,0.0
45,1,-0.37,-0.5
45,2,-0.76,-0.4323999999999999
45,3,-0.37,-0.4687999999999996
45,4,0.0,-0.43759999999999954
46,0,0.11,0.0
46,1,-0.13,0.10999999999999995
46,2,0.05,-0.08199999999999993
46,3,-0.18,-0.011199999999999967
46,4,-0.26,-0.03170000000000001
47,0,-0.79,0.0
47,1,-0.11,-0.7900000000000006
47,2,-0.11,-0.6063999999999994
47,3,0.08,-0.21879999999999963
47,4,-0.82,-0.28679999999999956
48,0,-0.11,0.0
48,1,-0.08,-0.10999999999999995
