run,trial,ytrue,ypred
0,0,-0.94,0.0
0,1,-1.0,-0.9399999999999987
0,2,-0.93,-0.9651999999999993
0,3,-0.92,-0.9364000000000006
0,4,-0.97,-0.9681000000000001
1,0,-0.85,0.0
1,1,-0.12,-0.8499999999999993
1,2,-0.78,-0.5288000000000002
1,3,-0.54,-0.6461000000000002
1,4,-0.9,-0.6481
2,0,-0.93,0.0
2,1,-0.2,-0.9300000000000019
2,2,-0.96,-0.7986000000000011
2,3,-0.95,-0.8879000000000009
2,4,-0.91,-0.9221000000000007
3,0,-0.88,0.0
3,1,-0.99,-0.8799999999999996
3,2,-0.99,-0.9657999999999989
3,3,-0.37,-0.937199999999999
3,4,-0.97,-0.9453999999999988
4,0,-0.88,0.0
4,1,-0.98,-0.8799999999999996
4,2,-0.94,-0.9479999999999998
4,3,-0.76,-0.9271999999999995
4,4,-1.0,-0.9556
5,0,-0.95,0.0
5,1,-0.97,-0.9500000000000017
5,2,-0.65,-0.9608000000000003
5,3,-0.92,-0.9502000000000005
5,4,-0.98,-0.949100000000001
6,0,-0.56,0.0
6,1,-0.91,-0.5600000000000007
6,2,-0.98,-0.790999999999999
6,3,-0.96,-0.9541
6,4,-0.85,-0.834199999999999
7,0,-0.98,0.0
7,1,-0.99,-0.9800000000000004
7,2,-0.95,-0.9851999999999994
7,3,-0.63,-0.9676000000000008
7,4,-0.91,-0.9805999999999997
8,0,-0.47,0.0
8,1,-0.95,-0.46999999999999936
8,2,0.1,-0.7004000000000002
8,3,-0.69,-0.6428000000000001
8,4,-0.89,-0.7906000000000004
9,0,-0.98,0.0
9,1,-0.56,-0.9800000000000004
9,2,-0.98,-0.8372000000000004
9,3,-0.97,-0.9296000000000003
9,4,-0.94,-0.976
10,0,-0.99,0.0
10,1,-0.94,-0.9899999999999985
10,2,-0.16,-0.9624999999999987
10,3,-1.0,-0.9543999999999988
10,4,-0.95,-0.9717999999999991
11,0,-0.94,0.0
11,1,-0.53,-0.9399999999999987
11,2,-0.9,-0.7923999999999995
11,3,-0.89,-0.8657000000000004
11,4,-1.0,-0.9103
12,0,-0.98,0.0
12,1,-0.97,-0.9800000000000004
12,2,-0.97,-0.9734999999999997
12,3,-0.92,-0.9728999999999993
12,4,-0.88,-0.9400000000000006
13,0,-0.96,0.0
13,1,-0.64,-0.9599999999999984
13,2,-0.37,-0.7648000000000001
13,3,-0.99,-0.8494999999999994
13,4,-0.8,-0.7689999999999999
14,0,-0.89,0.0
14,1,-0.88,-0.8900000000000005
14,2,-0.9,-0.8873000000000001
14,3,-0.97,-0.8857999999999998
14,4,-0.95,-0.8903000000000005
15,0,-0.9,0.0
15,1,-0.95,-0.9000000000000008
15,2,-0.95,-0.9405000000000016
15,3,-0.81,-0.9370000000000013
15,4,-0.95,-0.9104000000000017
16,0,-0.99,0.0
16,1,-0.98,-0.9899999999999985
16,2,-0.53,-0.9827000000000002
16,3,-0.94,-0.9627999999999998
16,4,-0.98,-0.8936999999999997
17,0,-0.97,0.0
17,1,-0.88,-0.9699999999999992
17,2,-0.88,-0.9240999999999993
17,3,-0.92,-0.8808999999999995
17,4,-0.97,-0.9335999999999993
18,0,-0.64,0.0
18,1,-0.16,-0.6400000000000005
18,2,-0.93,-0.5632000000000001
18,3,-0.2,-0.28580000000000017
18,4,-0.77,-0.6921000000000003
19,0,-0.97,0.0
19,1,-0.92,-0.9699999999999992
19,2,-0.81,-0.9390000000000005
19,3,-0.89,-0.9266000000000005
19,4,-0.95,-0.9059000000000006
20,0,-0.95,0.0
20,1,-0.97,-0.9500000000000017
20,2,-0.92,-0.9655999999999999
20,3,-0.95,-0.9484000000000011
20,4,-0.58,-0.9326000000000012
21,0,-0.9,0.0
21,1,-0.91,-0.9000000000000008
21,2,-0.89,-0.9028000000000002
21,3,-0.99,-0.9072999999999988
21,4,-0.99,-0.9519999999999982
22,0,-0.97,0.0
22,1,-0.95,-0.9699999999999992
22,2,-0.94,-0.9638
22,3,-0.97,-0.9561000000000008
22,4,-0.98,-0.9564000000000008
23,0,-0.54,0.0
23,1,-0.97,-0.5399999999999993
23,2,-0.97,-0.8452999999999998
23,3,-0.97,-0.9441999999999993
23,4,-0.88,-0.9097999999999995
24,0,-0.81,0.0
24,1,-1.0,-0.8100000000000012
24,2,-0.12,-0.8670000000000009
24,3,-0.85,-0.8096000000000007
24,4,-0.77,-0.8461999999999996
25,0,-0.96,0.0
25,1,-0.85,-0.9599999999999984
25,2,-0.92,-0.9313999999999986
25,3,-0.89,-0.9421999999999994
25,4,-0.98,-0.9307000000000001
26,0,-1.0,0.0
26,1,-1.0,-1.0
26,2,-0.77,-1.0
26,3,-0.93,-0.8643
26,4,-0.76,-0.8328000000000003
27,0,-0.47,0.0
27,1,-0.94,-0.46999999999999936
27,2,-0.65,-0.836599999999999
27,3,-0.64,-0.6936999999999994
27,4,-0.97,-0.8013999999999991
28,0,-0.98,0.0
28,1,-0.96,-0.9800000000000004
28,2,-0.81,-0.9677999999999991
28,3,-0.96,-0.9610999999999994
28,4,-0.3,-0.8446000000000009
29,0,-0.97,0.0
29,1,-0.63,-0.9699999999999992
29,2,-0.91,-0.8645999999999995
29,3,-0.96,-0.9393999999999987
29,4,-0.95,-0.9412999999999984
30,0,-0.98,0.0
30,1,-0.86,-0.9800000000000004
30,2,-0.95,-0.938
30,3,-0.77,-0.9182000000000005
30,4,-0.93,-0.9338000000000005
31,0,-0.97,0.0
31,1,-0.94,-0.9699999999999992
31,2,-0.95,-0.9534999999999989
31,3,-0.77,-0.9543000000000003
31,4,-0.95,-0.9493999999999996
32,0,-0.94,0.0
32,1,-0.89,-0.9399999999999987
32,2,-0.63,-0.9149999999999996
32,3,-0.99,-0.9157999999999994
32,4,-0.78,-0.8675999999999995
33,0,-0.53,0.0
33,1,-0.98,-0.5300000000000007
33,2,-0.94,-0.8855000000000001
33,3,-0.93,-0.9528999999999996
33,4,-0.97,-0.9515000000000003
34,0,-0.98,0.0
34,1,-0.81,-0.9800000000000004
34,2,-0.88,-0.8882000000000005
34,3,-0.95,-0.9126000000000005
34,4,-0.92,-0.9355000000000006
35,0,-0.98,0.0
35,1,-0.89,-0.9800000000000004
35,2,-0.97,-0.9413000000000005
35,3,-0.97,-0.9725
35,4,-0.95,-0.9729000000000001
36,0,-0.97,0.0
36,1,-0.94,-0.9699999999999992
36,2,-0.97,-0.9513999999999989
36,3,-0.88,-0.9621999999999992
36,4,-0.93,-0.9525999999999992
37,0,-0.56,0.0
37,1,-0.92,-0.5600000000000007
37,2,-0.97,-0.7760000000000011
37,3,-0.54,-0.7545000000000006
37,4,-0.2,-0.6452999999999999
38,0,-0.98,0.0
38,1,-0.95,-0.9800000000000004
38,2,-0.9,-0.965300000000001
38,3,-0.97,-0.9566000000000007
38,4,-0.58,-0.9332000000000009
39,0,-0.9,0.0
39,1,-0.96,-0.9000000000000008
39,2,-0.91,-0.9371999999999994
39,3,-0.93,-0.9152999999999998
39,4,-0.94,-0.9331000000000003
40,0,-0.83,0.0
40,1,-0.71,-0.8299999999999987
40,2,-0.95,-0.7927999999999988
40,3,-0.98,-0.8948000000000007
40,4,-0.9,-0.8915000000000006
41,0,-0.92,0.0
41,1,-0.77,-0.9200000000000014
41,2,-0.45,-0.8495000000000009
41,3,-0.89,-0.8152000000000011
41,4,-0.98,-0.8891000000000006
42,0,-0.94,0.0
42,1,-0.97,-0.9399999999999987
42,2,-0.98,-0.956799999999999
42,3,-0.88,-0.9671999999999998
42,4,-0.95,-0.9499999999999994
43,0,-0.95,0.0
43,1,-0.97,-0.9500000000000017
43,2,-0.56,-0.9584000000000007
43,3,-0.99,-0.8992000000000001
43,4,-0.92,-0.8678000000000005
44,0,-0.64,0.0
44,1,-0.88,-0.6400000000000005
44,2,-0.96,-0.7888000000000001
44,3,-0.99,-0.9143999999999991
44,4,-0.94,-0.9487999999999989
45,0,-0.8,0.0
45,1,-0.97,-0.7999999999999985
45,2,-0.91,-0.9070999999999989
45,3,-0.99,-0.9460999999999988
45,4,-0.93,-0.9557999999999984
46,0,-0.37,0.0
46,1,-0.91,-0.36999999999999994
46,2,-0.68,-0.6345999999999986
46,3,-0.97,-0.7429999999999992
46,4,-0.95,-0.782699999999999
47,0,-0.98,0.0
47,1,-0.64,-0.9800000000000004
47,2,-0.88,-0.8950000000000001
47,3,-0.97,-0.8847999999999998
47,4,-0.92,-0.9221999999999992
48,0,-0.96,0.0
48,1,-0.97,-0.9599999999999984
48,2,-0.81,-0.9644999999999986
48,3,-0.85,-0.8601000000000002
48,4,-0.87,-0.9029999999999996
49,0,-0.9,0.0
49,1,-0.82,-0.9000000000000008
49,2,-0.94,-0.8856000000000005
49,3,-0.94,-0.8923999999999996
49,4,-0.99,-0.9311999999999995
50,0,-0.77,0.0
50,1,-0.96,-0.7700000000000006
50,2,-0.94,-0.8288999999999999
50,3,-0.88,-0.9041999999999991
50,4,-0.98,-0.9132999999999989
51,0,-0.97,0.0
51,1,-0.93,-0.9699999999999992
51,2,-0.95,-0.9520000000000006
51,3,-0.95,-0.9450000000000013
51,4,-0.77,-0.9510000000000008
52,0,-0.68,0.0
52,1,-0.9,-0.6800000000000002
52,2,-0.98,-0.8450000000000009
52,3,-0.53,-0.7546000000000006
52,4,-0.36,-0.5957000000000003
53,0,-0.95,0.0
53,1,-0.78,-0.9500000000000017
53,2,-0.78,-0.836100000000001
53,3,-0.9,-0.8480000000000011
53,4,-0.92,-0.894000000000001
54,0,-0.95,0.0
54,1,-0.99,-0.9500000000000017
54,2,-0.95,-0.9727999999999999
54,3,-0.97,-0.9692000000000004
54,4,-0.92,-0.9711999999999993
55,0,-0.97,0.0
55,1,-0.98,-0.9699999999999992
55,2,-0.71,-0.9729999999999996
55,3,-0.89,-0.9690000000000001
55,4,-0.66,-0.8552999999999993
56,0,-0.98,0.0
56,1,-0.95,-0.9800000000000004
56,2,-0.78,-0.9587000000000013
56,3,-0.98,-0.9638000000000008
56,4,-0.83,-0.8348000000000009
57,0,-0.9,0.0
57,1,-0.95,-0.9000000000000008
57,2,-0.96,-0.9255000000000014
57,3,-0.95,-0.9384
57,4,-0.64,-0.9311000000000008
58,0,-0.88,0.0
58,1,-0.94,-0.8799999999999996
58,2,-0.94,-0.9261999999999992
58,3,-0.88,-0.9153999999999991
58,4,-0.3,-0.8835999999999996
59,0,-0.94,0.0
59,1,-0.97,-0.9399999999999987
59,2,-0.77,-0.9507999999999989
59,3,-0.96,-0.935599999999999
59,4,-0.93,-0.8929999999999991
60,0,-0.91,0.0
60,1,-0.88,-0.9099999999999979
60,2,-0.77,-0.8988999999999985
60,3,-1.0,-0.8588999999999993
60,4,-0.9,-0.8166999999999998
61,0,-0.78,0.0
61,1,-0.83,-0.7800000000000008
61,2,-0.94,-0.8059999999999995
61,3,-0.77,-0.8513999999999996
61,4,-0.36,-0.7984999999999998
62,0,-0.92,0.0
62,1,-0.95,-0.9200000000000014
62,2,-0.9,-0.9362000000000016
62,3,-0.97,-0.9380000000000018
62,4,-0.54,-0.9154000000000011
63,0,-0.77,0.0
63,1,-0.83,-0.7700000000000006
63,2,-0.66,-0.8005999999999998
63,3,0.1,-0.7722999999999992
63,4,-0.95,-0.7365999999999993
64,0,-0.94,0.0
64,1,-0.36,-0.9399999999999987
64,2,-0.96,-0.806599999999999
64,3,-0.71,-0.6557999999999998
64,4,-0.44,-0.5097999999999999
65,0,-0.16,0.0
65,1,-0.66,-0.16000000000000011
65,2,-0.98,-0.36499999999999944
65,3,-0.97,-0.8193999999999992
65,4,-0.86,-0.879699999999999
66,0,1.0,0.0
66,1,-0.82,1.0
66,2,-0.97,-0.23760000000000012
66,3,-0.89,-0.8330999999999986
66,4,-0.88,-0.8869999999999993
67,0,-0.94,0.0
67,1,-0.99,-0.9399999999999987
67,2,-0.36,-0.960499999999999
