run,trial,ytrue,ypred
0,0,0.06,0.0
0,1,0.97,0.0599999999999999
0,2,-0.8,0.2692999999999995
0,3,-0.71,-0.20460000000000036
0,4,-0.76,-0.38239999999999996
1,0,-0.62,0.0
1,1,-0.8,-0.6199999999999989
1,2,0.08,-0.693799999999999
1,3,-0.5,-0.37060000000000026
1,4,-0.39,-0.4278000000000002
2,0,-0.57,0.0
2,1,-0.52,-0.5700000000000002
2,2,-0.24,-0.5330000000000009
2,3,-0.25,-0.35399999999999965
2,4,-0.59,-0.3200999999999997
3,0,-0.02,0.0
3,1,-0.71,-0.020000000000000014
3,2,0.07,-0.19249999999999987
3,3,-0.8,-0.13279999999999983
3,4,-0.17,-0.2065999999999999
4,0,-0.62,0.0
4,1,-0.5,-0.6199999999999989
4,2,-0.76,-0.5408
4,3,-0.29,-0.6203999999999996
4,4,-0.45,-0.6769999999999997
5,0,-0.8,0.0
5,1,-0.27,-0.7999999999999985
5,2,-0.76,-0.41840000000000027
5,3,0.06,-0.6184999999999997
5,4,-0.56,-0.48039999999999994
6,0,-0.29,0.0
6,1,-0.61,-0.28999999999999937
6,2,-0.96,-0.5523999999999996
6,3,-0.46,-0.7267999999999998
6,4,-0.27,-0.5893000000000002
7,0,-0.5,0.0
7,1,-0.56,-0.5
7,2,0.06,-0.5276000000000003
7,3,-0.39,-0.3509999999999999
7,4,-0.88,-0.3742999999999999
8,0,-0.41,0.0
8,1,-0.12,-0.40999999999999936
8,2,0.06,-0.19539999999999996
8,3,-0.76,-0.1528999999999998
8,4,-0.27,-0.15299999999999989
9,0,-0.62,0.0
9,1,0.61,-0.6199999999999989
9,2,-0.29,0.16719999999999996
9,3,-0.78,-0.35479999999999995
9,4,-0.27,-0.5601999999999997
10,0,-0.27,0.0
10,1,0.13,-0.26999999999999963
10,2,-0.73,-0.17399999999999974
10,3,-0.3,-0.07260000000000007
10,4,-0.61,-0.4847999999999997
11,0,-0.76,0.0
11,1,-0.76,-0.7600000000000002
11,2,0.13,-0.7600000000000002
11,3,0.06,-0.40400000000000014
11,4,-0.39,-0.06400000000000008
12,0,-0.24,0.0
12,1,-0.25,-0.2399999999999996
12,2,-0.41,-0.2440999999999997
12,3,0.06,-0.2689999999999998
12,4,-0.56,-0.26989999999999975
13,0,-0.17,0.0
13,1,0.07,-0.17000000000000004
13,2,0.97,-0.026000000000000002
13,3,0.06,-0.039799999999999953
13,4,-0.12,0.005800000000000002
14,0,-0.02,0.0
14,1,0.06,-0.020000000000000014
14,2,-0.39,0.025600000000000015
14,3,1.0,-0.09790000000000001
14,4,-0.24,0.19109999999999994
15,0,-0.86,0.0
15,1,-0.61,-0.8599999999999995
15,2,-0.12,-0.6949999999999996
15,3,0.57,-0.38019999999999965
15,4,0.06,0.03299999999999996
16,0,-1.0,0.0
16,1,-0.88,-1.0
16,2,-0.35,-0.9675999999999995
16,3,-0.56,-0.6649000000000004
16,4,-0.76,-0.8826999999999999
17,0,-0.17,0.0
17,1,0.07,-0.17000000000000004
17,2,0.61,-0.01879999999999997
17,3,0.13,0.06400000000000014
17,4,-0.8,-0.07279999999999993
18,0,-0.41,0.0
18,1,-0.29,-0.40999999999999936
18,2,0.61,-0.33079999999999954
18,3,0.06,-0.10700000000000001
18,4,0.57,0.014800000000000025
19,0,-0.71,0.0
19,1,-0.73,-0.71
19,2,-0.78,-0.7213999999999996
19,3,-0.8,-0.7582000000000005
19,4,-0.17,-0.7877999999999991
20,0,0.08,0.0
20,1,-0.51,0.08000000000000006
20,2,-0.5,-0.2091000000000002
20,3,-0.96,-0.1879000000000001
20,4,-0.8,-0.6434000000000006
21,0,-0.59,0.0
21,1,-0.24,-0.5900000000000015
21,2,-0.35,-0.36599999999999994
21,3,-0.38,-0.35710000000000036
21,4,-0.41,-0.36210000000000003
22,0,0.06,0.0
22,1,-0.17,0.0599999999999999
22,2,-0.45,-0.004400000000000003
22,3,-0.78,-0.27079999999999993
22,4,-0.62,-0.10779999999999992
23,0,0.06,0.0
23,1,-0.76,0.0599999999999999
23,2,0.06,-0.2598000000000005
23,3,-0.5,0.027200000000000037
23,4,-0.59,-0.048600000000000136
24,0,-0.86,0.0
24,1,-0.61,-0.8599999999999995
24,2,-0.46,-0.7174999999999996
24,3,-0.35,-0.6694999999999998
24,4,-0.56,-0.5110000000000002
25,0,-0.17,0.0
25,1,-0.29,-0.17000000000000004
25,2,-0.42,-0.20960000000000018
25,3,-0.71,-0.33930000000000055
25,4,-0.88,-0.5625000000000009
26,0,-0.25,0.0
26,1,-0.88,-0.25
26,2,-0.51,-0.376
26,3,-0.8,-0.4680000000000002
26,4,-0.17,-0.4372999999999998
27,0,-0.96,0.0
27,1,-0.62,-0.9599999999999984
27,2,-0.51,-0.7219999999999998
27,3,-0.17,-0.5964999999999993
27,4,-0.78,-0.7826999999999998
28,0,-0.35,0.0
28,1,-0.73,-0.35000000000000064
28,2,-0.78,-0.6159999999999995
28,3,-0.39,-0.48310000000000075
28,4,-0.27,-0.6074
29,0,-0.24,0.0
29,1,0.06,-0.2399999999999996
29,2,-0.71,-0.1410000000000001
29,3,0.57,-0.1284000000000001
29,4,-0.39,0.023500000000000007
30,0,0.13,0.0
30,1,1.0,0.13000000000000025
30,2,0.07,0.3822999999999999
30,3,-0.45,0.37900000000000034
30,4,-0.96,-0.03960000000000005
31,0,-0.59,0.0
31,1,0.08,-0.5900000000000015
31,2,-0.24,-0.14779999999999993
31,3,1.0,-0.17740000000000006
31,4,-0.45,0.024699999999999996
32,0,-1.0,0.0
32,1,-0.86,-1.0
32,2,-0.5,-0.9579999999999999
32,3,0.47,-0.7509999999999998
32,4,-0.51,0.002599999999999939
33,0,0.13,0.0
33,1,-0.59,0.13000000000000025
33,2,-0.17,-0.19399999999999995
33,3,-0.25,-0.16699999999999998
33,4,-0.78,-0.1449999999999999
34,0,-0.59,0.0
34,1,-0.96,-0.5900000000000015
34,2,-0.62,-0.6862000000000014
34,3,0.06,-0.6966000000000004
34,4,-0.42,-0.3193000000000006
35,0,-0.39,0.0
35,1,-0.46,-0.3900000000000004
35,2,-0.62,-0.42780000000000057
35,3,0.97,-0.5473999999999996
35,4,-0.57,-0.46620000000000056
36,0,-0.51,0.0
36,1,-0.12,-0.5099999999999997
36,2,-0.57,-0.2604000000000002
36,3,-0.5,-0.37470000000000014
36,4,0.13,-0.3958000000000002
37,0,-0.96,0.0
37,1,-0.56,-0.9599999999999984
37,2,-0.41,-0.7960000000000003
37,3,-0.78,-0.6234999999999997
37,4,0.06,-0.5873000000000002
38,0,-0.45,0.0
38,1,0.07,-0.4500000000000004
38,2,-0.76,-0.30439999999999956
38,3,0.06,-0.34840000000000004
38,4,-0.02,-0.1581999999999998
39,0,-0.25,0.0
39,1,-0.78,-0.25
39,2,0.57,-0.4567000000000002
39,3,-0.45,-0.6137000000000006
39,4,-0.27,-0.35450000000000004
40,0,0.97,0.0
40,1,-0.02,0.9699999999999992
40,2,-0.41,0.21760000000000024
40,3,-0.41,-0.24350000000000002
40,4,0.57,-0.06919999999999991
41,0,0.97,0.0
41,1,-0.71,0.9699999999999992
41,2,-0.38,-0.3740000000000006
41,3,-0.8,-0.30709999999999993
41,4,-0.59,-0.038900000000000004
42,0,0.13,0.0
42,1,-0.42,0.13000000000000025
42,2,-0.62,-0.10649999999999998
42,3,-0.17,-0.2790000000000003
42,4,-0.8,-0.3635000000000009
43,0,-0.51,0.0
43,1,-1.0,-0.5099999999999997
43,2,-0.24,-0.8677000000000002
43,3,-0.42,-0.5769000000000001
43,4,-0.73,-0.6636000000000003
