run,trial,ytrue,ypred
0,0,-0.21,0.0
0,1,0.14,-0.2100000000000005
0,2,-0.25,0.02100000000000005
0,3,0.13,-0.05590000000000002
0,4,0.42,-0.08170000000000004
1,0,0.08,0.0
1,1,0.16,0.08000000000000006
1,2,0.04,0.12480000000000009
1,3,0.33,0.06920000000000004
1,4,0.13,0.09359999999999999
2,0,0.14,0.0
2,1,-0.25,0.14000000000000018
2,2,0.38,0.07369999999999993
2,3,0.17,-0.001899999999999984
2,4,-0.78,0.18260000000000015
3,0,0.65,0.0
3,1,-0.25,0.6499999999999991
3,2,0.01,0.30799999999999966
3,3,0.2,0.114
3,4,0.25,0.08410000000000002
4,0,0.13,0.0
4,1,-0.03,0.13000000000000025
4,2,0.14,0.05319999999999994
4,3,0.38,0.029500000000000016
4,4,0.08,0.10960000000000009
5,0,0.25,0.0
5,1,0.33,0.25
5,2,0.04,0.29639999999999955
5,3,-0.07,0.1956999999999997
5,4,0.25,0.11429999999999986
6,0,0.65,0.0
6,1,-0.11,0.6499999999999991
6,2,-0.59,0.26999999999999996
6,3,0.24,0.14120000000000016
6,4,0.13,-0.11689999999999987
7,0,0.39,0.0
7,1,0.29,0.3900000000000004
7,2,0.29,0.3489999999999999
7,3,-0.07,0.3369999999999999
7,4,-1.0,0.21399999999999988
8,0,0.25,0.0
8,1,0.02,0.25
8,2,0.38,0.12809999999999985
8,3,0.2,0.2697999999999999
8,4,0.13,0.17119999999999988
9,0,0.33,0.0
9,1,-0.03,0.3299999999999991
9,2,0.02,0.25799999999999945
9,3,-0.11,0.05449999999999995
9,4,0.29,0.15940000000000004
10,0,0.45,0.0
10,1,0.3,0.4500000000000004
10,2,-0.02,0.3795
10,3,0.16,0.21590000000000015
10,4,-0.37,0.2539
11,0,0.13,0.0
11,1,-0.59,0.13000000000000025
11,2,0.17,-0.22999999999999987
11,3,0.38,-0.1339999999999998
11,4,-0.09,0.08349999999999996
12,0,0.14,0.0
12,1,-0.14,0.14000000000000018
12,2,0.35,-0.005600000000000001
12,3,0.2,0.1441999999999999
12,4,0.14,0.16489999999999994
13,0,0.13,0.0
13,1,0.25,0.13000000000000025
13,2,0.02,0.19599999999999998
13,3,-0.03,0.16090000000000004
13,4,0.01,0.11209999999999998
14,0,0.2,0.0
14,1,0.22,0.19999999999999962
14,2,0.42,0.2099999999999998
14,3,0.16,0.24179999999999974
14,4,0.13,0.20660000000000003
15,0,0.42,0.0
15,1,0.42,0.420000000000001
15,2,1.0,0.420000000000001
15,3,0.18,0.6346000000000008
15,4,0.33,0.5844000000000003
16,0,-0.11,0.0
16,1,0.29,-0.10999999999999995
16,2,0.22,0.17799999999999977
16,3,0.08,0.07369999999999986
16,4,0.33,0.1806
17,0,0.42,0.0
17,1,0.29,0.420000000000001
17,2,0.25,0.34199999999999997
17,3,0.33,0.3157000000000002
17,4,0.29,0.3033999999999995
18,0,0.13,0.0
18,1,0.3,0.13000000000000025
18,2,0.25,0.22010000000000016
18,3,0.17,0.19440000000000004
18,4,0.25,0.22790000000000016
19,0,0.38,0.0
19,1,-0.59,0.3800000000000001
19,2,0.04,-0.017699999999999997
19,3,0.16,0.15430000000000008
19,4,0.25,0.16459999999999994
20,0,0.29,0.0
20,1,-0.25,0.28999999999999937
20,2,1.0,-0.060999999999999985
20,3,-0.09,0.3972999999999996
20,4,-0.14,0.13279999999999995
21,0,0.17,0.0
21,1,-0.14,0.17000000000000004
21,2,-0.37,0.07080000000000003
21,3,0.45,-0.01550000000000003
21,4,0.16,-0.005600000000000014
22,0,0.22,0.0
22,1,0.39,0.2199999999999999
22,2,0.16,0.29650000000000004
22,3,0.45,0.25109999999999993
22,4,-0.78,0.2912999999999999
23,0,-1.0,0.0
23,1,0.16,-1.0
23,2,0.29,-0.33879999999999993
23,3,0.33,0.11900000000000001
23,4,0.17,-0.2569000000000001
24,0,-0.14,0.0
24,1,0.07,-0.14000000000000018
24,2,0.04,-0.06439999999999997
24,3,-0.02,-0.010699999999999996
24,4,0.42,0.007300000000000004
25,0,1.0,0.0
25,1,-0.03,1.0
25,2,-0.02,0.22749999999999992
25,3,0.65,0.3830999999999997
25,4,-0.07,0.4185999999999994
26,0,0.13,0.0
26,1,0.22,0.13000000000000025
26,2,-0.25,0.1687000000000003
26,3,0.29,0.1084000000000001
26,4,0.33,0.1374
27,0,0.25,0.0
27,1,0.33,0.25
27,2,0.14,0.3075999999999995
