run,trial,ytrue,ypred
0,0,-0.56,0.0
0,1,-0.21,-0.5600000000000007
0,2,-0.95,-0.4235000000000004
0,3,-0.3,-0.5767000000000009
0,4,-0.7,-0.29320000000000046
1,0,0.18,0.0
1,1,-0.22,0.17999999999999983
1,2,0.12,0.007999999999999983
1,3,-0.75,0.024600000000000007
1,4,-0.41,-0.38489999999999974
2,0,-0.95,0.0
2,1,0.54,-0.9500000000000017
2,2,-0.66,-0.36890000000000017
2,3,-0.41,-0.4680999999999998
2,4,-0.7,-0.5160999999999993
3,0,-0.31,0.0
3,1,1.0,-0.30999999999999944
3,2,0.38,0.3450000000000003
3,3,-0.7,0.08739999999999998
3,4,-0.34,-0.4102000000000001
4,0,-0.16,0.0
4,1,-0.72,-0.16000000000000011
4,2,0.09,-0.42319999999999935
4,3,-0.65,-0.26219999999999993
4,4,-0.31,-0.4083999999999994
5,0,-0.93,0.0
5,1,0.12,-0.9300000000000019
5,2,-0.22,-0.2684999999999997
5,3,-0.67,-0.21029999999999968
5,4,1.0,-0.11260000000000016
6,0,0.83,0.0
6,1,-0.82,0.8299999999999987
6,2,-0.43,-0.07749999999999996
6,3,0.18,0.005900000000000083
6,4,-0.67,-0.17120000000000005
7,0,-0.63,0.0
7,1,-0.66,-0.6300000000000011
7,2,-0.62,-0.6419999999999999
7,3,-0.72,-0.6298999999999999
7,4,-0.65,-0.6626999999999988
8,0,-0.72,0.0
8,1,-0.64,-0.7199999999999993
8,2,-0.34,-0.7015999999999996
8,3,-0.62,-0.5702000000000004
8,4,-0.22,-0.6647999999999996
9,0,-1.0,0.0
9,1,0.38,-1.0
9,2,-0.7,-0.1996
9,3,-0.94,-0.5878000000000004
9,4,-0.66,-0.6826000000000004
10,0,-0.3,0.0
10,1,-0.81,-0.3000000000000005
10,2,-0.68,-0.5498999999999996
10,3,-0.94,-0.44459999999999994
10,4,-0.21,-0.6931000000000002
11,0,-0.22,0.0
11,1,-0.67,-0.2199999999999999
11,2,-0.75,-0.5845000000000008
11,3,-0.31,-0.4205999999999996
11,4,-0.68,-0.5627
12,0,-0.63,0.0
12,1,-0.21,-0.6300000000000011
12,2,-0.75,-0.46620000000000067
12,3,-0.16,-0.5064000000000006
12,4,-0.68,-0.45440000000000025
13,0,-0.95,0.0
