run,trial,ytrue,ypred
0,0,-0.11,0.0
0,1,0.24,-0.10999999999999995
0,2,-0.38,0.061499999999999985
0,3,-0.25,0.10130000000000015
0,4,-0.92,-0.010700000000000025
1,0,0.18,0.0
1,1,-0.54,0.17999999999999983
1,2,0.94,-0.2591999999999997
1,3,0.66,-0.24599999999999964
1,4,-0.06,0.3272
2,0,-0.25,0.0
2,1,-0.06,-0.25
2,2,0.71,-0.12650000000000003
2,3,-0.85,-0.02829999999999997
2,4,0.66,0.11920000000000003
3,0,-0.58,0.0
3,1,-0.97,-0.5799999999999987
3,2,-0.85,-0.872499999999999
3,3,0.2,-0.677499999999999
3,4,-0.85,-0.7473999999999991
4,0,0.53,0.0
4,1,-0.85,0.5300000000000007
4,2,0.18,0.22640000000000007
4,3,-0.25,0.06870000000000004
4,4,0.29,0.2286
5,0,-0.86,0.0
5,1,-0.03,-0.8599999999999995
5,2,-0.85,-0.5861
5,3,0.23,-0.44250000000000045
5,4,-0.19,-0.2533000000000001
6,0,0.53,0.0
6,1,-0.25,0.5300000000000007
6,2,-0.58,0.19460000000000005
6,3,-0.68,0.1661
6,4,-0.85,-0.4664999999999994
7,0,-0.31,0.0
7,1,-0.35,-0.30999999999999944
7,2,0.24,-0.3292
7,3,-0.68,-0.10169999999999985
7,4,-0.05,-0.3321
8,0,0.09,0.0
8,1,-0.11,0.08999999999999991
8,2,0.94,-0.01800000000000001
8,3,0.24,0.6354999999999998
8,4,0.66,0.33699999999999974
9,0,0.66,0.0
9,1,0.36,0.6599999999999983
9,2,0.23,0.4379999999999995
9,3,0.2,0.43039999999999934
9,4,-0.86,0.5006999999999991
10,0,0.38,0.0
10,1,0.53,0.3800000000000001
10,2,1.0,0.42200000000000054
10,3,-0.33,0.5386000000000007
10,4,-0.85,-0.09150000000000003
11,0,-0.05,0.0
11,1,-0.33,-0.049999999999999906
11,2,-0.86,-0.24599999999999977
11,3,-0.06,-0.2537000000000001
11,4,0.14,-0.14140000000000014
12,0,0.98,0.0
12,1,0.71,0.9800000000000004
12,2,0.14,0.7801999999999997
12,3,0.14,0.8068999999999994
12,4,0.14,0.6511999999999994
13,0,-0.58,0.0
13,1,-0.18,-0.5799999999999987
13,2,-0.86,-0.35599999999999954
13,3,-0.68,-0.38359999999999955
13,4,-0.85,-0.7141999999999997
14,0,-1.0,0.0
14,1,0.94,-1.0
14,2,-0.33,0.4549999999999998
14,3,-0.94,-0.6875000000000001
14,4,-0.06,-0.15530000000000013
15,0,0.14,0.0
15,1,0.66,0.14000000000000018
15,2,-0.85,0.39999999999999986
15,3,-0.03,0.21430000000000024
15,4,-0.18,0.07770000000000005
16,0,-0.94,0.0
16,1,-0.86,-0.9399999999999987
16,2,0.14,-0.8799999999999994
16,3,-0.25,-0.48439999999999955
16,4,0.18,-0.2139999999999999
17,0,-0.68,0.0
17,1,-0.03,-0.6800000000000002
17,2,0.14,-0.40700000000000003
17,3,0.94,-0.2400999999999998
17,4,-0.06,-0.0014000000000000113
18,0,-0.58,0.0
18,1,-0.58,-0.5799999999999987
18,2,-0.86,-0.5799999999999987
18,3,-0.19,-0.6359999999999989
18,4,-0.68,-0.40209999999999985
19,0,-0.86,0.0
19,1,0.53,-0.8599999999999995
19,2,-0.33,0.14079999999999993
19,3,-0.34,-0.007200000000000008
19,4,0.2,-0.27139999999999953
20,0,-0.33,0.0
20,1,0.18,-0.3299999999999991
20,2,0.28,-0.16680000000000006
20,3,-0.38,-0.11030000000000005
20,4,0.23,0.1782999999999998
21,0,0.29,0.0
21,1,0.2,0.28999999999999937
21,2,-0.06,0.24049999999999952
21,3,-0.38,0.11099999999999993
21,4,-0.68,-0.04709999999999996
22,0,-0.17,0.0
22,1,-0.05,-0.17000000000000004
22,2,-0.19,-0.11600000000000002
22,3,-0.68,-0.14520000000000002
22,4,0.2,-0.1724000000000002
23,0,0.71,0.0
23,1,-0.19,0.71
23,2,0.23,0.3950000000000003
23,3,-0.25,0.31040000000000034
23,4,-0.86,-0.05440000000000001
24,0,0.23,0.0
24,1,0.14,0.23000000000000034
24,2,0.18,0.20210000000000033
24,3,0.36,0.2080000000000002
24,4,0.53,0.22100000000000006
25,0,0.71,0.0
25,1,-0.68,0.71
25,2,0.36,0.1818000000000005
25,3,-0.54,0.0493
25,4,0.98,0.38270000000000026
26,0,-0.33,0.0
26,1,-0.17,-0.3299999999999991
26,2,0.23,-0.2963999999999995
26,3,0.2,0.0059999999999999784
26,4,0.14,0.16629999999999992
27,0,-0.85,0.0
27,1,0.66,-0.8499999999999993
27,2,-0.68,0.25229999999999997
27,3,-0.33,0.023399999999999987
27,4,-0.31,0.16480000000000009
28,0,-0.86,0.0
28,1,0.14,-0.8599999999999995
28,2,-0.11,-0.44999999999999957
28,3,0.71,0.015000000000000006
28,4,-0.17,0.43160000000000054
29,0,0.2,0.0
29,1,-0.85,0.19999999999999962
29,2,0.38,-0.08349999999999996
29,3,-0.11,0.06439999999999999
29,4,-0.17,-0.11599999999999994
30,0,-0.19,0.0
30,1,0.23,-0.19000000000000006
30,2,-0.25,0.12500000000000022
30,3,0.14,-0.14919999999999992
30,4,-0.58,0.0017000000000000114
31,0,0.38,0.0
31,1,-0.35,0.3800000000000001
31,2,-0.92,-0.006900000000000007
31,3,-0.06,-0.07959999999999998
31,4,0.53,-0.031400000000000025
32,0,-0.33,0.0
32,1,-0.86,-0.3299999999999991
32,2,0.14,-0.7380999999999993
32,3,0.23,-0.12459999999999981
32,4,-0.11,-0.25679999999999953
33,0,0.2,0.0
33,1,-0.34,0.19999999999999962
33,2,0.14,0.07040000000000013
33,3,-0.35,-0.12459999999999996
33,4,0.53,-0.1655999999999999
34,0,-0.33,0.0
34,1,-0.11,-0.3299999999999991
34,2,-0.18,-0.18919999999999976
34,3,-0.68,-0.16029999999999983
34,4,0.53,-0.4393999999999996
35,0,-0.58,0.0
35,1,-0.92,-0.5799999999999987
35,2,0.38,-0.6853999999999997
35,3,-0.18,-0.34179999999999966
35,4,0.71,0.10400000000000026
36,0,0.14,0.0
36,1,-1.0,0.14000000000000018
36,2,-0.06,-0.16779999999999973
36,3,-0.31,-0.18739999999999987
