run,trial,ytrue,ypred
0,0,-0.67,0.0
0,1,0.0,-0.6700000000000013
0,2,-0.33,-0.46900000000000075
0,3,0.33,-0.36330000000000007
0,4,-1.0,-0.3252000000000004
1,0,-0.67,0.0
1,1,0.33,-0.6700000000000013
1,2,-0.83,-0.3100000000000007
1,3,0.33,-0.28880000000000056
1,4,0.33,0.18199999999999988
2,0,0.0,0.0
2,1,-0.67,0.0
2,2,-0.33,-0.43550000000000066
2,3,0.17,-0.3543000000000003
2,4,0.0,-0.4145999999999998
3,0,-0.33,0.0
3,1,-1.0,-0.3299999999999991
3,2,0.0,-0.7520999999999995
3,3,1.0,-0.2792999999999998
3,4,0.17,0.11049999999999999
4,0,-0.67,0.0
4,1,0.33,-0.6700000000000013
4,2,0.0,-0.2000000000000003
4,3,0.0,-0.2288000000000002
4,4,-0.33,-0.2888000000000004
5,0,-0.5,0.0
5,1,-0.33,-0.5
5,2,0.0,-0.3979999999999994
5,3,0.17,-0.13760000000000003
5,4,0.33,0.04199999999999998
6,0,0.33,0.0
6,1,-0.33,0.3299999999999991
6,2,0.17,0.0594
6,3,-0.33,-0.07540000000000005
6,4,0.0,0.24399999999999988
7,0,0.0,0.0
7,1,0.0,0.0
7,2,-0.33,0.0
7,3,-0.67,-0.1617
7,4,0.33,-0.0969
8,0,0.5,0.0
8,1,-0.67,0.5
8,2,-0.17,-0.16690000000000016
8,3,-0.5,-0.21940000000000037
8,4,0.0,0.14720000000000003
9,0,0.67,0.0
9,1,0.0,0.6700000000000013
9,2,0.0,0.48240000000000083
9,3,1.0,0.34170000000000045
9,4,-0.67,0.3506000000000002
10,0,-1.0,0.0
10,1,0.0,-1.0
10,2,-0.67,-0.47
10,3,0.33,-0.5219000000000007
10,4,0.0,-0.012799999999999949
11,0,1.0,0.0
11,1,-1.0,1.0
11,2,-1.0,-0.52
11,3,-0.33,-0.42
11,4,0.33,-0.09270000000000002
12,0,-0.17,0.0
12,1,0.33,-0.17000000000000004
12,2,-0.83,0.015000000000000019
12,3,0.0,0.03280000000000003
12,4,-0.33,-0.4272999999999997
13,0,0.33,0.0
