run,trial,ytrue,ypred
0,0,-0.0,0.0
0,1,-0.07,0.0
0,2,0.03,-0.05180000000000001
0,3,0.12,-0.018500000000000013
0,4,-0.72,-0.021500000000000012
1,0,-0.14,0.0
1,1,-0.28,-0.14000000000000018
1,2,-0.51,-0.24500000000000025
1,3,0.17,-0.39770000000000044
1,4,-0.15,-0.40080000000000005
2,0,-0.07,0.0
2,1,-0.59,-0.07000000000000009
2,2,-0.36,-0.36120000000000024
2,3,-0.48,-0.2143
2,4,0.0,-0.3389
3,0,-0.35,0.0
3,1,-0.5,-0.35000000000000064
3,2,-0.6,-0.4220000000000003
3,3,-0.71,-0.5355000000000004
3,4,-0.52,-0.5404000000000004
4,0,-0.25,0.0
4,1,-0.15,-0.25
4,2,-0.19,-0.22599999999999987
4,3,-0.36,-0.17880000000000001
4,4,-0.41,-0.30389999999999956
5,0,-0.68,0.0
5,1,-0.14,-0.6800000000000002
5,2,-0.47,-0.5719999999999998
5,3,-0.46,-0.5545999999999999
5,4,-0.1,-0.3616000000000005
6,0,0.06,0.0
6,1,0.01,0.0599999999999999
6,2,-0.24,0.022500000000000006
6,3,0.03,-0.06950000000000012
6,4,-0.55,-0.1250000000000002
7,0,-0.36,0.0
7,1,-0.15,-0.35999999999999965
7,2,-0.09,-0.28649999999999953
7,3,-0.29,-0.20699999999999982
7,4,-0.34,-0.2526999999999996
8,0,-0.17,0.0
8,1,0.29,-0.17000000000000004
8,2,-0.17,-0.050399999999999945
8,3,-0.28,0.06000000000000003
8,4,0.01,-0.18190000000000012
9,0,-0.63,0.0
9,1,-0.61,-0.6300000000000011
9,2,-0.15,-0.6254000000000007
9,3,-0.06,-0.5478000000000005
9,4,0.1,-0.3675999999999995
10,0,-0.7,0.0
10,1,-0.15,-0.7000000000000013
10,2,-0.16,-0.4910000000000002
10,3,-0.08,-0.45659999999999973
10,4,-0.42,-0.1569000000000001
11,0,-0.33,0.0
11,1,-0.01,-0.3299999999999991
11,2,-0.27,-0.18599999999999986
11,3,-0.15,-0.11279999999999984
11,4,0.22,-0.17079999999999998
12,0,-0.43,0.0
12,1,0.1,-0.42999999999999977
12,2,-0.37,-0.04310000000000005
12,3,-0.23,-0.33719999999999994
12,4,-0.32,-0.16810000000000014
13,0,-0.06,0.0
13,1,-0.2,-0.0599999999999999
13,2,-0.66,-0.16359999999999986
13,3,-0.9,-0.32039999999999963
13,4,-0.15,-0.37919999999999987
14,0,-0.76,0.0
14,1,-0.48,-0.7600000000000002
14,2,-0.11,-0.6059999999999991
14,3,-0.28,-0.308
14,4,-0.53,-0.6167999999999993
15,0,0.02,0.0
15,1,-0.05,0.020000000000000014
15,2,-0.23,-0.01920000000000001
15,3,-0.31,-0.13900000000000026
15,4,-0.59,-0.21840000000000018
16,0,-0.19,0.0
16,1,-0.44,-0.19000000000000006
16,2,-0.56,-0.27500000000000047
16,3,-0.17,-0.35390000000000016
16,4,0.03,-0.19140000000000013
17,0,-0.12,0.0
17,1,0.07,-0.1199999999999998
17,2,-0.65,-0.023099999999999992
17,3,-0.4,-0.28539999999999993
17,4,-0.28,-0.2168
18,0,-0.66,0.0
18,1,-0.25,-0.6599999999999983
18,2,-0.42,-0.5369999999999991
18,3,-0.59,-0.42340000000000044
18,4,-0.62,-0.3892999999999999
19,0,-0.18,0.0
19,1,-0.35,-0.17999999999999983
19,2,-0.1,-0.2684000000000001
19,3,-0.18,-0.22010000000000013
19,4,0.25,-0.2957000000000003
20,0,-0.75,0.0
20,1,-0.25,-0.75
20,2,-0.42,-0.375
20,3,-0.27,-0.3720000000000001
20,4,-0.4,-0.4578000000000008
21,0,0.21,0.0
21,1,-0.32,0.2100000000000005
21,2,-0.11,-0.09739999999999997
21,3,-0.21,-0.17409999999999998
21,4,-0.55,-0.2294000000000003
22,0,-0.08,0.0
22,1,-0.29,-0.08000000000000006
22,2,-0.46,-0.1870999999999997
22,3,-0.43,-0.29409999999999953
22,4,-0.28,-0.3865000000000003
23,0,-0.33,0.0
23,1,-0.16,-0.3299999999999991
23,2,-0.1,-0.22969999999999988
23,3,0.08,-0.19820000000000002
23,4,0.1,-0.12129999999999995
24,0,-0.17,0.0
24,1,-0.36,-0.17000000000000004
24,2,0.26,-0.22890000000000021
24,3,0.21,-0.06170000000000003
24,4,0.01,-0.0644
25,0,-0.21,0.0
25,1,-0.6,-0.2100000000000005
25,2,-0.28,-0.2997000000000006
25,3,-0.35,-0.35330000000000056
25,4,-0.15,-0.2555000000000004
26,0,-0.35,0.0
26,1,0.02,-0.35000000000000064
26,2,-0.15,-0.2686000000000004
26,3,0.02,-0.18120000000000006
26,4,-0.08,-0.06590000000000008
27,0,0.01,0.0
27,1,-0.26,0.010000000000000007
27,2,-0.23,-0.13849999999999998
27,3,-0.21,-0.1874000000000002
