run,trial,ytrue,ypred
0,0,-0.57,0.0
0,1,-0.45,-0.57
0,2,-0.98,-0.51
0,3,-0.55,-0.6188353037102995
0,4,-0.92,-0.707672513039702
0,5,-0.55,-0.6491481070941462
0,6,-0.24,-0.6858839561138028
0,7,0.69,-0.39276216327180813
0,8,-0.06,-0.08405103561952071
0,9,-0.25,-0.12176082369440222
1,0,-0.47,0.0
1,1,-0.94,-0.47
1,2,-0.82,-0.7556003821441595
1,3,-1.0,-0.719319042483926
1,4,1.0,-0.7419911351935331
1,5,0.69,-0.6859151220865399
1,6,-0.96,-0.5818098270016044
1,7,-0.65,-0.4928310545666509
1,8,-0.45,-0.46573106643361595
1,9,-0.96,-0.429804406261024
2,0,-0.98,0.0
2,1,-0.82,-0.98
2,2,-0.57,-0.8999999999999999
2,3,-0.88,-0.7624458689012754
2,4,-0.55,-0.7721856138363165
2,5,-0.92,-0.8186806186506542
2,6,-0.61,-0.7017609353363834
2,7,1.0,-0.7889727615559059
2,8,-0.69,-0.6244010698455348
2,9,-0.65,-0.46689581687001813
3,0,-0.59,0.0
3,1,-0.84,-0.59
3,2,-0.96,-0.7026153349449461
3,3,-0.94,-0.7681561759273929
3,4,-0.55,-0.7380569156866461
3,5,-0.92,-0.6938568438465441
3,6,-0.82,-0.7569417837067244
3,7,-0.88,-0.6929991528590804
3,8,-0.57,-0.7058142431533451
3,9,0.69,-0.739797346530048
4,0,-0.06,0.0
4,1,-0.96,-0.06
4,2,-0.82,-0.30080325518479856
4,3,-0.71,-0.3323897299791508
4,4,-0.25,-0.24801274104861382
4,5,1.0,-0.6811249384796648
4,6,-0.94,-0.0027700463053287883
4,7,-0.57,-0.655909933702242
4,8,-0.65,-0.5101151667302601
4,9,-0.69,-0.7351993747069216
5,0,-0.59,0.0
5,1,-0.98,-0.59
5,2,-0.71,-0.7690104649977548
5,3,-0.82,-0.7571806536992058
5,4,0.12,-0.7030882533027396
5,5,-0.82,-0.7767579264894522
5,6,-0.9,-0.8904246916859839
5,7,-0.96,-0.6942012175754046
5,8,-0.8,-0.8304590628475645
5,9,-0.06,-0.6561193655005453
6,0,-0.61,0.0
6,1,-0.98,-0.61
6,2,-0.69,-0.7891178283553973
6,3,-0.61,-0.7559630962060124
6,4,-0.88,-0.7994729007398004
