run,trial,ytrue,ypred
0,0,-0.74,0.0
0,1,-0.11,-0.74
0,2,-0.25,-0.36172180973467943
0,3,-0.08,-0.416586259300924
0,4,0.16,-0.2591558262755795
0,5,-0.58,-0.2760085753458966
0,6,0.35,-0.19484622653845887
0,7,-0.38,-0.39820944588904117
0,8,0.25,-0.5199832220847542
0,9,-0.47,-0.03300837988239827
1,0,-0.11,0.0
1,1,-0.24,-0.11000000000000001
1,2,0.2,-0.175
1,3,0.03,-0.08413281403500622
1,4,-0.07,-0.08855624794268632
1,5,-0.81,-0.056582742686505746
1,6,-0.72,-0.13221243820128203
1,7,-0.41,-0.1665568360536511
1,8,-0.34,-0.24809070039544376
1,9,-0.45,-0.4841361578438842
2,0,-0.23,0.0
2,1,0.03,-0.23
2,2,-0.61,-0.07919728523196734
2,3,-0.45,-0.2528914088660989
2,4,0.23,-0.2086326465713825
2,5,-0.47,-0.2512691463222077
2,6,-0.14,-0.40328601899174826
2,7,-0.49,-0.4044709177997654
2,8,-0.37,-0.13553443882046864
2,9,-0.2,-0.2630509693036939
3,0,0.33,0.0
3,1,-0.13,0.33
3,2,-0.54,0.06921440051107168
3,3,-0.02,0.05065628974462484
3,4,-0.61,-0.13855578028456905
3,5,0.28,-0.2911356217378539
3,6,-0.69,-0.3059041932075106
3,7,-0.17,-0.5701264685792862
3,8,-0.52,-0.38340178917330187
3,9,0.27,0.21223514455852838
4,0,-0.37,0.0
4,1,0.49,-0.37
4,2,0.15,0.16073755708060583
4,3,-0.68,0.26035231395851965
4,4,-0.22,-0.3777166952059994
4,5,-0.28,-0.5076981032891807
4,6,-0.25,-0.24545769600011008
4,7,0.54,0.09438932906703915
4,8,0.17,-0.31333043947911854
4,9,-0.17,0.2711051756736652
5,0,-0.37,0.0
5,1,-0.52,-0.37
5,2,-0.23,-0.445
5,3,-0.29,-0.3613067690569656
5,4,0.21,-0.3697228350043554
5,5,-0.28,-0.1732107598573568
5,6,0.31,-0.3635521679934699
5,7,0.26,-0.19834907040776095
5,8,-0.6,-0.2605567678500015
5,9,-0.08,0.1663246012237652
6,0,0.34,0.0
6,1,-0.04,0.34
6,2,0.56,0.14227436681018052
6,3,-0.62,0.14262868632991552
6,4,-0.38,-0.45852354560964204
6,5,-0.02,-0.02018605812836996
6,6,-0.77,-0.21047146918259552
6,7,-0.24,-0.17602379382833244
6,8,0.12,0.21469846466458442
6,9,-0.21,-0.10040071191749034
7,0,-0.16,0.0
7,1,-0.27,-0.16
7,2,-0.8,-0.21500000000000002
7,3,-0.05,-0.5337318884234301
7,4,-0.05,-0.15656281551337575
7,5,0.05,-0.2978032876870458
7,6,-0.4,-0.2708869323323557
7,7,-0.04,-0.09930864682520055
7,8,0.36,-0.14915668662359174
7,9,0.37,-0.19548219809562167
8,0,0.57,0.0
8,1,0.43,0.57
8,2,-0.26,0.5
8,3,0.47,0.0789793034604914
8,4,-0.23,0.0013287074599759308
8,5,-0.08,0.4061044320910575
8,6,-0.51,0.2160720864013776
8,7,0.09,-0.17930239039739077
8,8,-0.13,0.11108550808914672
8,9,-0.3,-0.0030822986358599175
9,0,-0.31,0.0
9,1,-0.19,-0.31
9,2,-0.31,-0.25
9,3,-0.65,-0.25
9,4,-0.37,-0.548583708174096
9,5,-0.07,-0.4934095581013938
9,6,-0.51,-0.46202734072701646
9,7,-0.79,-0.4758272149502209
9,8,-0.18,-0.3409837149787965
9,9,-0.68,-0.3419440243824352
10,0,-0.02,0.0
10,1,0.07,-0.020000000000000004
10,2,-0.12,0.025
10,3,0.05,-0.024999999999999994
10,4,0.8,-0.024999999999999994
10,5,-0.08,0.1581875138803885
10,6,-0.54,-0.07854828145969375
10,7,-0.37,0.13964913778505889
10,8,-0.51,-0.40958127381486326
10,9,-0.55,-0.18566083353746907
11,0,-0.45,0.0
11,1,-0.34,-0.45
11,2,0.13,-0.395
11,3,0.28,-0.09055990659872282
11,4,0.05,-0.11767290470283939
11,5,0.02,-0.2079976646479885
11,6,-0.1,-0.01839967372572443
11,7,0.5,-0.16257082925134597
11,8,0.05,-0.05619665921066033
11,9,-0.86,-0.15542618100776912
12,0,0.03,0.0
12,1,-0.46,0.03
12,2,-0.02,-0.1952673058535494
12,3,-0.24,-0.17013819737609082
12,4,-0.25,-0.3387252530062068
12,5,0.14,-0.18636368844993276
12,6,-0.31,-0.08295303299044875
12,7,-0.26,0.011291663260218049
12,8,-0.03,-0.02068379369363535
12,9,-0.26,-0.18543137134212165
13,0,0.48,0.0
13,1,0.06,0.48
13,2,-0.39,0.1725524061963845
13,3,0.49,-0.11951193338944396
13,4,-0.31,0.06873502728973102
13,5,-0.07,-0.003992742993424558
13,6,-0.34,0.18026535492898044
13,7,-0.42,-0.24330661458735306
13,8,-0.22,0.04475932896763457
13,9,0.14,0.1805021160244396
14,0,0.92,0.0
14,1,0.32,0.92
14,2,-0.69,0.6256281396130317
14,3,0.58,0.351216261880785
14,4,-0.72,-0.08377470940102902
14,5,-0.28,-0.045800599296166936
14,6,0.05,-0.4597715545678241
14,7,-0.5,0.27569545568259163
14,8,-0.35,-0.1114722036078467
14,9,0.74,0.6013808062561118
15,0,0.31,0.0
15,1,-0.67,0.31
15,2,0.41,-0.18447987501939647
15,3,-0.74,0.023962597537808356
15,4,0.11,0.019037394939231234
15,5,-0.13,-0.17195708835493317
15,6,-0.47,-0.3290725518367117
15,7,-0.42,-0.012560795544891756
15,8,-0.51,-0.49406652336215495
15,9,0.16,-0.25354300487197146
16,0,0.44,0.0
16,1,0.15,0.44
16,2,-0.71,0.2882820063785825
16,3,0.43,-0.347136413166105
16,4,-0.31,-0.14412086767192195
16,5,-0.13,0.1406763810914657
16,6,-0.33,0.08578908218094047
16,7,0.35,0.36286837958545715
16,8,0.32,-0.01865424808624678
16,9,0.47,0.16615934048859476
17,0,0.28,0.0
17,1,-0.0,0.28
17,2,-0.14,0.14070915388032532
17,3,-0.03,0.046066023087807925
17,4,-0.41,0.12954784467584585
17,5,0.24,-0.005889914395749915
17,6,-0.39,-0.04276517235513504
17,7,0.58,0.0018939253322299426
17,8,-0.03,0.011231790757293914
17,9,0.4,0.281711961047228
18,0,-0.77,0.0
18,1,-0.08,-0.77
18,2,-0.28,-0.1594766640751239
18,3,-0.28,-0.35874747725526335
18,4,0.15,-0.3312111170513381
18,5,-0.18,-0.03618035295943817
18,6,-0.12,-0.15198539038815168
18,7,0.01,-0.14824808903310108
