run,trial,ytrue,ypred
0,0,-0.99,0.0
0,1,-0.89,-0.99
0,2,-1.0,-0.94
0,3,-1.0,-0.9450000000000001
0,4,-1.0,-0.9450000000000001
0,5,-1.0,-0.9450000000000001
0,6,-0.99,-0.9450000000000001
0,7,-1.0,-0.9450000000000001
0,8,-1.0,-0.9450000000000001
0,9,-1.0,-0.9450000000000001
1,0,-0.99,0.0
1,1,-0.98,-0.99
1,2,-0.99,-0.9850000000000001
1,3,-1.0,-0.9850000000000001
1,4,-1.0,-0.99
1,5,-1.0,-0.99
1,6,-1.0,-0.99
1,7,-1.0,-0.99
1,8,-1.0,-0.99
1,9,-1.0,-0.99
2,0,-0.99,0.0
2,1,-1.0,-0.99
2,2,-0.67,-0.9950000000000001
2,3,-1.0,-0.8987333528963756
2,4,-1.0,-0.850655087226488
2,5,-0.99,-0.865024827004237
2,6,-1.0,-0.8991083247032869
2,7,-1.0,-0.8938414641017438
2,8,-1.0,-0.8989381813117538
2,9,-0.97,-0.8969313539872958
3,0,-1.0,0.0
3,1,-0.99,-1.0
3,2,-1.0,-0.9950000000000001
3,3,-1.0,-0.9950000000000001
3,4,-1.0,-0.9950000000000001
3,5,-1.0,-0.9950000000000001
3,6,-0.93,-0.9950000000000001
3,7,-1.0,-0.9650000000000001
3,8,-0.98,-0.9650000000000001
3,9,-1.0,-0.9650000000000001
4,0,-0.99,0.0
4,1,-1.0,-0.99
4,2,-1.0,-0.9950000000000001
4,3,-1.0,-0.9950000000000001
4,4,-0.95,-0.9950000000000001
4,5,-1.0,-0.9750000000000001
4,6,-0.95,-0.9750000000000001
4,7,-0.93,-0.9750000000000001
4,8,-1.0,-0.9650000000000001
4,9,-0.99,-0.9650000000000001
5,0,-1.0,0.0
5,1,-1.0,-1.0
5,2,-0.99,-1.0
5,3,-1.0,-0.9950000000000001
5,4,-1.0,-0.9950000000000001
5,5,-1.0,-0.9950000000000001
5,6,-0.98,-0.9950000000000001
5,7,-1.0,-0.99
5,8,-1.0,-0.99
5,9,-1.0,-0.99
6,0,-1.0,0.0
6,1,-0.93,-1.0
6,2,-1.0,-0.9650000000000001
6,3,-0.96,-0.9650000000000001
6,4,-0.99,-0.9650000000000001
6,5,-1.0,-0.9650000000000001
6,6,-1.0,-0.9650000000000001
6,7,-1.0,-0.9650000000000001
6,8,-0.95,-0.9650000000000001
6,9,-0.99,-0.9650000000000001
7,0,-1.0,0.0
7,1,-1.0,-1.0
7,2,-1.0,-1.0
7,3,-0.96,-1.0
7,4,-1.0,-0.98
7,5,-1.0,-0.98
7,6,-1.0,-0.98
7,7,-1.0,-0.98
7,8,-1.0,-0.98
7,9,-1.0,-0.98
8,0,-1.0,0.0
8,1,-1.0,-1.0
8,2,-1.0,-1.0
8,3,-1.0,-1.0
8,4,-1.0,-1.0
8,5,-0.99,-1.0
8,6,-1.0,-0.9950000000000001
8,7,-1.0,-0.9950000000000001
8,8,-0.95,-0.9950000000000001
8,9,-1.0,-0.9750000000000001
9,0,-1.0,0.0
9,1,-0.99,-1.0
9,2,-1.0,-0.9950000000000001
9,3,-1.0,-0.9950000000000001
9,4,-1.0,-0.9950000000000001
9,5,-0.97,-0.9950000000000001
9,6,-1.0,-0.9850000000000001
9,7,-1.0,-0.9850000000000001
9,8,-1.0,-0.9850000000000001
9,9,-0.99,-0.9850000000000001
10,0,-1.0,0.0
10,1,-0.99,-1.0
10,2,-1.0,-0.9950000000000001
10,3,-1.0,-0.9950000000000001
10,4,-1.0,-0.9950000000000001
10,5,-0.99,-0.9950000000000001
10,6,-1.0,-0.9950000000000001
10,7,-1.0,-0.9950000000000001
10,8,-1.0,-0.9950000000000001
10,9,-1.0,-0.9950000000000001
11,0,-1.0,0.0
11,1,-0.99,-1.0
11,2,-1.0,-0.9950000000000001
11,3,-1.0,-0.9950000000000001
11,4,-0.99,-0.9950000000000001
11,5,-1.0,-0.9950000000000001
11,6,-0.99,-0.9950000000000001
11,7,-1.0,-0.9950000000000001
11,8,-1.0,-0.9950000000000001
11,9,-0.99,-0.9950000000000001
12,0,-1.0,0.0
12,1,-1.0,-1.0
12,2,-0.99,-1.0
12,3,-1.0,-0.9950000000000001
12,4,-1.0,-0.9950000000000001
12,5,-1.0,-0.9950000000000001
12,6,-0.99,-0.9950000000000001
12,7,-0.95,-0.9950000000000001
12,8,-1.0,-0.9750000000000001
12,9,-1.0,-0.9750000000000001
13,0,-1.0,0.0
13,1,-1.0,-1.0
13,2,-1.0,-1.0
13,3,-1.0,-1.0
13,4,-1.0,-1.0
13,5,-0.99,-1.0
13,6,-0.99,-0.9950000000000001
13,7,-1.0,-0.9950000000000001
13,8,-1.0,-0.9950000000000001
13,9,-1.0,-0.9950000000000001
14,0,-1.0,0.0
14,1,-1.0,-1.0
14,2,-1.0,-1.0
14,3,-0.9,-1.0
14,4,-1.0,-0.95
14,5,-1.0,-0.95
14,6,-1.0,-0.95
14,7,-1.0,-0.95
14,8,-1.0,-0.95
14,9,-1.0,-0.95
15,0,-1.0,0.0
15,1,-0.97,-1.0
15,2,-1.0,-0.9850000000000001
15,3,-1.0,-0.9850000000000001
15,4,-0.99,-0.9850000000000001
15,5,-0.97,-0.9850000000000001
15,6,-1.0,-0.9850000000000001
15,7,-1.0,-0.9850000000000001
15,8,-1.0,-0.9850000000000001
15,9,-0.99,-0.9850000000000001
16,0,-1.0,0.0
16,1,-1.0,-1.0
16,2,-1.0,-1.0
16,3,-1.0,-1.0
16,4,-1.0,-1.0
16,5,-1.0,-1.0
16,6,-1.0,-1.0
16,7,-1.0,-1.0
16,8,-0.99,-1.0
