run,trial,ytrue,ypred
0,0,-0.55,0.0
0,1,-0.5,-0.55
0,2,-0.73,-0.525
0,3,-0.48,-0.6150738504336725
0,4,-0.67,-0.6127187630793948
0,5,-0.05,-0.599798333977263
0,6,-0.58,-0.3368695187870864
0,7,-0.77,-0.3303964026279679
0,8,-0.21,-0.6465827249245338
0,9,-0.54,-0.5678957779593036
1,0,-0.16,0.0
1,1,-0.94,-0.16
1,2,-0.58,-0.4423550048112487
1,3,-0.51,-0.5410076210111532
1,4,-0.17,-0.3367917248644948
1,5,-0.68,-0.268922267805832
1,6,-0.25,-0.4421903989621434
1,7,-0.53,-0.35558214423549694
1,8,-0.28,-0.5322646768188382
1,9,-0.2,-0.8147948900092727
2,0,-0.4,0.0
2,1,-0.65,-0.4
2,2,-0.03,-0.5028376992994902
2,3,-0.55,-0.13524009767342504
2,4,-0.37,-0.5082206643938385
2,5,-0.76,-0.5584893941954421
2,6,-0.5,-0.49775370104083266
2,7,-0.71,-0.5330462200114979
2,8,-0.43,-0.6031040904831322
2,9,-0.53,-0.5060135828898078
3,0,-0.17,0.0
3,1,-0.59,-0.17
3,2,-0.68,-0.378945277468805
3,3,-0.57,-0.4627469188522542
3,4,-0.17,-0.4590124517150055
3,5,-0.49,-0.1885997901455168
3,6,-0.3,-0.47529968004855777
3,7,-0.62,-0.2720540703376712
3,8,-0.84,-0.4193231283218124
3,9,-0.43,-0.5675361315624121
4,0,0.04,0.0
4,1,-0.74,0.04000000000000001
4,2,-0.5,-0.6400401499093571
4,3,-0.69,-0.19999066163543303
4,4,-0.16,-0.3556322242971909
4,5,-0.59,-0.43260197928361244
4,6,-0.51,-0.4798566735298954
4,7,-0.62,-0.6653954277878652
4,8,-0.43,-0.7514835250710796
4,9,-0.86,-0.42783073525899573
5,0,-0.91,0.0
5,1,-0.41,-0.91
5,2,-0.33,-0.6527612945152783
5,3,-0.67,-0.7142109030711197
5,4,-0.59,-0.5240552685839841
5,5,-0.33,-0.6296961652145999
5,6,-0.52,-0.392053799367019
5,7,-0.6,-0.569900120597418
5,8,-0.63,-0.5364340867505645
5,9,-0.56,-0.50359726896624
6,0,-0.15,0.0
6,1,-0.56,-0.15
6,2,-0.27,-0.4333400972355467
6,3,-0.81,-0.41174483926349575
6,4,-0.59,-0.5078156652493641
6,5,-0.05,-0.3443904314946659
6,6,-0.53,-0.1324125518765542
6,7,-0.31,-0.18940712666569887
6,8,-0.44,-0.3526464370108235
6,9,-0.55,-0.34824577585636163
7,0,-0.27,0.0
7,1,-0.56,-0.27
7,2,-0.28,-0.4093160133204319
7,3,-0.17,-0.4076461033798279
7,4,-0.21,-0.29313602220136276
7,5,-0.56,-0.2832335126292699
7,6,-0.32,-0.349119561062176
7,7,-0.75,-0.4201253671651241
7,8,-0.42,-0.6338888621062813
7,9,-0.62,-0.39318805917938593
8,0,-0.6,0.0
8,1,-0.58,-0.6
8,2,-0.37,-0.59
8,3,-0.34,-0.4952697036435606
8,4,-0.67,-0.4714142450487687
8,5,-0.43,-0.4892364296958101
8,6,-0.71,-0.46675837294183187
8,7,-0.33,-0.47320216204962284
8,8,-0.82,-0.5214831253040096
8,9,-0.01,-0.3868991176923924
9,0,-0.28,0.0
9,1,-0.67,-0.28
9,2,-0.78,-0.5126457067085632
9,3,-0.6,-0.5277572535489587
9,4,-0.43,-0.45299939612520146
9,5,-0.25,-0.6077178661452558
9,6,-0.81,-0.5161256236186595
9,7,-0.42,-0.5009588842606234
9,8,-0.54,-0.37991233070316616
9,9,-0.98,-0.4883906216763153
10,0,-0.55,0.0
10,1,-0.33,-0.55
10,2,-0.44,-0.4450086110879049
10,3,-0.28,-0.43125242306818873
10,4,-0.56,-0.3928762609943138
10,5,-0.01,-0.47270731542858163
10,6,-0.51,-0.41091524748479596
10,7,-0.52,-0.36534332001324676
10,8,-0.9,-0.3933199299835807
10,9,-0.68,-0.6211559670575882
11,0,-0.36,0.0
11,1,-0.5,-0.36
11,2,-0.64,-0.43
11,3,-0.85,-0.5008813526590106
11,4,-0.4,-0.7220375358445896
11,5,-0.48,-0.4491233460272115
11,6,-0.56,-0.5528314923449976
11,7,-0.54,-0.5764839188993376
11,8,-0.13,-0.5338849720450598
11,9,-0.28,-0.520253911814811
12,0,-0.37,0.0
12,1,-0.63,-0.37
12,2,-0.43,-0.5031986332866304
12,3,-0.57,-0.48141123402653585
12,4,-0.16,-0.5129112696220377
12,5,-0.4,-0.45092471190191025
12,6,-0.56,-0.35719748594544376
12,7,-0.59,-0.47213396947559777
12,8,-0.39,-0.45368778855056546
12,9,-0.33,-0.37016481736665185
13,0,-0.17,0.0
13,1,-0.13,-0.17
13,2,-0.33,-0.15000000000000002
13,3,0.19,-0.23
13,4,-0.01,-0.12134248122839937
13,5,-0.17,-0.07771928656095378
