run,trial,ytrue,ypred
0,0,-0.01,0.0
0,1,-0.56,-0.009999999999999995
0,2,0.17,-0.4394524149401923
0,3,-0.25,-0.5093550665676002
0,4,-0.11,-0.017897243671842727
0,5,-0.29,0.17140793276648522
0,6,-0.06,-0.06895455424020586
0,7,-0.08,-0.028222820895878215
0,8,-0.68,-0.058778700642433596
0,9,-0.1,-0.12516539737039192
1,0,0.06,0.0
1,1,-0.15,0.06
1,2,-0.21,-0.04493214636395555
1,3,-0.63,-0.043530615677854274
1,4,-0.5,-0.24582698560704516
1,5,0.06,-0.2680524055432155
1,6,0.37,-0.22046414980341994
1,7,-0.25,-0.3687195905717988
1,8,-0.34,-0.09692770065527256
1,9,0.28,-0.23976050997940543
2,0,-0.89,0.0
2,1,0.11,-0.89
2,2,-0.49,-0.41041891120024687
2,3,-0.53,-0.7799910395405827
2,4,0.11,-0.18933197144764125
2,5,-0.63,-0.244477312678457
2,6,-0.42,-0.6320800559522805
2,7,-0.23,-0.5138355586338543
2,8,-0.41,-0.4396798969659412
2,9,-0.04,-0.10062645068350023
3,0,-0.09,0.0
3,1,-0.7,-0.09
3,2,-0.26,-0.5467158183145864
3,3,-0.12,-0.23535184473608053
3,4,-0.48,-0.20681342834357688
3,5,-0.26,-0.27462268603923373
3,6,0.25,-0.6415132892429795
3,7,0.15,-0.03730428093306537
3,8,-0.23,-0.14920858670806897
3,9,-0.0,-0.032216127871939726
4,0,-0.13,0.0
4,1,-0.07,-0.13
4,2,-0.32,-0.1
4,3,-0.06,-0.22057608738696338
4,4,-0.36,-0.15308731005283596
4,5,-0.25,-0.23970924934670634
4,6,-0.16,-0.22712326537176036
4,7,-0.71,-0.2071132619660333
4,8,-0.03,-0.32405964035029
4,9,-0.18,-0.10855283766293727
5,0,-0.53,0.0
5,1,-0.31,-0.53
5,2,-0.01,-0.41781952632070263
5,3,-0.36,-0.22733291171784442
5,4,-0.69,-0.17668825286912798
5,5,-0.61,-0.08971644345362045
5,6,-0.23,-0.44846176513187125
5,7,-0.71,-0.5831506502687644
5,8,-0.62,-0.4670207707103372
5,9,-0.27,-0.46708218651903366
6,0,-0.52,0.0
6,1,0.22,-0.52
6,2,-0.29,-0.421215946922736
6,3,-0.21,-0.13409721521201037
6,4,-0.22,-0.17222858010880698
6,5,-0.51,-0.3034817893938876
6,6,-0.28,-0.0539593974466982
6,7,-0.01,-0.20061607243361734
6,8,0.22,0.055695806920846386
6,9,-0.45,-0.265082901283363
7,0,-0.34,0.0
7,1,-0.17,-0.34
7,2,-0.62,-0.255
7,3,-0.13,-0.3813636085034903
7,4,-0.15,-0.25153658832232784
7,5,-0.48,-0.22942612973052356
7,6,-0.26,-0.3526641265614691
7,7,-0.08,-0.1540483093019353
7,8,-0.19,-0.36188492473273054
7,9,-0.72,-0.27159062982208737
8,0,-0.44,0.0
8,1,-0.38,-0.44
8,2,0.01,-0.41
8,3,-0.62,-0.3392328012451056
8,4,-0.35,-0.4405785570471517
8,5,-0.18,-0.2820222022315782
8,6,-0.47,-0.273385143073076
8,7,-0.04,-0.19751367374062717
8,8,0.0,-0.41490674250726056
8,9,-0.04,-0.12828253632159484
9,0,-0.21,0.0
9,1,-0.43,-0.21
9,2,-0.44,-0.31994962037264985
9,3,-0.56,-0.32959380447853537
9,4,0.21,-0.3753897487119944
9,5,-0.27,-0.344918939215461
9,6,-0.42,-0.5090324530666067
9,7,-0.26,-0.26471436411700955
9,8,-0.21,-0.3348250615394131
9,9,-0.12,-0.3305180310765875
10,0,-0.84,0.0
10,1,-0.58,-0.84
10,2,-0.58,-0.6803020345355291
10,3,-0.36,-0.7043838280833974
10,4,-0.08,-0.6613808535499008
10,5,0.04,-0.44152518506922767
10,6,-0.18,-0.049551461532857055
10,7,-0.3,-0.7088693534073974
10,8,0.08,-0.11488988881636919
10,9,-0.42,-0.15103861786799475
11,0,-0.42,0.0
11,1,-0.07,-0.42
11,2,-0.35,-0.2816488470650539
11,3,0.01,-0.23419805277915265
11,4,0.06,-0.2753572318902176
11,5,-0.26,-0.24981113307374464
11,6,-0.22,-0.10909856695589085
11,7,-0.09,-0.07881774713570948
11,8,0.17,-0.32404576737850216
11,9,-0.76,-0.13668725680415783
12,0,-0.44,0.0
12,1,-0.3,-0.44
12,2,-0.43,-0.37
12,3,-0.25,-0.37
12,4,0.16,-0.345
12,5,-0.29,-0.2335966816660641
12,6,-0.09,-0.1955481387717688
12,7,0.07,-0.1936561798658634
12,8,-0.22,-0.18522060688499797
12,9,-0.91,-0.33110320680176447
13,0,-0.63,0.0
13,1,-0.23,-0.63
13,2,-0.26,-0.35476345945622023
13,3,-0.33,-0.41053239224349297
13,4,0.18,-0.43124047987652947
13,5,-0.04,-0.08619058021663895
13,6,-0.35,-0.030863314709148437
13,7,-0.55,-0.15741768373120954
13,8,-0.26,-0.21558083364196126
13,9,-0.02,-0.4168994704472333
14,0,-0.53,0.0
14,1,-0.28,-0.53
14,2,-0.22,-0.39914217257919277
14,3,0.54,-0.363633451952705
14,4,-0.21,0.10245997526295769
14,5,-0.13,-0.14412409269133558
14,6,-0.53,-0.43849137019469775
14,7,-0.49,0.3187147920283069
14,8,-0.34,-0.24057760522922841
14,9,-0.62,-0.10232676988826334
15,0,0.11,0.0
15,1,-0.55,0.11000000000000001
15,2,-0.34,-0.23331011562877607
15,3,-0.46,-0.2648770013833181
15,4,-0.44,-0.2750991945343969
15,5,0.04,-0.1408114044646943
15,6,-0.35,-0.42510132149463614
15,7,-0.4,-0.05704842645193617
15,8,-0.54,-0.37392874699686796
