run,trial,ytrue,ypred
0,0,0.0,0.0
0,1,-0.33,0.0
0,2,-0.33,-0.10253518146749889
0,3,0.0,-0.04499770482211968
0,4,-1.0,-0.1886929406308828
0,5,0.0,-0.6530035156636843
0,6,0.0,-0.1361521141536654
0,7,0.0,-0.3322816728810114
0,8,0.0,-0.016616190407226394
0,9,0.33,-0.1944537040961961
1,0,0.0,0.0
1,1,0.0,0.0
1,2,-0.33,0.0
1,3,0.0,-0.09311042424158159
1,4,-0.67,-0.10239609069042471
1,5,0.0,-0.32199050202806667
1,6,0.0,-0.21825755488020435
1,7,0.0,-0.1538355711144873
1,8,0.0,-0.2640728527108925
1,9,0.33,-0.1796513801537253
2,0,0.0,0.0
2,1,-0.33,0.0
2,2,0.0,-0.2143174786566346
2,3,0.33,-0.1312504347240841
2,4,0.0,-0.06799743111194345
2,5,0.0,-0.22589789370083097
2,6,-0.33,-0.15829365240610316
2,7,0.33,0.04654326990963477
2,8,-0.33,-0.050006702458780805
2,9,-0.33,-0.2533577483346709
3,0,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.0
3,3,-0.33,0.0
3,4,0.0,-0.04194029353956599
3,5,-0.33,-0.04126502013040177
3,6,0.33,-0.06906766532392053
3,7,0.0,-0.11994726825994431
3,8,0.67,-0.05455073297319865
3,9,0.0,-0.040781875345650476
4,0,0.0,0.0
4,1,0.33,0.0
4,2,0.0,0.09259035707600563
4,3,0.0,0.09396888064768882
4,4,-0.33,0.12210874450725512
4,5,-0.33,-0.1451138138570226
4,6,0.33,-0.05201159853222381
4,7,0.0,0.15087149933611738
4,8,-0.33,-0.1471333732978986
4,9,0.0,0.12539698909925973
5,0,-0.33,0.0
5,1,-0.33,-0.33
5,2,0.0,-0.33
5,3,0.0,-0.20828428932588636
5,4,0.0,-0.12132938923355935
5,5,0.33,-0.09479928671211593
5,6,0.0,-0.12710896604791627
5,7,0.0,-0.2780571099735588
5,8,0.0,-0.13830853723501718
5,9,0.67,-0.1217606405811064
6,0,0.0,0.0
6,1,0.0,0.0
6,2,-0.33,0.0
6,3,0.0,-0.1850791318858029
6,4,0.67,-0.05270743235864146
6,5,-0.67,-0.2088836976308285
6,6,0.0,-0.3990904386281773
6,7,0.0,-0.1227097583120319
6,8,-0.33,-0.3799448872518153
6,9,0.0,0.008018973695948645
7,0,-0.33,0.0
7,1,-0.33,-0.33
7,2,-0.33,-0.33
7,3,0.0,-0.33
7,4,-0.33,-0.21091898626022235
7,5,0.33,-0.21774966447979743
7,6,-0.33,0.0694243682146576
7,7,-0.33,-0.1881408567853688
7,8,0.33,-0.08853165644402558
7,9,0.0,-0.2592818844703343
8,0,0.67,0.0
8,1,0.33,0.67
8,2,0.0,0.4827078391066915
8,3,-0.33,0.22535377813327878
8,4,-0.33,-0.022584404465719715
8,5,0.67,0.2400043642003824
8,6,0.33,0.1963639979016264
8,7,0.33,0.30096274213684576
8,8,0.0,0.4879289495285887
8,9,-0.33,0.21885591063219847
9,0,-0.67,0.0
9,1,0.33,-0.67
9,2,-0.33,0.0019194366379934324
9,3,-0.33,-0.3728637253230209
9,4,0.0,0.0071001581005804
9,5,0.67,-0.42068930204196026
9,6,-0.33,0.008668488919229195
9,7,0.0,-0.26294285178280297
9,8,0.67,-0.14476025883126295
9,9,0.33,0.26777611367576226
10,0,-0.33,0.0
10,1,0.33,-0.33
10,2,0.0,-0.0903699817546895
10,3,0.0,-0.1440692888854037
10,4,0.0,0.20414145892607177
10,5,0.67,-0.010120070468357752
10,6,0.0,0.0026150737386782183
10,7,0.0,-0.21111926277388
10,8,0.33,-0.17294338800562553
10,9,-0.67,0.042451678781192936
11,0,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,-0.33,0.0
11,4,-0.33,-0.1668277695699308
11,5,0.33,-0.2684082221835898
11,6,0.0,0.08423074024593691
11,7,0.67,0.09237495883611899
11,8,0.33,-0.03957813997849517
11,9,0.0,0.12484657350658643
12,0,0.33,0.0
12,1,-0.33,0.33
12,2,0.0,-0.21505547042764
12,3,0.33,0.1130404009102775
12,4,0.0,-0.07017208020719266
12,5,0.33,-0.026122724772622674
12,6,0.0,0.20168632585334267
12,7,-0.33,-0.14724702952987764
12,8,0.33,0.28700897925905555
12,9,0.33,0.12809591079514482
13,0,-0.33,0.0
13,1,-0.33,-0.33
13,2,-0.33,-0.33
13,3,0.67,-0.33
13,4,0.33,-0.30144537479091493
13,5,0.33,0.013071480252931686
13,6,0.0,0.0962321647070648
13,7,-0.33,0.08325124447152853
13,8,0.33,0.22305425214421584
13,9,0.0,-0.23645065163920048
14,0,0.33,0.0
14,1,0.0,0.33
14,2,0.67,0.1644623687709442
14,3,0.0,0.43769695177376705
14,4,0.33,0.13602589168429513
14,5,0.0,0.034174703149032926
14,6,-0.33,0.04868520489469899
14,7,-0.33,0.21580852986098195
14,8,0.0,-0.18504468747404618
14,9,-0.33,-0.20020991513621575
15,0,0.0,0.0
15,1,0.33,0.0
15,2,0.0,0.2060528954995554
15,3,-0.33,0.31911975936028136
15,4,0.0,-0.14046065998996451
15,5,0.0,-0.01587793409008964
15,6,0.0,-0.0699241077972205
15,7,0.0,-0.04362262805306644
15,8,0.33,-0.20379214876751517
15,9,0.0,0.08883373705320462
16,0,-0.33,0.0
16,1,0.0,-0.33
16,2,-0.67,-0.16503605165405483
16,3,-0.33,-0.20248638214330655
16,4,0.67,-0.3621016750151335
16,5,0.0,0.46573140395036344
16,6,0.33,0.16351590686616285
16,7,0.33,0.3115768436185258
16,8,-0.33,-0.3679814449356179
16,9,-0.33,-0.221854063145487
17,0,-1.0,0.0
17,1,0.33,-1.0
17,2,-0.33,-0.34077722736922
17,3,0.67,-0.26062841141079035
17,4,-0.33,-0.2764769865116194
17,5,0.33,-0.052628568358312214
17,6,0.0,0.2887409864590569
17,7,0.0,0.3183799905573411
17,8,0.0,0.2954812790641745
17,9,0.67,0.1316677710963158
18,0,0.0,0.0
18,1,0.33,0.0
18,2,0.0,0.14209144413932426
18,3,-0.33,0.14093098864540676
18,4,0.67,-0.004144217743421937
18,5,0.0,0.18248206792285152
18,6,0.0,-0.1419140724649416
18,7,0.33,0.07342161385804266
18,8,0.0,0.13534363248240794
18,9,0.0,0.2965261364843688
19,0,0.0,0.0
19,1,0.0,0.0
19,2,-0.67,0.0
19,3,-0.33,-0.1458649183823837
19,4,-0.67,-0.32840545277566213
19,5,-0.33,-0.18071958178413372
19,6,0.33,-0.3764911953452057
19,7,0.0,-0.16658109064602178
19,8,-0.33,-0.3416733971125011
19,9,0.0,-0.2733254424162536
20,0,-0.67,0.0
20,1,-0.33,-0.67
20,2,-0.33,-0.4870715973672909
20,3,0.33,-0.4305316106950634
20,4,0.0,-0.17262310556781607
20,5,0.0,-0.18303635960198597
20,6,0.0,-0.3814588763751175
20,7,-0.33,0.05557528257000667
20,8,0.0,-0.15425714896832377
20,9,0.0,-0.14777743112630193
21,0,0.33,0.0
21,1,0.0,0.33
21,2,-0.33,0.19885506348023776
21,3,-0.33,-0.20930313881909385
21,4,0.0,-0.04397907468139949
21,5,0.33,-0.017277237092478234
21,6,-0.33,-0.011000656378650775
21,7,-0.33,-0.21050688941956244
21,8,-0.33,-0.11395422622746462
21,9,0.0,0.026879645204886025
22,0,0.0,0.0
22,1,0.0,0.0
22,2,-0.33,0.0
22,3,0.0,-0.104337197433863
22,4,-0.33,-0.11335674057840549
22,5,0.0,-0.10762086291400355
22,6,-0.33,-0.18862089427672335
22,7,0.0,-0.18566925314582586
22,8,0.33,-0.09386549076453635
22,9,-0.33,-0.362537703686485
23,0,0.0,0.0
23,1,0.33,0.0
23,2,0.33,0.10073590712334424
23,3,-0.33,0.12541504264125178
23,4,0.0,0.07863165638163498
23,5,0.0,0.18720396472004708
23,6,0.0,0.1042114953475794
23,7,0.33,0.28220045982055386
23,8,-0.33,-0.12259349602977945
23,9,0.67,0.2859717717072237
24,0,-0.33,0.0
24,1,-0.33,-0.33
24,2,0.0,-0.33
24,3,0.33,-0.1259295525476543
24,4,-0.33,-0.1291879838722051
24,5,0.0,0.11681465539749787
24,6,0.33,0.15102764182397493
24,7,0.0,-0.2459045177042526
24,8,0.0,-0.02643430210491366
24,9,-0.33,-0.181388891474586
25,0,0.0,0.0
25,1,-0.67,0.0
25,2,0.33,-0.49142881849639364
25,3,0.0,-0.2994894210414587
25,4,0.0,0.07024647957721336
25,5,-0.33,-0.11344614553660032
25,6,0.0,0.10805572020398116
25,7,0.0,-0.06995525848447721
25,8,0.0,-0.03182516603358551
25,9,0.0,-0.013819060468772732
26,0,0.0,0.0
26,1,-0.33,0.0
26,2,-0.33,-0.1572303053179617
26,3,0.0,-0.2543870920030131
26,4,-0.33,-0.15780654738805322
26,5,0.0,-0.25329267704191255
26,6,-0.33,-0.2156168872173091
26,7,0.33,-0.09073951187379788
26,8,0.0,-0.28932133208160027
26,9,0.0,-0.15485140444422382
27,0,0.0,0.0
27,1,0.0,0.0
27,2,0.0,0.0
27,3,0.0,0.0
27,4,0.33,0.0
27,5,-0.33,0.11614925501678483
27,6,0.0,-0.07485280894027231
27,7,0.0,-0.09587779875518024
27,8,-0.33,-0.10436844870239213
27,9,0.0,0.04914112537179689
28,0,-0.33,0.0
28,1,0.33,-0.33
28,2,0.67,0.13648182723744715
28,3,0.0,0.057257383784152543
28,4,0.0,0.23448100931197496
28,5,0.0,0.31330472166474344
28,6,0.0,0.30047530216994567
28,7,0.0,-0.21305121573461006
28,8,0.0,0.10815376956278198
28,9,0.67,0.3266863013302676
29,0,0.0,0.0
29,1,0.33,0.0
29,2,0.0,0.21195600083270796
29,3,-0.33,0.12766148775497524
29,4,-0.33,-0.14680685727184956
29,5,0.0,0.1477823586594235
29,6,-0.33,-0.20451789703768267
29,7,0.0,-0.012302619635160654
29,8,0.0,0.017505492028884028
29,9,-0.33,-0.20489665677410174
30,0,0.0,0.0
30,1,0.33,0.0
30,2,-0.33,0.203088720230455
30,3,-0.33,-0.13290709787620564
30,4,0.0,-0.027603325312889525
30,5,-0.33,-0.03290252547065191
30,6,0.33,-0.03725472370073464
30,7,0.0,0.13366391799334085
30,8,0.33,0.12502602328914222
30,9,-0.33,-0.18582776977945836
31,0,0.0,0.0
31,1,-0.33,0.0
31,2,0.67,-0.07185531326682043
31,3,0.33,0.29743680158541813
31,4,0.33,0.2539859556866482
31,5,0.33,0.21675985552413285
31,6,0.0,0.1441908818071853
31,7,-0.33,-0.3183500849073903
31,8,0.33,0.35998813060643375
31,9,0.0,-0.3030264704890342
32,0,0.0,0.0
32,1,0.0,0.0
32,2,0.0,0.0
32,3,0.0,0.0
32,4,-0.33,0.0
32,5,-0.33,-0.09763102542705607
32,6,0.0,-0.17107828630668478
32,7,0.33,-0.13884059286308237
32,8,0.0,0.10085242917270258
32,9,-0.33,0.02620046424356573
33,0,-0.33,0.0
33,1,0.0,-0.33
33,2,0.0,-0.15901863250342055
33,3,0.0,-0.10051253596224506
33,4,-0.33,-0.2267904683605521
33,5,0.0,-0.18623666181502402
33,6,0.0,-0.07348836604477672
33,7,-0.33,-0.20932929308351808
33,8,-0.33,-0.08395723112661427
33,9,0.0,-0.11776066647547918
34,0,0.0,0.0
34,1,-0.33,0.0
34,2,0.0,-0.13365451587794272
34,3,-0.33,-0.17111975617581068
34,4,-0.33,-0.08905868066645209
34,5,-0.33,-0.14893985729946688
34,6,0.0,-0.3205273733780569
34,7,-0.33,-0.1730911797941321
34,8,-0.33,-0.10258620407622819
34,9,-0.33,-0.2937451576056559
35,0,0.0,0.0
35,1,-0.33,0.0
35,2,-0.33,-0.071503964133774
35,3,0.0,-0.15603139389858814
35,4,0.0,-0.14370323759739467
35,5,-0.67,-0.07689382544762147
35,6,0.0,-0.3402706587055052
35,7,0.0,-0.08394000608827665
35,8,0.0,-0.1852164802204295
35,9,0.0,-0.16064222193106895
36,0,-0.33,0.0
36,1,-0.33,-0.33
36,2,0.0,-0.33
36,3,0.0,-0.17751341952240687
36,4,0.0,-0.19029394959973198
36,5,0.67,-0.09777478347707372
36,6,0.33,0.0217343118242896
36,7,-0.33,0.01844824289941606
36,8,0.33,-0.20667332261593319
36,9,0.0,0.04378168095806029
37,0,0.0,0.0
37,1,-0.33,0.0
37,2,0.0,-0.2201871977350657
37,3,-0.33,-0.04980373545572708
37,4,0.0,-0.10066929790693535
37,5,-0.33,-0.1305048366288759
37,6,-0.33,-0.10620807106796104
37,7,0.0,-0.2423003130076762
37,8,-0.33,-0.23746977970531824
37,9,-0.33,-0.18372423138958932
38,0,-0.33,0.0
38,1,0.33,-0.33
38,2,-0.67,-0.05579317026242286
38,3,-0.33,-0.32475305283009803
38,4,-0.33,0.12772733581207996
38,5,0.0,0.04619885593458706
38,6,0.0,-0.13935409876512012
38,7,0.33,-0.1644210586899218
38,8,0.33,-0.25156376730044583
38,9,-0.67,-0.4260333434854033
39,0,0.0,0.0
39,1,-0.33,0.0
39,2,0.33,-0.09423307301717651
39,3,0.33,-0.181238694957984
39,4,0.33,-0.07470887217419045
39,5,-0.33,-0.2007711786027207
39,6,0.0,0.11374129793788366
39,7,0.33,0.10323084455881079
39,8,-0.33,-0.09088557139814818
39,9,0.0,0.1703906895074603
40,0,0.0,0.0
40,1,0.67,0.0
40,2,0.0,0.05970270640896552
40,3,0.0,0.120035422324976
40,4,0.0,0.15676733474131188
40,5,0.33,0.27524860452506417
40,6,-0.33,0.04356952712489828
40,7,0.33,0.05145014187080246
40,8,0.33,-0.032152827146239626
40,9,0.0,0.6458737061918081
41,0,0.0,0.0
41,1,-0.33,0.0
41,2,0.33,-0.1516569396480719
