run,trial,ytrue,ypred,x,name
0,0,-0.2,2.3,"[-1.0, -0.14, 0.57, 1.0, 0.57]",afl
0,1,0.52,0.1,"[0.48, 0.14, -0.31, -0.65, 0.05]",afl
0,2,-0.1,-0.45,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
0,3,0.07,0.25,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
0,4,-0.38,0.15,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
1,0,0.51,2.34,"[0.83, 1.0, 0.11, -0.76, -0.61]",afl
1,1,0.14,-0.28,"[-0.04, -0.14, -0.2, -0.76, -0.26]",afl
1,2,-0.38,-0.18,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
1,3,0.37,-0.19,"[-0.74, -0.43, -0.14, 0.29, 0.05]",afl
1,4,0.52,0.12,"[0.48, 0.14, -0.31, -0.65, 0.05]",afl
2,0,-0.76,2.3,"[-0.22, -0.71, -0.98, -0.18, 1.0]",afl
2,1,-0.01,0.12,"[-0.57, 0.43, -0.26, 0.18, -1.0]",afl
2,2,-0.18,0.12,"[0.74, 0.14, -0.47, -0.41, -0.69]",afl
2,3,0.51,0.29,"[0.83, 1.0, 0.11, -0.76, -0.61]",afl
2,4,-0.07,0.02,"[0.39, -0.14, -0.54, -0.65, 0.79]",afl
3,0,0.52,1.23,"[0.48, 0.14, -0.31, -0.65, 0.05]",afl
3,1,0.07,0.21,"[0.74, 0.14, -0.08, -1.0, -0.59]",afl
3,2,-0.29,-0.34,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
3,3,0.99,1.02,"[0.83, 0.14, 0.22, -0.18, 0.62]",afl
3,4,-0.73,0.16,"[0.13, 0.14, -0.55, -0.88, 0.1]",afl
4,0,0.14,-0.28,"[-0.04, -0.14, -0.2, -0.76, -0.26]",afl
4,1,-0.52,0.03,"[0.04, -0.71, -0.71, -0.53, -0.25]",afl
4,2,0.71,-0.08,"[-0.65, 0.14, 0.36, 0.06, -0.29]",afl
4,3,-0.76,-0.03,"[-0.22, -0.71, -0.98, -0.18, 1.0]",afl
4,4,-0.08,-0.23,"[0.04, -0.14, -0.54, -0.76, 0.25]",afl
5,0,-0.71,1.24,"[-0.83, -0.43, 0.01, 0.29, -0.28]",afl
5,1,-0.21,0.09,"[0.48, -0.14, -0.07, -0.76, 0.06]",afl
5,2,-0.52,-1.16,"[0.04, -0.71, -0.71, -0.53, -0.25]",afl
5,3,-0.1,-0.49,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
5,4,-0.59,-0.66,"[-0.74, -0.43, -0.78, 0.41, 0.22]",afl
6,0,-0.16,1.2,"[0.3, 0.14, -0.33, -0.76, 0.2]",afl
6,1,-0.72,-0.4,"[-0.3, -1.0, -0.95, -0.41, 0.64]",afl
6,2,-0.35,-0.28,"[0.65, -0.43, -0.63, -0.76, -0.23]",afl
6,3,0.14,-0.28,"[-0.04, -0.14, -0.2, -0.76, -0.26]",afl
6,4,-0.08,0.02,"[0.04, -0.14, -0.54, -0.76, 0.25]",afl
7,0,-0.29,-0.37,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
7,1,-0.38,-0.18,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
7,2,-0.08,-0.23,"[0.04, -0.14, -0.54, -0.76, 0.25]",afl
7,3,-0.32,-0.39,"[-0.48, -0.43, -0.59, -0.41, -0.05]",afl
7,4,1.0,0.06,"[0.39, 0.14, 0.31, -0.76, 0.21]",afl
8,0,0.37,1.37,"[1.0, -0.43, 0.25, -0.29, 0.2]",afl
