run,trial,ytrue,ypred,x,name
0,0,-0.01,2.37,"[-0.13, -1.0, -0.81, 0.22, 1.0]",bone
0,1,0.16,0.01,"[-0.91, 1.0, 0.14, -0.65, 1.0]",bone
0,2,0.47,0.45,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone
0,3,0.65,-0.29,"[-0.65, 1.0, -0.05, -0.45, -1.0]",bone
0,4,0.67,0.02,"[-1.0, 1.0, 0.9, -0.73, 1.0]",bone
1,0,-0.24,2.3,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
1,1,0.54,0.12,"[-0.3, -1.0, 0.52, 0.34, -1.0]",bone
1,2,-0.59,-0.12,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone
1,3,0.77,0.37,"[-0.57, 1.0, -0.24, -0.14, -1.0]",bone
1,4,0.32,0.82,"[-0.13, 1.0, 0.71, -0.74, -1.0]",bone
2,0,-0.24,2.3,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
2,1,-0.06,0.02,"[0.09, -1.0, -0.24, 0.3, -1.0]",bone
2,2,0.06,0.12,"[-0.3, 1.0, -0.05, -0.4, -1.0]",bone
2,3,0.59,0.12,"[-0.65, -1.0, -0.62, 0.14, 1.0]",bone
2,4,-0.44,0.26,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone
3,0,0.65,2.37,"[-0.65, 1.0, -0.05, -0.45, -1.0]",bone
3,1,0.32,0.13,"[-0.13, 1.0, 0.71, -0.74, -1.0]",bone
3,2,-0.59,-0.12,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone
3,3,0.65,0.29,"[-0.48, 1.0, 0.33, -0.93, -1.0]",bone
3,4,0.77,0.52,"[-0.57, 1.0, -0.24, -0.14, -1.0]",bone
4,0,-0.44,2.45,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone
4,1,0.24,0.34,"[-0.7, 1.0, 0.52, -0.02, -1.0]",bone
4,2,1.0,0.08,"[-0.35, 1.0, 0.14, -1.0, 1.0]",bone
4,3,0.54,-0.48,"[-0.3, -1.0, 0.52, 0.34, -1.0]",bone
4,4,0.47,1.12,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
5,0,-0.34,1.27,"[-0.0, -1.0, 0.33, 0.31, -1.0]",bone
5,1,0.67,-0.45,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
5,2,0.54,0.28,"[-0.3, -1.0, 0.52, 0.34, -1.0]",bone
5,3,0.09,-0.08,"[-0.3, 1.0, 0.52, -0.11, -1.0]",bone
5,4,0.62,-0.12,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
6,0,0.67,1.37,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
6,1,-0.01,-0.37,"[-0.13, -1.0, -0.81, 0.22, 1.0]",bone
6,2,-0.59,0.29,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone
6,3,0.75,0.45,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone
6,4,-0.24,0.07,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
7,0,0.54,2.15,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
7,1,0.06,-0.23,"[-0.3, 1.0, -0.05, -0.4, -1.0]",bone
7,2,-0.06,0.12,"[0.09, -1.0, -0.24, 0.3, -1.0]",bone
7,3,0.22,0.12,"[-0.17, 1.0, -0.05, -0.51, -1.0]",bone
7,4,0.67,-0.34,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
8,0,0.29,-0.32,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
8,1,0.47,0.42,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
8,2,0.65,0.31,"[-0.48, 1.0, 0.33, -0.93, -1.0]",bone
8,3,0.54,0.42,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
8,4,0.95,0.49,"[-0.52, 1.0, 0.71, -0.76, 1.0]",bone
9,0,0.85,2.3,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
9,1,0.54,0.15,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
9,2,0.47,1.12,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
9,3,0.54,0.21,"[-0.3, -1.0, 0.52, 0.34, -1.0]",bone
9,4,-0.34,0.51,"[-0.0, -1.0, 0.33, 0.31, -1.0]",bone
10,0,0.67,3.2,"[-1.0, 1.0, 0.9, -0.73, 1.0]",bone
10,1,-0.34,-0.34,"[-0.0, -1.0, 0.33, 0.31, -1.0]",bone
10,2,0.65,-0.29,"[-0.65, 1.0, -0.05, -0.45, -1.0]",bone
10,3,-0.01,-0.15,"[-0.13, -1.0, -0.81, 0.22, 1.0]",bone
10,4,-1.0,0.08,"[0.22, -1.0, -0.71, 0.59, 1.0]",bone
11,0,0.85,0.42,"[-0.87, 1.0, -0.24, -0.97, 1.0]",bone
11,1,0.67,-0.45,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
11,2,0.16,0.89,"[-0.91, 1.0, 0.14, -0.65, 1.0]",bone
11,3,0.75,0.42,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone
11,4,0.85,0.42,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
12,0,0.62,3.2,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
12,1,0.09,-0.28,"[-0.3, 1.0, 0.52, -0.11, -1.0]",bone
12,2,0.75,-0.34,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone
12,3,0.67,0.28,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
12,4,-0.24,0.48,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
13,0,0.29,0.12,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
13,1,0.32,0.42,"[-0.13, 1.0, 0.71, -0.74, -1.0]",bone
13,2,-1.0,-0.25,"[0.22, -1.0, -0.71, 0.59, 1.0]",bone
13,3,0.77,0.25,"[-0.57, 1.0, -0.24, -0.14, -1.0]",bone
13,4,0.22,0.45,"[-0.35, 1.0, -0.05, -0.43, -1.0]",bone
14,0,-0.44,0.42,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone
14,1,-1.0,0.08,"[0.22, -1.0, -0.71, 0.59, 1.0]",bone
14,2,0.47,1.24,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone
14,3,0.85,-0.53,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
14,4,0.77,0.12,"[-0.57, 1.0, -0.24, -0.14, -1.0]",bone
15,0,0.32,2.45,"[-0.13, 1.0, 0.71, -0.74, -1.0]",bone
15,1,0.47,0.45,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
15,2,-0.44,-0.32,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone
15,3,0.54,-0.12,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
15,4,0.65,0.28,"[-0.48, 1.0, 0.33, -0.93, -1.0]",bone
16,0,0.39,3.24,"[-0.83, 1.0, 0.52, -0.11, -1.0]",bone
16,1,0.85,0.29,"[-0.87, 1.0, -0.24, -0.97, 1.0]",bone
16,2,0.59,-0.34,"[-0.65, -1.0, -0.62, 0.14, 1.0]",bone
16,3,0.22,0.21,"[-0.35, 1.0, -0.05, -0.43, -1.0]",bone
16,4,0.06,0.21,"[-0.3, 1.0, -0.05, -0.4, -1.0]",bone
17,0,0.67,3.24,"[-0.83, 1.0, 0.52, -0.05, -1.0]",bone
17,1,0.24,0.65,"[-0.7, 1.0, 0.52, -0.02, -1.0]",bone
17,2,0.22,-0.12,"[-0.17, 1.0, -0.05, -0.51, -1.0]",bone
17,3,0.85,0.56,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
17,4,0.65,0.45,"[-0.48, 1.0, 0.33, -0.93, -1.0]",bone
18,0,0.14,1.23,"[0.17, 1.0, 1.0, -0.01, 1.0]",bone
