run,trial,ytrue,ypred,x,name
0,0,-0.98,-0.93,"[-0.95, -0.96, -1.0, -0.75, -0.99]",cpu
0,1,-0.9,-0.83,"[-0.93, -0.96, -0.88, -0.5, -0.88]",cpu
0,2,-0.9,-0.84,"[-0.94, -0.88, -0.88, -0.63, -0.88]",cpu
0,3,-0.95,-0.9,"[-0.93, -0.88, -0.94, -0.88, -0.88]",cpu
0,4,-0.2,-0.32,"[-0.73, -0.38, -0.5, -0.0, -0.0]",cpu
1,0,-0.97,-0.898,"[-0.91, -0.88, -0.94, -0.88, -0.88]",cpu
1,1,-0.6,-0.57,"[-0.82, -0.54, -0.5, -0.25, -0.75]",cpu
1,2,-0.44,-0.48,"[-0.73, -0.69, -0.5, -0.0, -0.5]",cpu
1,3,-0.99,-0.95,"[-0.94, -0.96, -0.94, -0.94, -0.97]",cpu
1,4,-0.94,-0.95,"[-0.94, -0.96, -0.98, -0.88, -0.88]",cpu
2,0,-0.96,-0.914,"[-0.93, -0.88, -1.0, -0.88, -0.88]",cpu
2,1,-0.86,-0.83,"[-0.65, -0.96, -0.95, -0.63, -0.96]",cpu
2,2,-0.82,-0.84,"[-0.85, -0.96, -0.75, -0.75, -0.88]",cpu
2,3,-0.95,-0.81,"[-0.82, -0.77, -0.88, -0.81, -0.88]",cpu
2,4,-0.9,-0.84,"[-0.94, -0.88, -0.88, -0.63, -0.88]",cpu
3,0,-0.97,-0.94,"[-0.89, -0.88, -1.0, -0.94, -0.99]",cpu
3,1,-0.96,-0.95,"[-0.94, -0.96, -0.98, -0.88, -0.97]",cpu
3,2,-0.77,-0.69,"[-0.89, -0.96, -0.62, -0.5, -0.5]",cpu
3,3,-0.76,-0.65,"[-0.82, -0.69, -0.5, -0.5, -0.75]",cpu
3,4,-0.3,-0.24,"[-0.64, -0.08, 0.0, -0.0, -0.5]",cpu
4,0,-0.86,-0.83,"[-0.65, -0.96, -0.95, -0.63, -0.96]",cpu
4,1,-0.95,-0.9,"[-0.93, -0.88, -0.94, -0.88, -0.88]",cpu
4,2,-0.97,-0.89,"[-0.77, -0.96, -0.94, -0.88, -0.88]",cpu
4,3,-0.95,-0.93,"[-0.98, -0.96, -1.0, -0.75, -0.94]",cpu
4,4,-0.88,-0.73,"[-0.27, -0.77, -1.0, -0.81, -0.81]",cpu
