run,trial,ytrue,ypred,x,name
0,0,0.4,-2.4,"[-0.65, -0.67, -0.83, -0.61, -0.64]",dropout
0,1,-0.36,0.37,"[0.44, 0.46, 0.11, 0.28, 0.57]",dropout
0,2,-0.51,0.15,"[-0.21, -0.21, -0.31, -0.18, -0.28]",dropout
0,3,0.24,0.38,"[-0.63, -0.6, -0.71, -0.59, -0.51]",dropout
0,4,0.06,0.38,"[-0.64, -0.6, -0.81, -0.66, -0.73]",dropout
1,0,0.1,-0.56,"[-0.52, -0.52, -0.7, -0.43, -0.66]",dropout
1,1,-0.5,0.2,"[-0.02, -0.13, -0.34, -0.08, -0.08]",dropout
1,2,-0.36,0.2,"[-0.43, -0.44, -0.49, -0.3, -0.53]",dropout
1,3,0.1,0.2,"[-0.77, -0.79, -0.81, -0.84, -1.0]",dropout
1,4,0.17,-0.2,"[-0.55, -0.52, -0.79, -0.67, -0.8]",dropout
2,0,-0.97,2.13,"[-0.64, -0.76, -0.96, -0.71, -0.75]",dropout
2,1,-0.35,0.22,"[0.26, 0.29, 0.02, 0.18, 0.35]",dropout
2,2,0.06,-0.89,"[-0.64, -0.6, -0.81, -0.66, -0.73]",dropout
2,3,0.24,0.12,"[-0.63, -0.6, -0.71, -0.59, -0.51]",dropout
2,4,-0.43,0.02,"[-0.12, -0.12, -0.35, -0.08, -0.17]",dropout
3,0,-0.3,-0.54,"[-0.53, -0.55, -0.67, -0.36, -0.6]",dropout
3,1,0.06,-0.2,"[-0.3, -0.41, -0.4, -0.24, -0.51]",dropout
3,2,-0.75,-0.9,"[-0.99, -1.0, -0.95, -0.78, -0.96]",dropout
3,3,-0.74,-0.29,"[-0.49, -0.47, -0.48, -0.41, -0.6]",dropout
3,4,-0.65,-0.76,"[-0.81, -0.77, -0.83, -0.77, -0.64]",dropout
4,0,-0.14,-0.76,"[-0.64, -0.73, -0.88, -0.7, -0.87]",dropout
4,1,0.39,-0.15,"[-0.71, -0.78, -0.88, -0.67, -0.71]",dropout
4,2,-0.3,0.48,"[-0.53, -0.55, -0.67, -0.36, -0.6]",dropout
4,3,-0.36,0.37,"[0.44, 0.46, 0.11, 0.28, 0.57]",dropout
4,4,0.17,0.21,"[-0.55, -0.52, -0.79, -0.67, -0.8]",dropout
5,0,-0.55,-0.818,"[-0.79, -0.79, -0.85, -0.86, -0.8]",dropout
5,1,1.0,-0.66,"[-0.77, -0.85, -0.94, -0.84, -0.91]",dropout
5,2,-0.0,0.45,"[-0.53, -0.44, -0.5, -0.47, -0.37]",dropout
5,3,-0.18,0.75,"[-0.73, -0.73, -0.83, -0.7, -0.87]",dropout
5,4,-0.36,0.37,"[0.44, 0.46, 0.11, 0.28, 0.57]",dropout
6,0,-0.3,0.37,"[-0.15, -0.18, -0.43, -0.2, -0.24]",dropout
6,1,0.06,-0.37,"[-0.3, -0.41, -0.4, -0.24, -0.51]",dropout
6,2,0.1,-0.84,"[-0.77, -0.79, -0.81, -0.84, -1.0]",dropout
6,3,-0.04,-0.11,"[-0.71, -0.77, -0.94, -0.83, -0.82]",dropout
6,4,-1.0,0.08,"[0.2, 0.18, -0.28, 0.17, -0.06]",dropout
7,0,0.09,-3.03,"[-0.76, -0.76, -0.86, -0.76, -0.89]",dropout
7,1,-0.99,0.61,"[0.6, 0.68, 0.47, 0.63, 0.64]",dropout
7,2,0.17,0.21,"[-0.55, -0.52, -0.79, -0.67, -0.8]",dropout
7,3,0.39,0.11,"[-0.71, -0.78, -0.88, -0.67, -0.71]",dropout
7,4,-0.55,0.21,"[-0.79, -0.79, -0.85, -0.86, -0.8]",dropout
8,0,0.09,-0.81,"[-0.76, -0.76, -0.86, -0.76, -0.89]",dropout
8,1,-0.36,0.42,"[-0.43, -0.44, -0.49, -0.3, -0.53]",dropout
8,2,-0.59,0.12,"[-0.74, -0.76, -0.94, -0.9, -0.8]",dropout
8,3,-0.34,-0.35,"[-0.72, -0.74, -0.85, -0.7, -0.73]",dropout
8,4,-0.58,-0.48,"[-0.67, -0.82, -0.9, -0.68, -0.82]",dropout
9,0,0.4,-0.68,"[-0.65, -0.67, -0.83, -0.61, -0.64]",dropout
9,1,-0.5,0.1,"[-0.02, -0.13, -0.34, -0.08, -0.08]",dropout
9,2,-0.36,-0.2,"[-0.35, -0.28, -0.44, -0.23, -0.28]",dropout
9,3,-0.58,-0.27,"[-0.07, -0.19, -0.41, -0.21, -0.46]",dropout
9,4,-0.42,-0.27,"[-0.25, -0.33, -0.36, -0.16, -0.21]",dropout
10,0,-0.86,-0.37,"[-0.47, -0.49, -0.34, 0.04, -0.6]",dropout
10,1,-0.65,-0.96,"[-0.81, -0.77, -0.83, -0.77, -0.64]",dropout
10,2,0.18,-0.85,"[-0.84, -0.86, -0.95, -0.93, -0.69]",dropout
10,3,-0.99,0.74,"[0.6, 0.68, 0.47, 0.63, 0.64]",dropout
10,4,0.7,-0.76,"[-0.71, -0.69, -0.77, -0.61, -0.71]",dropout
11,0,0.03,-2.73,"[-0.35, -0.49, -0.71, -0.47, -0.71]",dropout
11,1,-0.3,0.1,"[-0.15, -0.18, -0.43, -0.2, -0.24]",dropout
11,2,-0.13,0.1,"[-0.5, -0.58, -0.54, -0.61, -0.69]",dropout
11,3,-0.12,0.1,"[-0.65, -0.63, -0.83, -0.64, -0.69]",dropout
11,4,0.22,-0.21,"[-0.68, -0.78, -0.76, -0.65, -0.78]",dropout
12,0,0.06,-2.44,"[-0.64, -0.6, -0.81, -0.66, -0.73]",dropout
12,1,0.09,0.12,"[-0.76, -0.76, -0.86, -0.76, -0.89]",dropout
12,2,-0.74,0.03,"[-0.49, -0.47, -0.48, -0.41, -0.6]",dropout
12,3,-0.51,-0.42,"[-0.21, -0.21, -0.31, -0.18, -0.28]",dropout
12,4,0.06,-0.62,"[-0.3, -0.41, -0.4, -0.24, -0.51]",dropout
13,0,-0.3,0.37,"[-0.15, -0.18, -0.43, -0.2, -0.24]",dropout
13,1,0.1,-0.84,"[-0.77, -0.79, -0.81, -0.84, -1.0]",dropout
13,2,0.18,-0.2,"[-0.84, -0.86, -0.95, -0.93, -0.69]",dropout
13,3,0.39,0.12,"[-0.71, -0.78, -0.88, -0.67, -0.71]",dropout
13,4,0.05,0.25,"[-0.82, -0.89, -0.92, -0.86, -0.89]",dropout
14,0,0.06,-0.68,"[-0.64, -0.6, -0.81, -0.66, -0.73]",dropout
14,1,-0.17,0.39,"[-0.35, -0.3, -0.53, -0.29, -0.48]",dropout
14,2,-0.97,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",dropout
14,3,0.18,0.15,"[-0.84, -0.86, -0.95, -0.93, -0.69]",dropout
14,4,-0.0,-0.02,"[-0.53, -0.44, -0.5, -0.47, -0.37]",dropout
15,0,-0.01,-0.486,"[-0.44, -0.39, -0.64, -0.39, -0.57]",dropout
15,1,-0.86,0.02,"[-0.47, -0.49, -0.34, 0.04, -0.6]",dropout
15,2,-0.29,-0.54,"[-0.37, -0.57, -0.71, -0.44, -0.62]",dropout
15,3,-0.97,-0.76,"[-0.64, -0.76, -0.96, -0.71, -0.75]",dropout
15,4,-0.51,0.12,"[-0.21, -0.21, -0.31, -0.18, -0.28]",dropout
16,0,-0.02,-0.5,"[-0.49, -0.45, -0.6, -0.39, -0.57]",dropout
16,1,-1.0,0.08,"[0.2, 0.18, -0.28, 0.17, -0.06]",dropout
16,2,0.03,0.13,"[-0.35, -0.49, -0.71, -0.47, -0.71]",dropout
16,3,0.18,-0.04,"[-0.74, -0.74, -1.0, -0.99, -0.82]",dropout
16,4,-0.9,0.07,"[0.02, -0.04, -0.13, 0.22, 0.19]",dropout
17,0,-0.51,-0.238,"[-0.21, -0.21, -0.31, -0.18, -0.28]",dropout
17,1,-0.36,-0.52,"[-0.35, -0.28, -0.44, -0.23, -0.28]",dropout
17,2,-0.04,-0.81,"[-0.71, -0.77, -0.94, -0.83, -0.82]",dropout
17,3,0.4,-0.12,"[-0.65, -0.67, -0.83, -0.61, -0.64]",dropout
17,4,0.18,0.12,"[-0.74, -0.74, -1.0, -0.99, -0.82]",dropout
18,0,-0.59,-0.83,"[-0.74, -0.76, -0.94, -0.9, -0.8]",dropout
18,1,-0.58,-0.78,"[-0.67, -0.82, -0.9, -0.68, -0.82]",dropout
18,2,-0.17,-0.39,"[-0.35, -0.3, -0.53, -0.29, -0.48]",dropout
18,3,-0.44,-0.48,"[-0.65, -0.61, -0.71, -0.66, -0.75]",dropout
18,4,-0.12,-0.49,"[-0.65, -0.63, -0.83, -0.64, -0.69]",dropout
19,0,-0.53,0.45,"[-0.4, -0.49, -0.58, -0.31, -0.71]",dropout
19,1,-0.12,-0.69,"[-0.65, -0.63, -0.83, -0.64, -0.69]",dropout
19,2,0.05,-0.88,"[-0.82, -0.89, -0.92, -0.86, -0.89]",dropout
19,3,-0.36,0.37,"[0.44, 0.46, 0.11, 0.28, 0.57]",dropout
19,4,-0.51,-0.24,"[-0.21, -0.21, -0.31, -0.18, -0.28]",dropout
20,0,-0.65,0.27,"[-0.81, -0.77, -0.83, -0.77, -0.64]",dropout
20,1,0.22,-0.73,"[-0.68, -0.78, -0.76, -0.65, -0.78]",dropout
20,2,-0.36,0.35,"[-0.35, -0.28, -0.44, -0.23, -0.28]",dropout
20,3,0.17,0.05,"[-0.55, -0.52, -0.79, -0.67, -0.8]",dropout
20,4,-0.43,-0.15,"[-0.12, -0.12, -0.35, -0.08, -0.17]",dropout
21,0,-0.34,1.2,"[-0.16, -0.14, -0.39, -0.15, -0.51]",dropout
21,1,-0.58,-0.78,"[-0.67, -0.82, -0.9, -0.68, -0.82]",dropout
21,2,-0.79,-0.16,"[-0.24, -0.21, -0.14, 0.05, -0.24]",dropout
21,3,-0.74,-0.49,"[-0.49, -0.47, -0.48, -0.41, -0.6]",dropout
21,4,-0.86,0.39,"[0.41, 0.45, 0.27, 0.37, 0.44]",dropout
22,0,-0.12,-2.44,"[-0.65, -0.63, -0.83, -0.64, -0.69]",dropout
22,1,0.03,-0.35,"[-0.35, -0.49, -0.71, -0.47, -0.71]",dropout
22,2,-0.3,0.02,"[-0.53, -0.55, -0.67, -0.36, -0.6]",dropout
22,3,0.39,-0.18,"[-0.71, -0.78, -0.88, -0.67, -0.71]",dropout
22,4,0.06,-0.25,"[-0.3, -0.41, -0.4, -0.24, -0.51]",dropout
23,0,-0.99,3.24,"[0.6, 0.68, 0.47, 0.63, 0.64]",dropout
23,1,-0.3,0.48,"[-0.15, -0.18, -0.43, -0.2, -0.24]",dropout
23,2,-1.0,0.1,"[0.2, 0.18, -0.28, 0.17, -0.06]",dropout
23,3,-0.55,0.89,"[-0.79, -0.79, -0.85, -0.86, -0.8]",dropout
23,4,0.17,-0.75,"[-0.55, -0.52, -0.79, -0.67, -0.8]",dropout
24,0,-0.04,-0.81,"[-0.71, -0.77, -0.94, -0.83, -0.82]",dropout
24,1,-0.99,0.6,"[0.6, 0.68, 0.47, 0.63, 0.64]",dropout
24,2,-0.65,0.02,"[-0.81, -0.77, -0.83, -0.77, -0.64]",dropout
24,3,-0.97,0.12,"[-0.64, -0.76, -0.96, -0.71, -0.75]",dropout
24,4,-0.42,0.12,"[-0.25, -0.33, -0.36, -0.16, -0.21]",dropout
