run,trial,ytrue,ypred,x,name
0,0,-0.17,2.3,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
0,1,-0.72,0.82,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
0,2,-0.66,-0.89,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
0,3,-0.72,-0.36,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
0,4,-0.03,-0.68,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
1,0,-0.38,2.13,"[-1.0, -1.0, -0.98, -0.76, -0.98]",lake
1,1,-0.24,-0.94,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
1,2,-0.59,-0.3,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
1,3,-0.03,-0.51,"[-1.0, -0.99, -0.77, -1.0, -0.79]",lake
1,4,-0.31,0.12,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
2,0,-0.59,-0.85,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
2,1,-0.24,-0.61,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
2,2,-0.66,0.02,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
2,3,-0.03,-0.91,"[-1.0, -0.99, -0.77, -1.0, -0.79]",lake
2,4,-0.52,-0.56,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
3,0,-0.72,0.02,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
3,1,-0.31,-0.88,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
3,2,-0.1,-0.68,"[-1.0, -0.95, -0.98, -0.71, -0.97]",lake
3,3,-0.52,-0.55,"[-1.0, -0.99, -0.78, -0.82, -0.98]",lake
3,4,-0.59,-0.45,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
4,0,-0.03,-0.91,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
4,1,-0.24,0.02,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
4,2,0.86,0.18,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
4,3,-0.24,-0.12,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
4,4,0.1,0.92,"[-0.31, 1.0, -1.0, -0.91, 1.0]",lake
5,0,-0.31,-0.924,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
5,1,0.52,-0.62,"[-0.42, -0.93, -1.0, -0.87, -0.88]",lake
5,2,-0.24,0.47,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
5,3,-0.31,0.19,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
5,4,-0.17,-0.28,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
6,0,-0.24,-0.92,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
6,1,-0.52,-0.31,"[-1.0, -0.99, -0.78, -0.82, -0.98]",lake
6,2,-0.38,0.08,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
6,3,-0.79,-0.54,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
6,4,-0.31,-0.72,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
7,0,-0.03,-0.92,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
7,1,-1.0,-0.04,"[-1.0, -0.99, -0.89, -0.98, -0.91]",lake
7,2,-0.38,0.34,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
7,3,0.86,0.18,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
7,4,-0.59,-0.11,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
8,0,-0.03,-0.85,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
8,1,-0.17,-0.15,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
8,2,0.86,0.18,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
8,3,-0.72,0.02,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
8,4,-0.17,-0.15,"[-1.0, -1.0, -0.91, -0.85, -0.98]",lake
9,0,-0.31,-0.88,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
9,1,-0.17,-0.29,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
9,2,-0.72,0.52,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
9,3,-0.17,-0.55,"[-1.0, -1.0, -0.91, -0.85, -0.98]",lake
9,4,-0.17,-0.25,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
10,0,-0.52,-0.916,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
10,1,-0.38,0.08,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
10,2,-0.59,-0.5,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
10,3,-0.52,-0.71,"[-1.0, -0.99, -0.78, -0.82, -0.98]",lake
10,4,-0.72,-0.48,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
11,0,-0.31,-3.61,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
11,1,-0.52,-0.29,"[-1.0, -1.0, -0.59, -0.87, -0.97]",lake
11,2,-0.03,-0.49,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
11,3,-0.17,-0.45,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
11,4,-0.17,-0.25,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
12,0,-0.03,-3.25,"[-0.99, -0.99, -0.69, -0.93, -0.95]",lake
12,1,-0.52,-0.02,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
12,2,-0.24,-0.25,"[-1.0, -0.97, -0.73, -0.84, -0.96]",lake
12,3,-0.59,-0.45,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
12,4,-0.17,-0.35,"[-1.0, -1.0, -0.91, -0.85, -0.98]",lake
13,0,0.86,3.24,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
13,1,-0.52,-1.57,"[-1.0, -0.99, -0.78, -0.82, -0.98]",lake
13,2,-0.03,-0.48,"[-0.99, -0.99, -0.69, -0.93, -0.95]",lake
13,3,-0.31,-0.45,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
13,4,-0.59,-0.21,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
14,0,-0.03,-0.92,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
14,1,-0.03,0.11,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
14,2,1.0,0.07,"[0.41, -0.86, -1.0, -0.89, -0.09]",lake
14,3,-0.38,0.97,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
14,4,-0.72,0.97,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
15,0,-0.31,-3.61,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
15,1,-0.59,-0.9,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
15,2,-0.66,-0.69,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
15,3,-1.0,0.42,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
15,4,-0.03,-0.51,"[-0.99, -0.99, -0.69, -0.93, -0.95]",lake
16,0,-0.17,0.28,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
16,1,-0.52,-0.96,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
16,2,-0.17,-0.75,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
16,3,-0.72,0.48,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
16,4,-0.03,-0.34,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
17,0,-0.59,-0.84,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
17,1,-0.24,-0.61,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
17,2,-0.79,-0.53,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
17,3,-0.66,-0.29,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
17,4,-0.03,-0.74,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
18,0,-0.31,-0.924,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
18,1,-0.52,-0.92,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
18,2,-0.17,-0.49,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
18,3,-0.52,-0.48,"[-1.0, -1.0, -0.59, -0.87, -0.97]",lake
18,4,-0.03,-0.34,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
19,0,-0.24,-0.9,"[-1.0, -0.97, -0.73, -0.84, -0.96]",lake
19,1,-0.38,-0.25,"[-1.0, -1.0, -0.98, -0.76, -0.98]",lake
19,2,-0.45,-0.3,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
19,3,-0.72,0.16,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
19,4,-0.59,-0.48,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
20,0,-0.24,-0.912,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
20,1,-1.0,0.42,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
20,2,-1.0,-0.95,"[-1.0, -0.99, -0.89, -0.98, -0.91]",lake
20,3,-0.17,-0.22,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
20,4,-0.79,-1.0,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
21,0,-0.52,-0.96,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
21,1,-0.79,-0.67,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
21,2,-1.0,0.42,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
21,3,-0.72,-0.37,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
21,4,-0.66,-0.87,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
22,0,-0.1,-0.92,"[-1.0, -0.95, -0.98, -0.71, -0.97]",lake
22,1,-0.52,-0.15,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
22,2,-0.38,-0.35,"[-1.0, -1.0, -0.98, -0.76, -0.98]",lake
22,3,-0.59,-0.25,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
22,4,-0.72,0.42,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
23,0,0.86,2.15,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
23,1,0.52,-1.12,"[-0.42, -0.93, -1.0, -0.87, -0.88]",lake
23,2,-0.66,0.48,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
23,3,-0.03,-0.52,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
23,4,-0.72,0.48,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
24,0,-0.38,2.15,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
24,1,0.52,-0.82,"[-0.42, -0.93, -1.0, -0.87, -0.88]",lake
24,2,-0.59,0.48,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
24,3,-1.0,0.02,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
24,4,-0.59,-0.61,"[-1.0, -0.96, -0.91, -0.7, -0.94]",lake
25,0,-0.72,0.02,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
25,1,-0.79,-0.93,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
25,2,-0.79,-0.79,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
25,3,-0.1,-0.85,"[-1.0, -0.96, -0.98, -0.71, -0.94]",lake
25,4,-0.03,-0.55,"[-1.0, -0.97, -0.98, -0.84, -0.9]",lake
26,0,1.0,-0.52,"[0.41, -0.86, -1.0, -0.89, -0.09]",lake
26,1,0.86,0.0,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
26,2,-0.24,-0.87,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
26,3,-0.38,-0.52,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
26,4,-0.79,-0.52,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
27,0,-0.31,-0.88,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
27,1,-0.31,-0.52,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
27,2,-0.52,-0.96,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
27,3,-0.24,-0.44,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
27,4,-0.79,-0.34,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
28,0,-0.03,-0.91,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
28,1,-0.24,0.02,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
28,2,-0.59,-0.14,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
28,3,-0.38,0.48,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
28,4,0.86,0.28,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
29,0,-0.52,0.21,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
29,1,0.86,0.28,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
29,2,-1.0,-0.95,"[-1.0, -0.99, -0.89, -0.98, -0.91]",lake
29,3,-0.66,-0.89,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
29,4,-0.03,-0.69,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
