run,trial,ytrue,ypred,x,name
0,0,-0.85,0.15,"[-1.0, -1.0, -0.7, -0.44, 0.02]",prefecture
0,1,-0.93,-0.32,"[-1.0, -1.0, 0.18, 0.51, -0.3]",prefecture
0,2,-0.89,0.07,"[1.0, -1.0, -0.72, -0.05, 0.12]",prefecture
0,3,-0.39,-0.74,"[1.0, -0.96, -0.32, -0.56, -0.07]",prefecture
0,4,-0.93,-0.87,"[-1.0, -1.0, -0.74, -0.13, -0.07]",prefecture
1,0,-0.89,3.24,"[-1.0, -1.0, 1.0, 0.54, 0.02]",prefecture
1,1,-0.49,0.42,"[1.0, -1.0, -0.71, 0.12, 0.3]",prefecture
1,2,-0.89,1.02,"[-1.0, -0.99, -0.18, -0.82, -0.53]",prefecture
1,3,-0.9,-0.76,"[-1.0, -1.0, -0.34, 0.27, -0.44]",prefecture
1,4,-0.75,-0.5,"[1.0, -1.0, -0.75, -0.54, -0.12]",prefecture
2,0,0.3,2.73,"[1.0, -0.24, 0.04, -0.86, -0.35]",prefecture
2,1,-0.93,-0.5,"[-1.0, -1.0, 0.18, 0.51, -0.3]",prefecture
2,2,-0.93,-1.64,"[-1.0, -1.0, -0.74, -0.13, -0.07]",prefecture
2,3,-0.9,-0.93,"[-1.0, -1.0, 0.13, 0.13, -0.67]",prefecture
2,4,-0.76,-0.8,"[-1.0, -1.0, 0.0, -0.27, 0.35]",prefecture
3,0,-0.9,1.27,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture
3,1,1.0,1.2,"[-1.0, 1.0, -1.0, 0.01, -0.3]",prefecture
3,2,-0.83,-0.8,"[-1.0, -0.91, 0.31, -0.3, 0.12]",prefecture
3,3,-0.75,0.7,"[1.0, -1.0, -0.75, -0.54, -0.12]",prefecture
3,4,-0.68,-0.95,"[-1.0, -1.0, -0.57, 0.13, -0.21]",prefecture
4,0,-0.95,1.23,"[-1.0, -1.0, 0.64, -0.04, -0.26]",prefecture
4,1,-0.68,1.15,"[1.0, -1.0, -0.57, 0.09, 0.02]",prefecture
4,2,-0.89,-0.79,"[1.0, -1.0, -0.72, -0.05, 0.12]",prefecture
4,3,-0.9,-0.48,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture
4,4,-0.84,-1.08,"[-1.0, -1.0, -0.19, -0.3, -0.4]",prefecture
5,0,-0.93,1.2,"[-1.0, -1.0, 0.18, 0.51, -0.3]",prefecture
5,1,-0.91,1.47,"[-1.0, -1.0, -0.63, -0.36, -0.3]",prefecture
5,2,-0.9,-0.88,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture
5,3,-0.84,-0.92,"[-1.0, -1.0, -0.19, -0.3, -0.4]",prefecture
5,4,-0.86,0.28,"[-1.0, -1.0, -0.7, 1.0, 0.72]",prefecture
6,0,-0.91,0.42,"[-1.0, -1.0, -0.63, -0.36, -0.3]",prefecture
6,1,-0.29,0.39,"[1.0, -1.0, -0.59, -1.0, -0.21]",prefecture
6,2,-0.9,-0.22,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture
6,3,-0.16,-0.79,"[-1.0, -0.99, -0.56, -0.26, -0.16]",prefecture
6,4,-0.88,-0.74,"[-1.0, -1.0, -0.47, -0.3, 0.16]",prefecture
7,0,-0.93,0.42,"[-1.0, -1.0, -0.74, -0.13, -0.07]",prefecture
7,1,-0.83,-0.34,"[-1.0, -0.91, 0.31, -0.3, 0.12]",prefecture
7,2,-0.78,-1.07,"[-1.0, -1.0, -1.0, -0.35, 1.0]",prefecture
7,3,-0.91,-0.79,"[-1.0, -0.98, -0.02, 0.01, -0.07]",prefecture
7,4,-0.76,-0.86,"[-1.0, -1.0, 0.0, -0.27, 0.35]",prefecture
8,0,-0.93,1.2,"[-1.0, -1.0, 0.18, 0.51, -0.3]",prefecture
8,1,-0.9,-1.07,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture
8,2,-0.95,-0.67,"[-1.0, -1.0, 0.64, -0.04, -0.26]",prefecture
