run,trial,ytrue,ypred,x,name
0,0,-0.36,2.8873758,"[-0.63, -0.66, -0.82, 0.01, 0.07]",abalone
0,1,-0.43,1.9402127,"[-0.46, -0.32, -0.72, 0.34, 0.31]",abalone
0,2,-0.21,0.32081807,"[-0.15, 0.18, -0.65, 0.71, 0.55]",abalone
0,3,-0.29,1.0661165,"[-0.06, 0.12, -0.65, 0.61, 0.68]",abalone
0,4,0.14,0.8595989,"[0.19, 0.47, -0.64, 0.76, 0.57]",abalone
1,0,-0.36,0.17101252,"[-0.09, 0.09, -0.67, 0.56, 0.64]",abalone
1,1,-0.5,1.0051961,"[-0.7, -0.61, -0.8, 0.13, 0.16]",abalone
1,2,-0.57,0.50961125,"[-0.88, -0.84, -0.84, -0.26, -0.22]",abalone
1,3,-0.43,0.45851654,"[-0.8, -0.75, -0.83, -0.16, -0.11]",abalone
1,4,0.0,1.5096383,"[-0.7, -0.64, -0.83, 0.04, 0.03]",abalone
2,0,-0.43,1.9730725,"[-0.67, -0.72, -0.81, -0.01, -0.05]",abalone
2,1,-0.57,1.2249826,"[-0.8, -0.82, -0.86, -0.19, -0.22]",abalone
2,2,-0.43,-0.39405382,"[-0.49, -0.31, -0.73, 0.29, 0.31]",abalone
2,3,-0.07,1.5874856,"[-0.53, -0.37, -0.73, 0.33, 0.2]",abalone
2,4,-0.29,1.9902836,"[-0.65, -0.58, -0.73, 0.08, 0.14]",abalone
3,0,-0.43,0.85414803,"[-0.57, -0.45, -0.77, 0.24, 0.23]",abalone
3,1,-0.79,-0.60650814,"[-0.97, -0.96, -0.9, -0.58, -0.55]",abalone
3,2,-0.29,0.12459749,"[-0.5, -0.3, -0.73, 0.33, 0.38]",abalone
3,3,-0.5,0.031874835,"[-0.77, -0.75, -0.81, -0.08, 0.0]",abalone
3,4,-0.14,0.4009447,"[-0.5, -0.37, -0.73, 0.28, 0.24]",abalone
4,0,-0.43,0.48813903,"[-0.51, -0.3, -0.72, 0.34, 0.35]",abalone
4,1,-0.29,1.6386636,"[-0.6, -0.53, -0.78, 0.13, 0.14]",abalone
4,2,-0.57,0.29246914,"[-0.66, -0.77, -0.81, -0.06, -0.09]",abalone
4,3,-0.29,1.196681,"[-0.49, -0.48, -0.73, 0.16, 0.11]",abalone
4,4,-0.5,0.67101866,"[-0.61, -0.48, -0.75, 0.23, 0.26]",abalone
5,0,-0.57,0.41017872,"[-0.43, -0.21, -0.73, 0.36, 0.36]",abalone
5,1,-0.5,0.59132206,"[-0.43, -0.31, -0.74, 0.39, 0.39]",abalone
5,2,-0.36,1.7865405,"[-0.39, -0.22, -0.7, 0.43, 0.35]",abalone
5,3,-0.36,1.4817814,"[-0.57, -0.41, -0.75, 0.33, 0.41]",abalone
5,4,0.14,0.51053536,"[-0.42, -0.31, -0.71, 0.28, 0.3]",abalone
6,0,-0.64,1.35533,"[-0.78, -0.71, -0.82, -0.09, -0.01]",abalone
6,1,-0.29,2.9441593,"[-0.39, -0.1, -0.73, 0.43, 0.5]",abalone
6,2,-0.21,2.9025354,"[-0.34, -0.03, -0.73, 0.5, 0.58]",abalone
6,3,-0.36,1.1577557,"[-0.66, -0.59, -0.78, 0.14, 0.2]",abalone
6,4,-0.43,1.0944029,"[-0.63, -0.55, -0.77, 0.18, 0.23]",abalone
7,0,-0.14,0.79506993,"[-0.42, -0.4, -0.69, 0.31, 0.27]",abalone
7,1,0.07,1.9141492,"[0.08, 0.06, -0.66, 0.53, 0.5]",abalone
