run,trial,ytrue,ypred,x,name
0,0,-0.08,-0.27727306,"[1.0, -0.23, -0.12, -0.95, -0.96]",athlete
0,1,0.05,0.07684219,"[1.0, 0.48, 0.44, -0.37, -0.45]",athlete
0,2,-0.5,1.5103958,"[-1.0, -0.48, -0.46, -0.68, -0.76]",athlete
0,3,-0.82,0.9774475,"[-1.0, -0.33, -0.47, -0.08, -0.29]",athlete
0,4,-0.05,2.801769,"[-1.0, -0.33, -0.46, -0.09, -0.27]",athlete
1,0,-0.55,2.3283255,"[-1.0, -0.23, -0.38, -0.05, -0.17]",athlete
1,1,0.5,1.3851355,"[1.0, 0.22, 0.33, -0.8, -0.81]",athlete
1,2,-0.08,0.29043967,"[1.0, -0.23, -0.12, -0.95, -0.96]",athlete
1,3,-0.29,0.6017084,"[1.0, -0.46, -0.37, -0.92, -0.96]",athlete
1,4,0.13,1.6769848,"[1.0, 0.27, 0.41, -0.88, -0.85]",athlete
2,0,0.82,3.0383322,"[1.0, -0.13, -0.03, -0.89, -0.83]",athlete
2,1,-0.18,2.0519667,"[-1.0, -0.28, -0.39, -0.17, -0.52]",athlete
2,2,-0.82,1.1995678,"[-1.0, -0.46, -0.6, -0.06, -0.19]",athlete
2,3,-0.79,-0.39205444,"[-1.0, -0.15, -0.44, 0.4, 0.49]",athlete
2,4,-0.18,0.23056096,"[1.0, 0.15, 0.22, -0.7, -0.63]",athlete
3,0,-0.63,0.18821603,"[-1.0, -0.65, -0.63, -0.71, -0.9]",athlete
3,1,-0.37,1.1398836,"[-1.0, -0.86, -0.89, -0.54, -0.67]",athlete
3,2,-0.74,1.0154332,"[-1.0, -0.54, -0.59, -0.42, -0.64]",athlete
3,3,-0.16,2.816979,"[1.0, 0.28, 0.36, -0.72, -0.65]",athlete
3,4,-0.37,2.1356442,"[-1.0, -0.25, -0.28, -0.47, -0.68]",athlete
4,0,0.29,1.1906785,"[1.0, -0.09, -0.01, -0.74, -0.78]",athlete
4,1,-0.76,1.7322451,"[-1.0, -1.0, -1.0, -0.77, -0.84]",athlete
4,2,-0.34,-0.36805487,"[-1.0, -0.41, -0.61, 0.18, 0.04]",athlete
4,3,0.13,1.346019,"[1.0, -0.32, -0.26, -0.81, -0.81]",athlete
4,4,-0.63,-0.9602469,"[-1.0, -0.65, -0.63, -0.71, -0.9]",athlete
5,0,0.47,1.840217,"[1.0, -0.27, -0.2, -0.78, -0.84]",athlete
5,1,-0.63,2.104965,"[-1.0, -0.65, -0.63, -0.71, -0.9]",athlete
5,2,0.34,0.43827617,"[1.0, 0.32, 0.36, -0.6, -0.56]",athlete
5,3,-0.16,2.798277,"[-1.0, -0.05, -0.22, -0.01, -0.27]",athlete
5,4,0.61,1.436074,"[1.0, -0.01, 0.05, -0.7, -0.67]",athlete
6,0,-0.39,0.76662445,"[-1.0, -0.81, -0.79, -0.81, -0.88]",athlete
6,1,0.37,-0.47409844,"[1.0, -0.26, -0.14, -0.98, -0.89]",athlete
6,2,0.03,0.8733042,"[1.0, -0.18, -0.06, -0.97, -0.98]",athlete
6,3,-0.26,2.1016543,"[1.0, 0.17, 0.13, -0.39, -0.44]",athlete
6,4,-0.24,0.33146286,"[-1.0, -0.83, -0.87, -0.48, -0.64]",athlete
7,0,-0.58,0.79875326,"[-1.0, -0.69, -0.67, -0.77, -0.85]",athlete
7,1,-0.74,-0.80743575,"[-1.0, -0.13, -0.36, 0.21, 0.14]",athlete
7,2,-0.18,1.4778858,"[1.0, -0.54, -0.45, -0.98, -0.97]",athlete
7,3,-0.37,0.6582153,"[-1.0, -0.37, -0.47, -0.2, -0.39]",athlete
7,4,-0.53,0.89018697,"[-1.0, -0.32, -0.35, -0.44, -0.5]",athlete
8,0,-0.24,3.0302918,"[-1.0, -0.18, -0.38, 0.11, -0.2]",athlete
8,1,-0.11,0.7224561,"[1.0, 0.12, 0.22, -0.77, -0.75]",athlete
8,2,-0.55,2.3309364,"[-1.0, -0.04, -0.28, 0.21, -0.04]",athlete
8,3,-0.26,0.9006739,"[1.0, 0.41, 0.55, -0.81, -0.77]",athlete
8,4,-0.76,-0.5407604,"[-1.0, -0.12, -0.2, -0.28, -0.46]",athlete
9,0,-0.76,1.5358167,"[-1.0, -0.39, -0.46, -0.33, -0.45]",athlete
9,1,-0.26,1.644234,"[-1.0, -0.48, -0.48, -0.6, -0.75]",athlete
9,2,-0.18,0.405779,"[-1.0, -0.54, -0.52, -0.7, -0.79]",athlete
9,3,0.21,0.41227895,"[1.0, 0.16, 0.25, -0.75, -0.81]",athlete
9,4,0.13,1.1348367,"[1.0, -0.41, -0.31, -0.94, -0.97]",athlete
10,0,-0.71,-0.0068569183,"[-1.0, -0.11, -0.24, -0.14, -0.22]",athlete
10,1,-0.68,1.8266206,"[-1.0, -0.12, -0.28, -0.04, -0.31]",athlete
10,2,-0.11,0.9080877,"[1.0, 0.16, 0.25, -0.78, -0.75]",athlete
10,3,0.11,-0.22494471,"[1.0, 0.33, 0.47, -0.83, -0.82]",athlete
10,4,-0.39,1.9899647,"[-1.0, 0.0, -0.11, -0.19, -0.28]",athlete
11,0,0.13,3.469594,"[1.0, 0.41, 0.27, -0.17, -0.2]",athlete
11,1,-0.18,2.3020456,"[-1.0, -0.63, -0.65, -0.55, -0.79]",athlete
11,2,-0.37,0.16278452,"[-1.0, 0.37, -0.05, 0.55, 0.66]",athlete
11,3,-0.79,0.4462949,"[-1.0, -0.73, -0.7, -0.84, -0.93]",athlete
11,4,-0.29,0.041095853,"[1.0, -0.23, -0.12, -0.97, -0.97]",athlete
12,0,-0.37,2.2577162,"[-1.0, -0.86, -0.89, -0.54, -0.67]",athlete
12,1,-0.71,1.072935,"[-1.0, -0.41, -0.47, -0.37, -0.57]",athlete
12,2,-0.08,1.8117286,"[1.0, -0.2, -0.09, -0.94, -0.93]",athlete
12,3,-0.11,1.1415728,"[1.0, -0.2, -0.09, -0.98, -0.96]",athlete
12,4,-0.13,2.5415485,"[1.0, -0.63, -0.62, -0.65, -0.7]",athlete
13,0,0.13,1.2788028,"[1.0, -0.03, 0.11, -0.9, -0.83]",athlete
13,1,0.03,2.146617,"[1.0, -0.04, 0.11, -0.95, -0.93]",athlete
13,2,0.11,1.097182,"[1.0, 0.11, 0.22, -0.8, -0.62]",athlete
13,3,-0.16,0.7695809,"[1.0, 0.11, 0.13, -0.53, -0.61]",athlete
13,4,-0.45,0.7998943,"[-1.0, -0.15, -0.36, 0.16, 0.02]",athlete
14,0,-0.68,0.38865864,"[-1.0, -0.12, -0.28, -0.04, -0.31]",athlete
14,1,-0.11,2.0314198,"[1.0, -0.2, -0.09, -0.98, -0.96]",athlete
14,2,0.05,1.44427,"[1.0, 0.07, 0.22, -0.92, -0.86]",athlete
14,3,0.03,1.1763968,"[1.0, 0.3, 0.47, -0.91, -0.92]",athlete
14,4,1.0,0.34232634,"[1.0, -0.11, -0.03, -0.74, -0.81]",athlete
15,0,-0.08,1.4326892,"[1.0, -0.23, -0.12, -0.95, -0.96]",athlete
15,1,0.03,1.122093,"[1.0, -0.01, 0.13, -0.92, -0.97]",athlete
15,2,-0.26,-0.73422265,"[1.0, -0.47, -0.37, -0.97, -0.93]",athlete
15,3,0.24,0.1632095,"[1.0, -0.12, -0.06, -0.72, -0.75]",athlete
15,4,0.08,0.2479617,"[1.0, 0.15, 0.25, -0.74, -0.75]",athlete
16,0,0.47,-0.17230666,"[1.0, 0.33, 0.33, -0.47, -0.45]",athlete
16,1,0.21,2.0068078,"[1.0, -0.31, -0.23, -0.88, -0.81]",athlete
16,2,-0.34,0.92675316,"[-1.0, -0.02, -0.13, -0.18, -0.44]",athlete
16,3,0.08,-0.051475525,"[1.0, 0.15, 0.25, -0.74, -0.75]",athlete
16,4,-0.37,1.3013406,"[-1.0, -0.37, -0.47, -0.2, -0.39]",athlete
17,0,-0.03,0.638099,"[1.0, 0.06, 0.19, -0.9, -0.83]",athlete
17,1,-0.89,0.39076817,"[-1.0, -0.21, -0.38, 0.02, -0.06]",athlete
17,2,0.29,0.5902269,"[1.0, 0.33, 0.44, -0.75, -0.71]",athlete
17,3,0.47,0.31429243,"[1.0, 0.33, 0.33, -0.47, -0.45]",athlete
17,4,-0.37,0.8586651,"[-1.0, 0.37, -0.05, 0.55, 0.66]",athlete
18,0,0.29,1.5710287,"[1.0, 0.33, 0.44, -0.75, -0.71]",athlete
18,1,-0.76,1.9641268,"[-1.0, -0.12, -0.33, 0.14, -0.0]",athlete
18,2,0.13,0.37784994,"[1.0, -0.03, 0.11, -0.9, -0.83]",athlete
18,3,-0.18,2.9104874,"[-1.0, -0.54, -0.52, -0.7, -0.79]",athlete
18,4,0.37,0.44788694,"[1.0, -0.26, -0.14, -0.98, -0.89]",athlete
19,0,0.11,1.3761733,"[1.0, -0.1, -0.06, -0.69, -0.66]",athlete
19,1,-0.87,1.2458243,"[-1.0, -0.31, -0.36, -0.37, -0.51]",athlete
19,2,0.18,1.3387785,"[1.0, -0.19, -0.12, -0.81, -0.72]",athlete
19,3,-0.13,0.1852001,"[1.0, -0.12, -0.01, -0.9, -0.84]",athlete
19,4,-0.82,0.15686125,"[-1.0, -0.33, -0.47, -0.08, -0.29]",athlete
20,0,-0.39,2.3524146,"[-1.0, -0.25, -0.4, -0.06, -0.19]",athlete
20,1,-0.21,2.8058228,"[-1.0, 0.05, -0.09, -0.09, -0.12]",athlete
20,2,0.47,0.8032731,"[1.0, 0.33, 0.33, -0.47, -0.45]",athlete
20,3,0.0,1.5033017,"[1.0, 0.27, 0.3, -0.59, -0.57]",athlete
20,4,-0.26,-0.8471018,"[-1.0, -0.13, -0.38, 0.28, -0.04]",athlete
21,0,0.13,1.3087422,"[1.0, 0.27, 0.41, -0.88, -0.85]",athlete
21,1,0.11,2.1488585,"[1.0, -0.43, -0.34, -0.95, -0.95]",athlete
21,2,-0.5,0.8233845,"[-1.0, -0.02, -0.24, 0.12, 0.11]",athlete
21,3,-0.29,0.4580428,"[-1.0, 0.0, -0.2, 0.08, -0.19]",athlete
21,4,-0.95,-0.48830056,"[-1.0, -0.3, -0.38, -0.25, -0.28]",athlete
22,0,0.03,0.8785715,"[1.0, 0.3, 0.47, -0.91, -0.92]",athlete
22,1,0.11,2.18981,"[1.0, 0.25, 0.33, -0.74, -0.57]",athlete
22,2,0.21,1.8265676,"[1.0, -0.31, -0.23, -0.88, -0.81]",athlete
22,3,-0.76,1.3903886,"[-1.0, -0.12, -0.2, -0.28, -0.46]",athlete
22,4,-0.71,1.1029191,"[-1.0, -0.41, -0.47, -0.37, -0.57]",athlete
23,0,-0.66,1.4869663,"[-1.0, -0.17, -0.43, 0.31, 0.13]",athlete
23,1,-0.5,0.5132109,"[-1.0, -0.48, -0.46, -0.68, -0.76]",athlete
23,2,0.13,0.9166746,"[1.0, 0.41, 0.27, -0.17, -0.2]",athlete
23,3,-0.11,3.070697,"[1.0, -0.13, -0.03, -0.85, -0.82]",athlete
23,4,-0.79,1.2381991,"[-1.0, -0.15, -0.44, 0.4, 0.49]",athlete
24,0,0.08,0.86397696,"[1.0, 0.21, 0.36, -0.88, -0.83]",athlete
24,1,0.13,0.7967308,"[1.0, 0.27, 0.41, -0.88, -0.85]",athlete
24,2,0.11,-1.2551701,"[1.0, -0.1, -0.06, -0.69, -0.66]",athlete
24,3,-0.16,0.015474975,"[1.0, 0.08, 0.16, -0.76, -0.7]",athlete
24,4,-0.53,0.9416579,"[-1.0, -0.44, -0.42, -0.64, -0.82]",athlete
25,0,-0.05,1.6172361,"[-1.0, 0.33, 0.08, 0.16, 0.2]",athlete
25,1,-0.16,0.10381359,"[-1.0, -0.49, -0.47, -0.67, -0.83]",athlete
25,2,0.24,1.5548637,"[1.0, 1.0, 1.0, -0.45, -0.37]",athlete
25,3,0.13,0.2182731,"[1.0, -0.03, 0.11, -0.96, -0.93]",athlete
25,4,-0.39,0.23141867,"[-1.0, -0.81, -0.79, -0.81, -0.88]",athlete
26,0,-0.03,0.553806,"[1.0, 0.06, 0.19, -0.9, -0.83]",athlete
26,1,0.11,0.52346146,"[1.0, 0.22, 0.27, -0.6, -0.51]",athlete
26,2,-0.26,-0.20870328,"[-1.0, -0.13, -0.38, 0.28, -0.04]",athlete
26,3,-0.26,0.36238837,"[1.0, -0.47, -0.37, -0.97, -0.93]",athlete
26,4,-0.55,0.8128447,"[-1.0, -0.04, -0.28, 0.21, -0.04]",athlete
27,0,-0.53,1.085256,"[-1.0, -0.77, -0.76, -0.7, -0.82]",athlete
27,1,-0.39,0.23694491,"[-1.0, -0.81, -0.79, -0.81, -0.88]",athlete
27,2,-0.37,2.8413858,"[-1.0, -0.25, -0.28, -0.47, -0.68]",athlete
27,3,-0.74,0.09255707,"[-1.0, -0.54, -0.59, -0.42, -0.64]",athlete
27,4,-0.26,2.9288092,"[-1.0, -0.13, -0.38, 0.28, -0.04]",athlete
28,0,0.05,1.4641883,"[1.0, -0.21, -0.09, -0.99, -1.0]",athlete
28,1,0.05,-0.0974673,"[1.0, -0.02, 0.05, -0.71, -0.67]",athlete
28,2,-0.29,1.3830665,"[1.0, -0.46, -0.37, -0.92, -0.96]",athlete
28,3,0.68,1.614643,"[1.0, 0.72, 0.89, -0.81, -0.68]",athlete
28,4,0.11,0.6060699,"[1.0, 0.33, 0.47, -0.83, -0.82]",athlete
29,0,-0.5,2.773108,"[-1.0, -0.02, -0.24, 0.12, 0.11]",athlete
29,1,-0.5,2.387086,"[-1.0, -0.48, -0.46, -0.68, -0.76]",athlete
29,2,0.11,2.4566305,"[1.0, 0.11, 0.22, -0.8, -0.62]",athlete
29,3,0.03,1.8496943,"[1.0, 0.19, 0.33, -0.88, -0.82]",athlete
29,4,-0.26,2.1734502,"[-1.0, -0.13, -0.38, 0.28, -0.04]",athlete
30,0,0.13,2.6781092,"[1.0, -0.03, 0.11, -0.9, -0.83]",athlete
30,1,0.03,-1.1339905,"[1.0, 0.19, 0.33, -0.88, -0.82]",athlete
30,2,0.13,0.43518752,"[1.0, -0.03, 0.11, -0.96, -0.93]",athlete
30,3,-0.11,1.5068328,"[-1.0, -0.34, -0.49, -0.03, -0.17]",athlete
30,4,-0.45,0.011304557,"[1.0, 0.46, 0.55, -0.66, -0.61]",athlete
31,0,-0.55,1.797961,"[-1.0, -0.23, -0.38, -0.05, -0.17]",athlete
31,1,-0.66,1.5476627,"[-1.0, -0.17, -0.43, 0.31, 0.13]",athlete
31,2,-0.18,3.0057855,"[1.0, 0.09, 0.22, -0.89, -0.88]",athlete
31,3,-0.5,-0.040212154,"[-1.0, -0.33, -0.44, -0.18, -0.45]",athlete
31,4,0.0,0.3010124,"[1.0, 0.17, 0.25, -0.74, -0.77]",athlete
32,0,-0.58,1.9169356,"[-1.0, -0.72, -0.8, -0.27, -0.46]",athlete
32,1,-0.21,0.9108305,"[-1.0, 0.05, -0.09, -0.09, -0.12]",athlete
32,2,-0.29,0.93350565,"[-1.0, -0.16, -0.16, -0.56, -0.72]",athlete
32,3,-0.26,0.34687406,"[1.0, -0.47, -0.37, -0.97, -0.93]",athlete
32,4,-0.5,0.69578147,"[-1.0, -0.33, -0.44, -0.18, -0.45]",athlete
33,0,-0.45,0.08046478,"[-1.0, -0.15, -0.36, 0.16, 0.02]",athlete
33,1,-0.89,3.0817719,"[-1.0, -0.21, -0.38, 0.02, -0.06]",athlete
33,2,-0.74,0.48952836,"[-1.0, -0.13, -0.36, 0.21, 0.14]",athlete
33,3,-0.34,-0.21424532,"[-1.0, -0.41, -0.61, 0.18, 0.04]",athlete
33,4,-0.37,-0.59555817,"[-1.0, -0.25, -0.28, -0.47, -0.68]",athlete
34,0,-0.71,0.46554017,"[-1.0, -0.41, -0.47, -0.37, -0.57]",athlete
34,1,-0.11,1.9191568,"[1.0, 0.12, 0.22, -0.77, -0.75]",athlete
34,2,-0.53,2.1364846,"[-1.0, -0.44, -0.42, -0.64, -0.82]",athlete
34,3,0.82,0.25443935,"[1.0, -0.13, -0.03, -0.89, -0.83]",athlete
34,4,-0.16,-1.6029253,"[-1.0, -0.05, -0.22, -0.01, -0.27]",athlete
35,0,0.03,2.1446295,"[1.0, -0.04, 0.11, -0.95, -0.93]",athlete
35,1,0.08,1.866602,"[1.0, 0.21, 0.36, -0.88, -0.83]",athlete
35,2,0.24,1.2891548,"[1.0, -0.06, 0.02, -0.76, -0.69]",athlete
35,3,0.13,2.3985431,"[1.0, -0.32, -0.26, -0.81, -0.81]",athlete
35,4,-0.39,1.8167548,"[-1.0, -0.25, -0.4, -0.06, -0.19]",athlete
36,0,0.24,0.9426674,"[1.0, 1.0, 1.0, -0.45, -0.37]",athlete
36,1,0.08,0.24973577,"[1.0, 0.15, 0.25, -0.74, -0.75]",athlete
36,2,0.13,0.3947217,"[1.0, 0.23, 0.33, -0.79, -0.73]",athlete
36,3,-0.58,1.8897337,"[-1.0, -0.69, -0.67, -0.77, -0.85]",athlete
36,4,-0.37,-0.706095,"[-1.0, -0.59, -0.6, -0.58, -0.72]",athlete
37,0,-0.26,1.8557973,"[1.0, 0.32, 0.19, -0.12, -0.21]",athlete
37,1,-0.42,0.0010402799,"[-1.0, -0.37, -0.41, -0.41, -0.5]",athlete
37,2,-0.18,1.3371222,"[-1.0, 0.16, -0.04, 0.05, -0.06]",athlete
37,3,-0.39,1.5318953,"[-1.0, 0.0, -0.11, -0.19, -0.28]",athlete
37,4,-0.11,1.5249345,"[-1.0, -0.34, -0.49, -0.03, -0.17]",athlete
38,0,-0.71,-0.21227264,"[-1.0, -0.3, -0.48, 0.05, -0.09]",athlete
38,1,-0.82,1.1975753,"[-1.0, -0.04, -0.19, -0.06, -0.06]",athlete
38,2,0.05,0.7999818,"[1.0, -0.21, -0.09, -0.99, -1.0]",athlete
38,3,-0.39,2.9601016,"[-1.0, -0.25, -0.4, -0.06, -0.19]",athlete
38,4,-0.26,0.49511743,"[-1.0, -0.21, -0.19, -0.63, -0.77]",athlete
39,0,-0.47,0.37917924,"[-1.0, -0.06, -0.44, 0.64, 0.78]",athlete
39,1,0.24,0.18203098,"[1.0, -0.06, 0.02, -0.76, -0.69]",athlete
39,2,-0.05,0.75017697,"[1.0, -0.14, -0.03, -0.86, -0.84]",athlete
39,3,-0.55,2.1496058,"[-1.0, -0.23, -0.38, -0.05, -0.17]",athlete
39,4,-0.18,-0.10359585,"[-1.0, -0.63, -0.65, -0.55, -0.79]",athlete
40,0,0.26,3.1927588,"[1.0, 0.78, 0.75, -0.4, -0.3]",athlete
40,1,-0.29,1.8428798,"[-1.0, 0.08, -0.2, 0.29, 0.25]",athlete
40,2,-0.68,0.7785499,"[-1.0, -0.38, -0.45, -0.33, -0.53]",athlete
40,3,-0.11,-1.0158517,"[1.0, -0.07, 0.05, -0.85, -0.82]",athlete
40,4,-0.58,0.031633556,"[-1.0, -0.72, -0.8, -0.27, -0.46]",athlete
41,0,-0.5,0.55013657,"[-1.0, -0.48, -0.46, -0.68, -0.76]",athlete
41,1,-0.08,1.3839216,"[1.0, -0.2, -0.09, -0.94, -0.93]",athlete
41,2,0.24,0.08374077,"[1.0, -0.12, -0.06, -0.72, -0.75]",athlete
41,3,-0.08,1.0233867,"[1.0, 0.39, 0.5, -0.78, -0.71]",athlete
41,4,-0.53,3.046007,"[-1.0, -0.77, -0.76, -0.7, -0.82]",athlete
42,0,-0.24,3.258839,"[1.0, 0.11, 0.22, -0.77, -0.79]",athlete
42,1,0.13,-0.044567227,"[-1.0, -0.37, -0.35, -0.64, -0.65]",athlete
42,2,0.13,2.3900688,"[1.0, -0.03, 0.11, -0.96, -0.93]",athlete
42,3,-0.24,2.5951047,"[-1.0, -0.31, -0.49, 0.06, -0.01]",athlete
42,4,-0.89,0.88181037,"[-1.0, -0.21, -0.38, 0.02, -0.06]",athlete
43,0,-0.29,2.170302,"[1.0, -0.46, -0.37, -0.92, -0.96]",athlete
43,1,-0.13,-0.71241415,"[1.0, -0.22, -0.2, -0.61, -0.62]",athlete
