run,trial,ytrue,ypred,x,name
0,0,0.75,0.3239978,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone
0,1,-0.24,0.75564784,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
0,2,0.54,2.1511858,"[-0.3, -1.0, 0.52, 0.34, -1.0]",bone
0,3,0.67,-0.012970686,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
0,4,0.29,1.3782985,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
1,0,0.59,0.70804065,"[-0.65, -1.0, -0.62, 0.14, 1.0]",bone
1,1,0.75,0.8881002,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone
1,2,0.47,0.2622332,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
1,3,0.54,1.6173826,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
1,4,0.47,1.2723203,"[-0.65, 1.0, 0.9, -0.83, 1.0]",bone
2,0,0.47,1.1157514,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone
2,1,0.67,-0.76859033,"[-0.83, 1.0, 0.52, -0.05, -1.0]",bone
2,2,1.0,0.25000232,"[-0.35, 1.0, 0.14, -1.0, 1.0]",bone
2,3,0.95,1.3524745,"[-0.52, 1.0, 0.71, -0.76, 1.0]",bone
2,4,0.54,2.9848733,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
3,0,-0.59,2.2469325,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone
3,1,0.67,1.3452036,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
3,2,0.85,0.9848875,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
3,3,0.47,1.7393136,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone
3,4,-0.24,1.2062415,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
4,0,0.59,0.22096044,"[-0.65, -1.0, -0.62, 0.14, 1.0]",bone
4,1,0.22,1.5843407,"[-0.17, 1.0, -0.05, -0.51, -1.0]",bone
4,2,0.29,0.40566736,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
4,3,1.0,2.3891268,"[-0.35, 1.0, 0.14, -1.0, 1.0]",bone
4,4,0.62,3.1462448,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
5,0,0.67,0.7956437,"[-0.83, 1.0, 0.52, -0.05, -1.0]",bone
5,1,0.22,-0.44895875,"[-0.17, 1.0, -0.05, -0.51, -1.0]",bone
5,2,0.24,1.5513625,"[-0.7, 1.0, 0.52, -0.02, -1.0]",bone
5,3,0.29,-0.31138456,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
5,4,0.06,0.28008765,"[-0.3, 1.0, -0.05, -0.4, -1.0]",bone
6,0,0.67,1.0570452,"[-1.0, 1.0, 0.9, -0.73, 1.0]",bone
6,1,-0.01,1.332392,"[-0.13, -1.0, -0.81, 0.22, 1.0]",bone
6,2,0.85,0.7752714,"[-0.87, 1.0, -0.24, -0.97, 1.0]",bone
6,3,0.54,0.06987786,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone
6,4,0.29,2.091672,"[-0.09, 1.0, -0.05, -0.51, -1.0]",bone
7,0,-0.34,1.0898578,"[-0.0, -1.0, 0.33, 0.31, -1.0]",bone
7,1,0.85,0.78226024,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
7,2,0.47,1.7645645,"[-0.65, 1.0, 0.9, -0.83, 1.0]",bone
7,3,0.62,0.114836335,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
7,4,0.67,0.4522307,"[-0.61, -1.0, 0.14, 0.24, -1.0]",bone
8,0,0.62,2.5759964,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
8,1,1.0,0.15462232,"[-0.35, 1.0, 0.14, -1.0, 1.0]",bone
8,2,0.65,1.1312238,"[-0.65, 1.0, -0.05, -0.45, -1.0]",bone
8,3,0.85,0.6032655,"[-0.48, 1.0, 0.9, -0.52, -1.0]",bone
8,4,-0.59,2.6789536,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone
9,0,1.0,-0.54044235,"[-0.35, 1.0, 0.14, -1.0, 1.0]",bone
9,1,0.16,0.52329755,"[-0.91, 1.0, 0.14, -0.65, 1.0]",bone
9,2,0.62,0.7460818,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone
9,3,0.47,0.9751483,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone
9,4,0.32,2.1493444,"[-0.13, 1.0, 0.71, -0.74, -1.0]",bone
10,0,-0.24,2.2282786,"[0.04, -1.0, -1.0, 0.89, 1.0]",bone
10,1,0.47,0.55359983,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone
10,2,0.22,-0.1729914,"[-0.35, 1.0, -0.05, -0.43, -1.0]",bone
