run,trial,ytrue,ypred,x,name
0,0,-0.8,0.5406438,"[-0.3, 0.52, -0.55, -0.03, 0.01]",crime
0,1,-0.78,0.6317927,"[0.1, -0.01, -0.87, -0.72, -0.7]",crime
0,2,-0.12,1.0832106,"[-0.25, -0.13, -0.76, -0.6, -0.7]",crime
0,3,-0.25,0.76992023,"[-0.38, 0.66, -0.99, -0.34, -0.39]",crime
0,4,-0.61,1.2653308,"[-0.18, 0.2, -0.77, -0.66, -0.72]",crime
1,0,-0.57,0.55950034,"[0.21, -0.46, -0.48, -0.78, -0.79]",crime
1,1,-0.15,1.9365494,"[-0.71, 0.74, 1.0, 1.0, 1.0]",crime
1,2,0.13,0.8951394,"[-1.0, 0.35, -0.93, -0.02, 0.06]",crime
1,3,-0.27,1.7106123,"[-0.2, -0.31, -0.64, -0.38, -0.4]",crime
1,4,-0.59,1.5787444,"[-0.52, 1.0, -0.73, 0.28, 0.21]",crime
2,0,-0.42,-0.9618423,"[-0.15, 0.04, -0.55, -0.5, -0.5]",crime
2,1,-0.76,0.4816873,"[0.23, -0.01, -0.92, -0.62, -0.65]",crime
2,2,-0.73,0.49787468,"[-0.17, -0.32, -0.95, -0.9, -0.9]",crime
2,3,-0.71,-0.5815376,"[0.36, -0.85, -0.82, -0.95, -1.0]",crime
2,4,-0.96,3.584961,"[-0.38, -0.18, -0.96, -0.78, -0.83]",crime
3,0,-0.86,0.19635165,"[-0.13, -0.16, -0.81, -1.0, -0.98]",crime
3,1,-0.78,2.4644823,"[0.1, -0.01, -0.87, -0.72, -0.7]",crime
3,2,-0.24,1.0913814,"[-0.39, 0.26, -0.95, -0.45, -0.45]",crime
3,3,-0.45,1.2255394,"[0.1, -0.42, -0.67, -0.79, -0.8]",crime
3,4,-0.73,1.7636538,"[-0.17, -0.32, -0.95, -0.9, -0.9]",crime
4,0,-0.8,1.6887064,"[-0.3, 0.52, -0.55, -0.03, 0.01]",crime
4,1,-0.73,-0.37425625,"[-0.17, -0.32, -0.95, -0.9, -0.9]",crime
4,2,-0.45,0.6813909,"[0.1, -0.42, -0.67, -0.79, -0.8]",crime
4,3,-0.57,0.30360037,"[0.21, -0.46, -0.48, -0.78, -0.79]",crime
4,4,0.13,2.397581,"[-1.0, 0.35, -0.93, -0.02, 0.06]",crime
5,0,-0.56,1.3722954,"[-0.33, 0.19, -0.95, -0.53, -0.57]",crime
5,1,-0.24,1.2076967,"[-0.39, 0.26, -0.95, -0.45, -0.45]",crime
5,2,0.08,0.67047757,"[-0.39, 0.45, -0.82, 0.03, 0.06]",crime
5,3,-0.8,1.1462667,"[-0.3, 0.52, -0.55, -0.03, 0.01]",crime
5,4,-0.52,1.0698216,"[-0.72, 0.34, -0.62, -0.55, -0.52]",crime
6,0,-0.86,1.2169156,"[-0.13, -0.16, -0.81, -1.0, -0.98]",crime
6,1,0.13,0.29288793,"[-1.0, 0.35, -0.93, -0.02, 0.06]",crime
6,2,-0.17,2.4719903,"[-0.62, 0.67, -0.68, -0.05, -0.17]",crime
6,3,0.06,1.3064862,"[-0.45, 0.24, -0.92, -0.4, -0.39]",crime
6,4,-0.96,1.9285575,"[-0.38, -0.18, -0.96, -0.78, -0.83]",crime
7,0,-0.59,-1.1978438,"[-0.52, 1.0, -0.73, 0.28, 0.21]",crime
7,1,-0.24,1.2477597,"[-0.39, 0.26, -0.95, -0.45, -0.45]",crime
7,2,-0.96,0.29348934,"[-0.38, -0.18, -0.96, -0.78, -0.83]",crime
7,3,-0.78,0.7554957,"[0.1, -0.01, -0.87, -0.72, -0.7]",crime
7,4,-0.61,1.3953667,"[-0.18, 0.2, -0.77, -0.66, -0.72]",crime
8,0,-0.24,0.43584222,"[-0.39, 0.26, -0.95, -0.45, -0.45]",crime
8,1,-0.62,0.67597044,"[-0.76, 0.42, 0.33, -0.21, -0.14]",crime
8,2,0.13,0.6763496,"[-1.0, 0.35, -0.93, -0.02, 0.06]",crime
8,3,-0.8,2.4887543,"[-0.32, 0.09, -0.7, -0.67, -0.64]",crime
8,4,-0.39,2.6694703,"[-0.19, 0.5, -1.0, -0.14, -0.26]",crime
9,0,-0.57,1.0502785,"[0.21, -0.46, -0.48, -0.78, -0.79]",crime
9,1,-0.12,1.9347086,"[-0.25, -0.13, -0.76, -0.6, -0.7]",crime
9,2,-0.02,1.1597823,"[-0.43, -0.0, 0.13, -0.43, -0.39]",crime
9,3,1.0,0.94219005,"[-0.38, 0.93, -1.0, 0.76, 0.9]",crime
9,4,-0.29,1.1893901,"[1.0, 0.71, -0.66, 0.28, 0.29]",crime
10,0,-0.45,1.5651662,"[0.1, -0.42, -0.67, -0.79, -0.8]",crime
10,1,-0.41,0.67446554,"[-0.32, -0.53, -0.75, -0.74, -0.79]",crime
10,2,-0.71,1.5583013,"[0.36, -0.85, -0.82, -0.95, -1.0]",crime
10,3,1.0,2.479367,"[-0.38, 0.93, -1.0, 0.76, 0.9]",crime
10,4,0.08,0.07229012,"[-0.39, 0.45, -0.82, 0.03, 0.06]",crime
11,0,-0.57,2.4425726,"[0.21, -0.46, -0.48, -0.78, -0.79]",crime
11,1,-0.29,1.3753991,"[1.0, 0.71, -0.66, 0.28, 0.29]",crime
11,2,-0.52,0.16133434,"[-0.72, 0.34, -0.62, -0.55, -0.52]",crime
11,3,0.13,1.9331961,"[-1.0, 0.35, -0.93, -0.02, 0.06]",crime
11,4,-1.0,-0.32257116,"[-0.48, 0.38, -0.96, -0.48, -0.6]",crime
12,0,-0.52,-0.35715246,"[-0.72, 0.34, -0.62, -0.55, -0.52]",crime
12,1,-0.51,-1.6218634,"[-0.78, 0.69, -0.42, 0.5, 0.37]",crime
12,2,-0.61,1.1691499,"[-0.18, 0.2, -0.77, -0.66, -0.72]",crime
12,3,0.57,1.9212891,"[-0.6, 0.34, -0.88, -0.07, -0.04]",crime
12,4,0.61,2.2836208,"[-0.84, 0.84, 0.19, 0.29, 0.26]",crime
13,0,-0.78,-0.64411175,"[0.1, -0.01, -0.87, -0.72, -0.7]",crime
