run,trial,ytrue,ypred,x,name
0,0,-0.32,-0.2511567,"[0.17, -0.08, 0.03, -0.18, -0.09]",hitter
0,1,-0.85,-0.27011716,"[-0.64, -0.77, -0.84, -0.7, -0.62]",hitter
0,2,-0.55,1.9537331,"[-0.38, -0.44, -0.79, -0.39, -0.36]",hitter
0,3,-0.94,0.7793945,"[-0.95, -0.95, -0.97, -0.95, -0.95]",hitter
0,4,-0.25,0.18089384,"[-0.5, -0.58, -0.65, -0.61, -0.57]",hitter
1,0,-0.26,1.6999614,"[0.42, 0.05, 0.15, -0.08, 0.06]",hitter
1,1,0.72,-0.1943593,"[0.68, 0.24, 0.81, -0.09, 0.07]",hitter
1,2,-0.53,0.563751,"[-0.79, -0.69, -0.88, -0.72, -0.69]",hitter
1,3,-0.32,1.8891029,"[-0.46, -0.18, -0.86, -0.3, -0.23]",hitter
1,4,-0.62,2.016769,"[-0.7, -0.76, -0.85, -0.75, -0.7]",hitter
2,0,-0.94,0.6904409,"[-0.97, -0.95, -0.97, -0.94, -0.94]",hitter
2,1,-0.93,0.1875692,"[-0.91, -0.92, -0.92, -0.92, -0.91]",hitter
2,2,-0.92,0.25483447,"[-0.89, -0.94, -0.92, -0.94, -0.94]",hitter
2,3,-0.44,1.2637347,"[-0.73, -0.69, -0.9, -0.65, -0.69]",hitter
2,4,-0.81,0.38512665,"[-0.85, -0.84, -0.89, -0.87, -0.83]",hitter
3,0,-0.86,1.5655079,"[-0.93, -0.91, -1.0, -0.89, -0.87]",hitter
3,1,-0.71,2.940431,"[-0.38, -0.34, -0.66, -0.39, -0.35]",hitter
3,2,-0.47,2.1132078,"[-0.77, -0.85, -0.78, -0.85, -0.81]",hitter
3,3,-0.18,0.38977897,"[-0.43, -0.68, -0.7, -0.6, -0.58]",hitter
3,4,-0.89,1.3781735,"[-0.9, -0.86, -0.87, -0.9, -0.89]",hitter
4,0,-0.94,0.5784987,"[-0.95, -0.93, -0.94, -0.94, -0.93]",hitter
4,1,-0.35,0.235591,"[-0.04, -0.22, -0.47, -0.12, -0.13]",hitter
4,2,-0.83,-0.10671604,"[-0.69, -0.73, -0.8, -0.76, -0.72]",hitter
4,3,-0.96,0.4636042,"[-0.96, -0.94, -0.97, -0.95, -0.94]",hitter
4,4,-0.81,1.4083152,"[-0.87, -0.87, -0.84, -0.93, -0.92]",hitter
5,0,-0.32,1.6123457,"[-0.67, -0.68, -0.87, -0.6, -0.54]",hitter
5,1,-0.96,1.84933,"[-0.93, -0.96, -0.91, -0.97, -0.96]",hitter
5,2,-0.19,0.101062655,"[0.31, -0.11, -0.1, -0.06, -0.06]",hitter
5,3,-0.35,0.19707716,"[-0.65, -0.59, -0.88, -0.52, -0.5]",hitter
5,4,-0.78,1.5818439,"[-0.68, -0.75, -0.71, -0.76, -0.71]",hitter
6,0,-0.41,2.0399137,"[0.24, -0.1, -0.44, -0.0, 0.05]",hitter
6,1,-0.7,0.93256795,"[-0.5, -0.48, -0.74, -0.45, -0.4]",hitter
6,2,-0.14,1.1288202,"[0.07, -0.29, -0.08, -0.39, -0.28]",hitter
6,3,0.04,1.3356817,"[-0.44, -0.64, -0.57, -0.63, -0.62]",hitter
6,4,-0.85,1.8185723,"[-0.84, -0.9, -0.85, -0.9, -0.86]",hitter
7,0,-0.47,0.4932651,"[-0.42, -0.6, -0.59, -0.55, -0.54]",hitter
7,1,-0.32,1.4027749,"[-0.77, -0.85, -0.91, -0.77, -0.74]",hitter
7,2,-0.55,-1.1180565,"[-0.5, -0.6, -0.66, -0.59, -0.58]",hitter
7,3,-0.18,0.06110078,"[0.36, -0.12, 0.14, -0.14, -0.01]",hitter
7,4,-0.99,1.3195256,"[-0.97, -0.99, -0.98, -0.98, -0.98]",hitter
8,0,-0.29,2.105526,"[-0.44, -0.7, -0.7, -0.59, -0.54]",hitter
8,1,-0.87,1.0164511,"[-0.43, -0.5, -0.66, -0.44, -0.38]",hitter
8,2,0.53,1.5069668,"[-0.01, -0.26, -0.03, -0.36, -0.3]",hitter
8,3,-0.99,0.07428384,"[-0.97, -0.99, -0.98, -0.98, -0.98]",hitter
8,4,-0.43,1.7936351,"[0.58, 1.0, -0.42, 1.0, 1.0]",hitter
9,0,-0.99,1.5561799,"[-0.97, -0.99, -0.98, -0.98, -0.98]",hitter
9,1,-0.96,0.6830864,"[-0.93, -0.96, -0.91, -0.97, -0.96]",hitter
9,2,-0.57,1.8545516,"[-0.71, -0.78, -0.89, -0.75, -0.74]",hitter
9,3,-0.1,0.74806905,"[-0.6, -0.73, -0.77, -0.63, -0.61]",hitter
9,4,-0.92,0.7144047,"[-0.82, -0.88, -0.97, -0.85, -0.82]",hitter
10,0,-0.66,1.7697259,"[-0.86, -0.87, -0.9, -0.88, -0.83]",hitter
10,1,-0.72,1.4014547,"[-0.86, -0.79, -0.96, -0.84, -0.81]",hitter
10,2,-0.29,1.0053155,"[-0.44, -0.7, -0.7, -0.59, -0.54]",hitter
10,3,-0.92,-0.07099676,"[-0.85, -0.92, -0.86, -0.94, -0.93]",hitter
10,4,-0.86,1.0637028,"[-0.93, -0.91, -1.0, -0.89, -0.87]",hitter
11,0,-0.64,0.7867988,"[-0.67, -0.82, -0.73, -0.8, -0.79]",hitter
11,1,-0.35,1.822751,"[-0.02, -0.35, -0.19, -0.36, -0.26]",hitter
11,2,-0.9,1.6983621,"[-0.91, -0.92, -0.92, -0.91, -0.89]",hitter
11,3,-0.3,0.34249985,"[-0.57, -0.48, -0.79, -0.47, -0.44]",hitter
11,4,-0.72,1.3805258,"[-0.55, -0.61, -0.72, -0.57, -0.46]",hitter
12,0,-0.14,0.62958324,"[0.07, -0.29, -0.08, -0.39, -0.28]",hitter
12,1,-0.53,1.7317282,"[-0.79, -0.69, -0.88, -0.72, -0.69]",hitter
12,2,-0.92,0.46231663,"[-0.93, -0.83, -1.0, -0.87, -0.85]",hitter
12,3,-0.1,-0.2322259,"[-0.6, -0.73, -0.77, -0.63, -0.61]",hitter
12,4,0.03,0.7786204,"[-0.16, -0.36, -0.29, -0.44, -0.39]",hitter
13,0,-0.39,1.397138,"[-0.16, -0.48, -0.23, -0.49, -0.41]",hitter
13,1,-0.97,1.7158818,"[-0.95, -0.95, -0.94, -0.98, -0.97]",hitter
13,2,-0.85,0.33896887,"[-0.91, -0.94, -0.97, -0.92, -0.9]",hitter
13,3,-0.96,2.9817991,"[-0.96, -0.98, -0.98, -0.97, -0.96]",hitter
13,4,-0.94,2.1415682,"[-0.97, -0.95, -0.97, -0.94, -0.94]",hitter
14,0,-1.0,1.4871427,"[-0.98, -0.99, -0.99, -0.99, -0.98]",hitter
14,1,-0.91,1.0889419,"[-0.91, -0.9, -0.99, -0.89, -0.88]",hitter
14,2,-0.86,1.1042264,"[-0.93, -0.91, -1.0, -0.89, -0.87]",hitter
14,3,-0.9,0.07469529,"[-0.86, -0.86, -0.91, -0.86, -0.84]",hitter
14,4,-0.32,-1.0270395,"[-0.67, -0.68, -0.87, -0.6, -0.54]",hitter
15,0,-0.44,0.4743595,"[-0.59, -0.56, -0.73, -0.59, -0.57]",hitter
15,1,-0.71,1.6641368,"[-0.84, -0.92, -0.89, -0.91, -0.89]",hitter
15,2,-0.86,1.556356,"[-0.93, -0.91, -1.0, -0.89, -0.87]",hitter
15,3,-0.49,1.0385202,"[-0.2, -0.32, -0.39, -0.34, -0.28]",hitter
15,4,-0.59,0.78273714,"[-0.62, -0.78, -0.82, -0.71, -0.69]",hitter
16,0,-0.65,0.6769662,"[1.0, 0.39, 1.0, 0.17, 0.35]",hitter
16,1,-0.55,0.6885419,"[-0.71, -0.79, -0.76, -0.79, -0.75]",hitter
16,2,-0.7,0.06632483,"[-0.81, -0.89, -0.88, -0.86, -0.83]",hitter
16,3,-0.91,2.0354943,"[-0.92, -0.94, -0.88, -0.94, -0.93]",hitter
16,4,-0.96,-0.30909717,"[-0.94, -0.96, -0.95, -0.96, -0.95]",hitter
17,0,-0.68,1.2502286,"[-0.55, -0.63, -0.73, -0.6, -0.55]",hitter
17,1,-0.88,2.0080376,"[-0.88, -0.92, -0.84, -0.95, -0.93]",hitter
17,2,-1.0,0.5795955,"[-0.97, -0.98, -0.97, -0.98, -0.98]",hitter
17,3,-0.3,0.400607,"[-0.52, -0.68, -0.61, -0.67, -0.61]",hitter
17,4,-0.85,-1.5117602,"[-0.88, -0.91, -0.88, -0.93, -0.92]",hitter
18,0,-0.02,0.24164003,"[-0.56, -0.67, -0.53, -0.72, -0.69]",hitter
18,1,-0.32,2.4283671,"[-0.67, -0.68, -0.87, -0.6, -0.54]",hitter
18,2,-0.98,1.5523143,"[-0.96, -0.97, -0.96, -0.97, -0.97]",hitter
18,3,-0.32,-0.19728303,"[0.17, -0.08, 0.03, -0.18, -0.09]",hitter
18,4,-0.91,0.036448,"[-0.81, -0.88, -0.8, -0.9, -0.87]",hitter
19,0,-0.18,1.8518386,"[0.36, -0.12, 0.14, -0.14, -0.01]",hitter
19,1,-0.89,0.70725924,"[0.52, 0.07, 0.4, 0.01, 0.23]",hitter
19,2,-0.85,-0.008342266,"[-0.64, -0.77, -0.84, -0.7, -0.62]",hitter
19,3,-0.47,0.5024151,"[-0.77, -0.85, -0.78, -0.85, -0.81]",hitter
19,4,-0.37,-0.6164547,"[-0.31, -0.48, -0.7, -0.36, -0.22]",hitter
20,0,-0.02,1.2836782,"[-0.56, -0.67, -0.53, -0.72, -0.69]",hitter
20,1,-0.97,-1.4271994,"[-0.97, -0.98, -1.0, -0.97, -0.95]",hitter
20,2,-0.61,0.61556196,"[-0.6, -0.6, -0.78, -0.62, -0.57]",hitter
20,3,-0.91,-1.0678427,"[-0.92, -0.94, -0.88, -0.94, -0.93]",hitter
20,4,-0.94,2.0685587,"[-0.95, -0.93, -0.94, -0.94, -0.93]",hitter
21,0,-0.56,2.1620681,"[-0.65, -0.75, -0.85, -0.74, -0.72]",hitter
21,1,-0.86,1.003648,"[-0.66, -0.67, -0.87, -0.63, -0.56]",hitter
21,2,-0.47,0.44867897,"[-0.63, -0.66, -0.88, -0.64, -0.64]",hitter
21,3,0.57,1.5336527,"[-0.56, -0.47, -0.95, -0.47, -0.34]",hitter
21,4,0.72,2.6494207,"[0.68, 0.24, 0.81, -0.09, 0.07]",hitter
22,0,-0.32,0.6653787,"[-0.46, -0.18, -0.86, -0.3, -0.23]",hitter
22,1,-0.43,0.4964041,"[-0.52, -0.7, -0.6, -0.65, -0.59]",hitter
22,2,-0.38,2.0184395,"[-0.6, -0.69, -0.72, -0.68, -0.64]",hitter
22,3,-0.78,1.6156595,"[-0.68, -0.75, -0.71, -0.76, -0.71]",hitter
22,4,-0.94,1.3920432,"[-0.92, -0.94, -0.94, -0.94, -0.93]",hitter
23,0,-0.83,2.3439581,"[-0.21, -0.37, -0.64, -0.24, -0.07]",hitter
23,1,-0.99,-0.22640765,"[-0.98, -0.99, -1.0, -0.99, -0.99]",hitter
23,2,-0.44,1.2779696,"[-0.59, -0.56, -0.73, -0.59, -0.57]",hitter
23,3,-0.44,1.7056056,"[-0.73, -0.63, -0.93, -0.61, -0.58]",hitter
23,4,-0.39,1.7518439,"[-0.71, -0.6, -0.85, -0.62, -0.59]",hitter
24,0,-0.32,-0.89179003,"[-0.77, -0.85, -0.91, -0.77, -0.74]",hitter
24,1,-0.25,1.558794,"[-0.5, -0.58, -0.65, -0.61, -0.57]",hitter
24,2,-0.92,1.1670543,"[-0.82, -0.88, -0.97, -0.85, -0.82]",hitter
24,3,-0.78,-0.43962514,"[-0.68, -0.75, -0.71, -0.76, -0.71]",hitter
24,4,-0.3,1.2031317,"[-0.57, -0.48, -0.79, -0.47, -0.44]",hitter
25,0,0.96,0.4061141,"[0.55, 0.01, 0.28, 0.01, 0.0]",hitter
25,1,-0.44,2.0447254,"[-0.59, -0.56, -0.73, -0.59, -0.57]",hitter
25,2,-0.64,-0.63396657,"[-0.67, -0.82, -0.73, -0.8, -0.79]",hitter
25,3,-0.89,0.77682745,"[-0.74, -0.85, -0.76, -0.84, -0.82]",hitter
25,4,-0.75,0.28478706,"[-0.77, -0.77, -0.87, -0.74, -0.75]",hitter
26,0,-0.78,1.0368263,"[-0.81, -0.82, -0.97, -0.79, -0.75]",hitter
26,1,-0.32,1.3848844,"[0.17, -0.08, 0.03, -0.18, -0.09]",hitter
26,2,-0.72,1.4276673,"[-0.47, -0.42, -0.8, -0.39, -0.29]",hitter
26,3,-0.26,0.48300457,"[-0.3, -0.56, -0.49, -0.51, -0.48]",hitter
26,4,-0.97,0.8096787,"[-0.94, -0.97, -0.94, -0.97, -0.97]",hitter
27,0,-0.71,1.8821461,"[-0.38, -0.34, -0.66, -0.39, -0.35]",hitter
27,1,-0.5,1.9901755,"[-0.66, -0.79, -0.67, -0.78, -0.75]",hitter
27,2,-0.55,1.3490633,"[-0.5, -0.6, -0.66, -0.59, -0.58]",hitter
27,3,-0.75,2.7075868,"[-0.76, -0.82, -0.94, -0.75, -0.72]",hitter
27,4,-1.0,-0.09802699,"[-1.0, -0.99, -1.0, -1.0, -1.0]",hitter
28,0,-0.47,1.7638192,"[-0.42, -0.6, -0.59, -0.55, -0.54]",hitter
28,1,-0.85,-0.34101653,"[-0.84, -0.9, -0.85, -0.9, -0.86]",hitter
28,2,-0.32,-0.5184084,"[-0.67, -0.68, -0.87, -0.6, -0.54]",hitter
28,3,-0.91,1.2082189,"[-0.98, -0.96, -0.98, -0.97, -0.96]",hitter
28,4,-0.83,1.6716506,"[-0.69, -0.73, -0.8, -0.76, -0.72]",hitter
29,0,-0.94,0.38150275,"[-0.97, -0.95, -0.97, -0.94, -0.94]",hitter
29,1,-0.89,2.2784047,"[-0.9, -0.86, -0.87, -0.9, -0.89]",hitter
29,2,-0.62,-0.8760742,"[-0.49, -0.44, -0.69, -0.43, -0.41]",hitter
29,3,-0.22,0.81992686,"[-0.15, -0.1, -0.56, -0.15, -0.14]",hitter
29,4,-0.98,-1.0012071,"[-0.93, -0.96, -0.91, -0.97, -0.97]",hitter
30,0,-0.83,-0.8709072,"[-0.87, -0.91, -0.89, -0.93, -0.91]",hitter
30,1,-0.35,0.68342006,"[-0.57, -0.6, -0.85, -0.51, -0.47]",hitter
30,2,-0.78,-0.20152473,"[-0.81, -0.82, -0.97, -0.79, -0.75]",hitter
30,3,-0.71,1.7758023,"[-0.38, -0.34, -0.66, -0.39, -0.35]",hitter
30,4,-0.43,1.2294294,"[-0.61, -0.79, -0.78, -0.73, -0.69]",hitter
31,0,-0.9,1.6459918,"[-0.86, -0.89, -0.94, -0.89, -0.88]",hitter
31,1,-0.82,0.24123263,"[-0.89, -0.92, -0.96, -0.92, -0.9]",hitter
31,2,-0.43,0.54705286,"[-0.52, -0.7, -0.6, -0.65, -0.59]",hitter
31,3,-0.93,0.9064073,"[-0.9, -0.95, -0.91, -0.95, -0.94]",hitter
31,4,-0.68,0.5094577,"[-0.15, -0.32, -0.62, -0.29, -0.18]",hitter
32,0,-0.51,0.20484096,"[-0.62, -0.72, -0.8, -0.69, -0.62]",hitter
32,1,-0.25,1.4531391,"[-0.5, -0.58, -0.65, -0.61, -0.57]",hitter
32,2,-0.55,1.6228766,"[-0.37, -0.48, -0.47, -0.57, -0.47]",hitter
32,3,-0.76,1.9230756,"[-0.83, -0.82, -0.96, -0.83, -0.78]",hitter
32,4,-0.98,2.7946143,"[-0.96, -0.97, -0.97, -0.99, -0.98]",hitter
33,0,0.57,3.423591,"[-0.56, -0.47, -0.95, -0.47, -0.34]",hitter
33,1,-0.94,1.5437231,"[-0.92, -0.95, -0.91, -0.94, -0.93]",hitter
33,2,-0.97,1.2351904,"[-0.97, -1.0, -0.99, -0.98, -0.98]",hitter
33,3,-0.92,1.7179885,"[-0.82, -0.88, -0.97, -0.85, -0.82]",hitter
33,4,-0.61,0.97855985,"[-0.6, -0.6, -0.78, -0.62, -0.57]",hitter
34,0,-0.46,-0.06110549,"[-0.88, -0.75, -0.95, -0.79, -0.75]",hitter
34,1,-0.68,1.7625811,"[-0.48, -0.43, -0.82, -0.38, -0.31]",hitter
34,2,-0.91,1.0195504,"[-0.98, -0.96, -0.98, -0.97, -0.96]",hitter
34,3,-0.95,1.6364851,"[-0.97, -0.98, -1.0, -0.98, -0.98]",hitter
34,4,-0.42,1.1421353,"[-0.77, -0.61, -0.94, -0.67, -0.64]",hitter
35,0,0.03,2.8009963,"[-0.57, -0.65, -0.75, -0.66, -0.63]",hitter
35,1,-0.56,2.906921,"[-0.65, -0.75, -0.85, -0.74, -0.72]",hitter
35,2,0.72,2.5446658,"[0.68, 0.24, 0.81, -0.09, 0.07]",hitter
35,3,-0.9,3.4456582,"[-0.86, -0.86, -0.91, -0.86, -0.84]",hitter
35,4,-0.91,2.073748,"[-0.81, -0.88, -0.8, -0.9, -0.87]",hitter
36,0,-0.72,1.2662296,"[-0.84, -0.75, -0.85, -0.84, -0.81]",hitter
36,1,-0.66,0.5062337,"[-0.51, -0.72, -0.75, -0.62, -0.53]",hitter
36,2,-0.98,1.4137938,"[-0.96, -0.97, -0.97, -0.99, -0.98]",hitter
36,3,-0.97,2.0873065,"[-0.97, -0.98, -1.0, -0.97, -0.95]",hitter
36,4,-0.55,2.8537698,"[-0.38, -0.44, -0.79, -0.39, -0.36]",hitter
37,0,-0.4,1.6035032,"[-0.69, -0.74, -0.77, -0.76, -0.73]",hitter
