run,trial,ytrue,ypred,x,name
0,0,0.14,0.35091782,"[0.17, -0.75, -0.82, -0.84, -0.6]",mileage
0,1,-0.1,0.24268329,"[-0.33, -0.64, -0.68, -0.75, -0.6]",mileage
0,2,0.54,0.2267648,"[1.0, -0.71, -0.82, -0.81, -0.6]",mileage
0,3,-0.45,1.1557629,"[0.33, -0.09, -0.52, -0.15, 0.2]",mileage
0,4,-0.2,-0.09868169,"[-1.0, -0.57, -0.47, -0.77, -0.6]",mileage
1,0,-0.84,1.588711,"[-0.5, 0.89, 0.65, 0.87, 1.0]",mileage
1,1,-0.95,1.627399,"[-1.0, 0.7, 0.84, 0.51, 1.0]",mileage
1,2,-0.6,1.5763459,"[0.0, 0.57, 0.46, 0.46, 1.0]",mileage
1,3,-0.79,-0.2706324,"[-0.83, 0.78, 0.35, 0.72, 1.0]",mileage
1,4,-0.47,-1.5505447,"[-0.17, -0.09, -0.52, -0.15, 0.2]",mileage
2,0,-0.4,1.0571396,"[0.5, -0.06, -0.52, -0.15, 0.2]",mileage
2,1,-0.52,0.089137495,"[-0.17, -0.22, -0.45, -0.47, 0.2]",mileage
2,2,-0.15,0.5614079,"[0.0, -0.66, -0.62, -0.75, -0.6]",mileage
2,3,-0.2,2.3541708,"[-0.17, -0.38, -0.46, -0.66, -0.6]",mileage
2,4,-0.73,0.6121196,"[-1.0, 0.55, 0.89, 0.99, 1.0]",mileage
3,0,-0.52,2.3244567,"[-0.5, -0.2, -0.54, -0.06, 0.2]",mileage
3,1,-0.31,1.8587677,"[-1.0, -0.31, -0.47, -0.33, 0.2]",mileage
3,2,0.12,-0.3987552,"[0.17, -0.69, -0.63, -0.78, -0.6]",mileage
3,3,-0.15,2.6627355,"[0.0, -0.46, -0.5, -0.63, -0.6]",mileage
3,4,0.14,0.46753645,"[0.17, -0.67, -0.65, -0.85, -0.6]",mileage
4,0,-0.2,0.6954392,"[-0.33, -0.5, -0.45, -0.73, -0.6]",mileage
4,1,-0.73,0.5595137,"[-0.67, 0.43, 0.16, 0.46, 1.0]",mileage
4,2,0.14,1.1888082,"[0.17, -0.67, -0.65, -0.85, -0.6]",mileage
4,3,0.17,2.0179343,"[-0.33, -0.78, -0.77, -0.94, -0.6]",mileage
4,4,-0.41,0.2624197,"[-0.67, -0.55, -0.52, -0.63, -0.6]",mileage
5,0,-0.13,1.8800344,"[0.83, -0.27, -0.24, -0.48, 0.2]",mileage
5,1,-0.4,1.0590385,"[0.33, -0.23, -0.58, -0.32, 0.2]",mileage
5,2,-0.63,0.31598997,"[-0.83, 0.04, -0.36, -0.19, 0.2]",mileage
5,3,-0.15,0.24033248,"[-0.17, -0.4, -0.25, -0.73, -0.6]",mileage
5,4,0.44,0.1030184,"[1.0, -0.69, -0.54, -0.73, -0.6]",mileage
6,0,0.42,0.40357488,"[0.5, -0.83, -0.63, -0.84, -0.6]",mileage
6,1,0.51,2.090498,"[0.5, -0.71, -0.75, -0.88, -0.6]",mileage
6,2,-0.13,1.1425202,"[0.83, -0.27, -0.24, -0.48, 0.2]",mileage
6,3,-0.2,1.3724651,"[-1.0, -0.57, -0.47, -0.77, -0.6]",mileage
6,4,-0.68,2.2875967,"[-0.5, 0.4, 0.08, 0.46, 1.0]",mileage
7,0,0.23,1.0373275,"[0.67, -0.63, -0.68, -0.79, -0.6]",mileage
7,1,0.06,1.805387,"[0.17, -0.81, -0.65, -0.85, -0.6]",mileage
7,2,0.11,-0.72868276,"[0.67, -0.38, -0.52, -0.66, -0.6]",mileage
7,3,0.44,2.2756426,"[1.0, -0.69, -0.54, -0.73, -0.6]",mileage
7,4,0.6,0.5604154,"[0.83, -0.92, -0.87, -0.94, -0.6]",mileage
8,0,-0.04,0.71589637,"[1.0, -0.24, -0.52, -0.57, -0.6]",mileage
8,1,-0.2,2.8400629,"[-0.67, -0.62, -0.47, -0.77, -0.6]",mileage
8,2,-0.73,1.569071,"[-1.0, 0.13, 0.24, 0.41, 1.0]",mileage
8,3,-0.79,2.3784919,"[0.0, 0.21, 0.13, 0.29, 1.0]",mileage
8,4,0.27,1.0520701,"[0.33, -0.79, -0.93, -0.95, -0.6]",mileage
9,0,-0.31,1.2456763,"[1.0, -0.31, -0.28, -0.15, 0.2]",mileage
9,1,-0.84,2.972676,"[-0.5, 0.64, 0.46, 0.46, 1.0]",mileage
9,2,-0.2,0.7265719,"[-1.0, -0.54, -0.52, -0.8, -0.6]",mileage
9,3,0.37,-1.2268839,"[0.83, -0.66, -0.82, -0.81, -0.6]",mileage
9,4,-0.68,-0.48148572,"[0.17, 0.52, -0.09, 0.21, 1.0]",mileage
10,0,0.01,0.74308157,"[-0.83, -0.63, -0.52, -0.63, -0.6]",mileage
10,1,0.49,-0.7258842,"[0.83, -0.79, -0.79, -0.91, -0.6]",mileage
10,2,-0.63,1.6486995,"[-0.5, 0.51, 1.0, 0.72, 1.0]",mileage
10,3,-0.73,0.87428087,"[-0.33, 0.72, 0.02, 0.21, 1.0]",mileage
10,4,-0.21,2.037486,"[0.33, -0.55, -0.45, -0.74, -0.6]",mileage
11,0,-0.15,0.2385673,"[0.0, -0.46, -0.5, -0.63, -0.6]",mileage
11,1,0.55,0.7802245,"[0.67, -0.8, -0.85, -0.89, -0.6]",mileage
11,2,-0.65,1.39726,"[0.0, 0.33, -0.2, 0.22, 1.0]",mileage
11,3,-0.57,0.71949375,"[0.33, -0.13, -0.14, -0.51, 0.2]",mileage
11,4,0.86,1.7934293,"[1.0, -0.71, -0.93, -0.85, -0.6]",mileage
12,0,-0.79,1.1759144,"[-0.5, 0.25, 0.4, 0.51, 1.0]",mileage
12,1,-0.63,0.6626334,"[-0.5, 0.51, 1.0, 0.72, 1.0]",mileage
12,2,0.89,-0.3411882,"[0.67, -0.87, -0.77, -0.88, -0.6]",mileage
12,3,-0.84,2.1383657,"[-0.5, 0.64, 0.46, 0.46, 1.0]",mileage
12,4,0.3,1.8940719,"[0.17, -0.81, -0.74, -0.91, -0.6]",mileage
13,0,-0.4,1.1920441,"[0.33, -0.31, -0.38, -0.67, -0.2]",mileage
13,1,0.54,-1.0966067,"[1.0, -0.71, -0.82, -0.81, -0.6]",mileage
13,2,-0.57,2.1580577,"[-0.67, 0.17, 0.13, 0.22, 1.0]",mileage
13,3,-0.68,1.2730793,"[-1.0, 0.11, 0.35, 0.63, 1.0]",mileage
13,4,0.16,1.2278123,"[0.33, -0.65, -0.68, -0.81, -0.6]",mileage
14,0,0.11,-0.47797155,"[0.83, -0.57, -0.79, -0.84, -0.6]",mileage
14,1,0.49,1.2319448,"[0.83, -0.79, -0.79, -0.91, -0.6]",mileage
14,2,-0.63,1.6215925,"[-0.33, 0.14, -0.3, -0.02, 0.2]",mileage
14,3,0.38,0.3919013,"[-0.83, -1.0, -0.75, -0.98, -0.6]",mileage
14,4,0.54,-0.6109415,"[1.0, -0.71, -0.82, -0.81, -0.6]",mileage
15,0,0.12,1.1553987,"[0.17, -0.69, -0.63, -0.78, -0.6]",mileage
15,1,0.51,2.3868043,"[0.5, -0.71, -0.75, -0.88, -0.6]",mileage
15,2,0.2,1.4666917,"[0.33, -0.79, -0.73, -0.89, -0.6]",mileage
15,3,0.02,-0.46774435,"[0.83, -0.08, -0.63, -0.62, -0.6]",mileage
15,4,-0.28,1.3829533,"[0.0, -0.17, -0.52, -0.15, 0.2]",mileage
16,0,-0.73,-1.3864071,"[-0.83, 0.47, 0.29, 0.46, 1.0]",mileage
16,1,-0.73,1.1651802,"[-1.0, 0.55, 0.89, 0.99, 1.0]",mileage
16,2,0.02,0.11849886,"[0.83, -0.08, -0.63, -0.62, -0.6]",mileage
16,3,0.62,0.046444595,"[0.33, -0.74, -0.74, -0.91, -0.6]",mileage
16,4,-0.68,1.1510572,"[-0.33, -0.02, -0.41, -0.06, 0.2]",mileage
17,0,0.39,0.68502593,"[0.83, -0.92, -0.85, -0.93, -0.6]",mileage
17,1,-0.73,1.45887,"[-0.83, 0.41, 0.13, 0.29, 1.0]",mileage
17,2,-0.79,0.9932818,"[-0.5, 0.56, 0.22, 0.46, 1.0]",mileage
17,3,0.22,1.9415243,"[1.0, -0.61, -0.59, -0.65, -0.6]",mileage
17,4,0.16,-0.21530831,"[0.33, -0.65, -0.68, -0.81, -0.6]",mileage
18,0,-0.52,1.0900998,"[0.33, -0.1, 0.01, 0.21, 1.0]",mileage
18,1,0.01,0.38042903,"[0.0, -0.52, -0.57, -0.8, -0.6]",mileage
18,2,-0.26,0.7713421,"[-0.17, -0.42, -0.6, -0.63, -0.6]",mileage
18,3,-0.2,-0.37054288,"[-0.5, -0.41, -0.3, -0.73, -0.6]",mileage
18,4,-0.11,-0.130543,"[0.83, -0.43, -0.5, -0.55, -0.6]",mileage
19,0,0.01,0.57938457,"[1.0, -0.43, -0.64, -0.73, -0.6]",mileage
19,1,-0.73,1.2853715,"[-0.5, 0.49, 0.13, 0.29, 1.0]",mileage
19,2,-0.15,1.795641,"[-1.0, -0.4, -0.55, -0.78, -0.6]",mileage
19,3,-0.37,1.1916692,"[0.33, -0.17, -0.58, -0.32, 0.2]",mileage
19,4,-0.52,-0.010754824,"[-0.33, 0.13, -0.36, -0.19, 0.2]",mileage
20,0,-0.2,2.059188,"[-0.17, -0.38, -0.46, -0.66, -0.6]",mileage
20,1,-0.84,-0.8615413,"[-0.5, 0.87, 0.32, 0.72, 1.0]",mileage
20,2,-0.73,1.9213276,"[-0.67, 0.4, 0.13, 0.29, 1.0]",mileage
20,3,-0.36,1.3313124,"[-1.0, -0.45, -0.58, -0.32, 0.2]",mileage
20,4,-0.36,1.5173943,"[-0.67, -0.65, -0.57, -0.72, -0.6]",mileage
21,0,-0.1,0.9634197,"[-1.0, -0.87, -1.0, -0.85, -0.6]",mileage
21,1,-0.2,0.52680314,"[-1.0, -0.54, -0.52, -0.8, -0.6]",mileage
21,2,-0.84,2.959803,"[-0.5, 0.64, 0.46, 0.46, 1.0]",mileage
21,3,-0.57,1.6325588,"[0.33, -0.13, -0.14, -0.51, 0.2]",mileage
21,4,-0.26,0.5255029,"[-0.17, -0.39, -0.47, -0.76, -0.6]",mileage
22,0,-0.41,2.3951635,"[-0.5, -0.45, -0.51, -0.76, -0.6]",mileage
22,1,-0.36,2.7090788,"[-1.0, -0.41, -0.52, -0.32, 0.2]",mileage
22,2,0.51,0.65147924,"[0.5, -0.71, -0.75, -0.88, -0.6]",mileage
22,3,0.06,0.7063514,"[0.17, -0.81, -0.65, -0.85, -0.6]",mileage
22,4,-0.36,0.5532821,"[-0.5, -0.55, -0.72, -0.63, -0.6]",mileage
23,0,-0.89,-0.18055594,"[-1.0, 0.57, 0.78, 0.29, 1.0]",mileage
23,1,-0.03,1.4052397,"[0.5, -0.11, -0.73, -0.62, -0.6]",mileage
23,2,0.17,0.91684073,"[1.0, -0.45, -0.58, -0.77, -0.6]",mileage
23,3,0.06,-0.47740424,"[-0.5, -0.86, -0.97, -1.0, -0.6]",mileage
23,4,-0.2,1.3387034,"[-0.17, -0.47, -0.45, -0.74, -0.6]",mileage
24,0,0.42,0.9131743,"[0.5, -0.83, -0.63, -0.84, -0.6]",mileage
24,1,0.12,2.0884552,"[0.33, -0.69, -0.76, -0.84, -0.6]",mileage
24,2,0.54,0.49547076,"[1.0, -0.2, -0.58, 0.0, 0.2]",mileage
24,3,0.02,1.8324807,"[0.83, -0.08, -0.63, -0.62, -0.6]",mileage
24,4,-0.47,2.836596,"[-0.67, -0.59, -0.45, -0.99, -1.0]",mileage
25,0,0.24,0.8614935,"[0.83, -0.58, -0.68, -0.79, -0.6]",mileage
25,1,-0.31,2.7431388,"[-0.17, -0.24, -0.43, -0.73, -0.6]",mileage
25,2,-0.84,1.0945704,"[-0.5, 0.87, 0.32, 0.72, 1.0]",mileage
25,3,-0.38,0.31453848,"[0.33, 0.0, -0.36, -0.16, 0.2]",mileage
25,4,-0.52,2.6109324,"[-0.17, 0.05, -0.36, -0.06, 0.2]",mileage
26,0,-0.73,2.1383257,"[-0.83, 0.41, 0.13, 0.29, 1.0]",mileage
