run,trial,ytrue,ypred,x,name
0,0,0.05,0.9960478,"[-0.11, -0.2, 0.69, 0.09, -0.16]",mortality
0,1,-0.25,2.775778,"[-0.65, -0.79, -0.21, -1.0, 0.28]",mortality
0,2,-0.33,1.7768359,"[-0.86, -0.74, 0.31, 0.94, 0.0]",mortality
0,3,-0.4,0.42157048,"[-0.94, -0.66, 0.7, 0.52, 0.32]",mortality
0,4,0.11,-0.13783896,"[0.05, -0.35, -0.15, -0.27, 0.2]",mortality
1,0,0.05,-0.7743144,"[-0.11, -0.2, 0.69, 0.09, -0.16]",mortality
1,1,-0.33,2.1180813,"[-0.98, -0.76, 0.61, -0.03, 0.4]",mortality
1,2,-0.4,1.1496851,"[-0.94, -0.66, 0.7, 0.52, 0.32]",mortality
1,3,0.1,-0.11721194,"[-0.27, 0.33, 0.9, 1.0, 0.24]",mortality
1,4,0.1,0.5649203,"[-0.77, -0.21, -0.01, 0.45, 0.16]",mortality
2,0,-0.5,1.1633263,"[-0.81, -0.79, 0.46, 0.94, -0.8]",mortality
2,1,-0.33,2.0542614,"[-0.98, -0.76, 0.61, -0.03, 0.4]",mortality
2,2,0.49,1.7314422,"[-0.49, 1.0, -1.0, -0.27, 0.72]",mortality
2,3,-0.7,0.62432545,"[-0.86, -0.73, 0.85, 0.88, -1.0]",mortality
2,4,-0.67,1.1597724,"[-0.78, -0.89, 0.04, -0.7, 0.32]",mortality
3,0,-0.35,1.5276165,"[-0.95, -0.99, 0.09, 0.27, 0.4]",mortality
3,1,0.04,1.1989022,"[-0.9, -0.35, -0.03, 0.76, 0.08]",mortality
3,2,0.1,2.1707609,"[-0.77, -0.21, -0.01, 0.45, 0.16]",mortality
3,3,-1.0,1.8504549,"[-0.99, -0.88, 1.0, 0.94, -0.88]",mortality
3,4,-0.57,2.5362945,"[-1.0, -0.26, 0.1, 0.7, 0.0]",mortality
4,0,-0.18,2.1135044,"[-0.95, -0.58, 0.37, 0.39, 0.44]",mortality
4,1,0.21,0.6869495,"[-0.55, -0.26, 0.63, 0.27, 0.0]",mortality
