run,trial,ytrue,ypred,x,name
0,0,-0.55,0.084287405,"[-0.89, -0.93, -0.06, 0.31, -0.84]",mussel
0,1,-0.48,1.3364658,"[-0.95, 0.47, 0.62, -0.62, -0.39]",mussel
0,2,-0.61,0.35081947,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
0,3,-0.16,-0.049511433,"[-0.91, -0.81, 0.0, 0.0, -0.63]",mussel
0,4,-0.55,1.1592937,"[-0.98, -0.07, 0.62, -0.62, -0.86]",mussel
1,0,-0.61,2.4330256,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
1,1,-0.68,0.86008143,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
1,2,-0.48,1.0310851,"[-0.95, 0.47, 0.62, -0.62, -0.39]",mussel
1,3,-1.0,1.1995126,"[1.0, -1.0, 0.5, -0.5, -0.76]",mussel
1,4,-1.0,0.5621128,"[-1.0, 0.76, 0.69, -0.69, -1.0]",mussel
2,0,0.23,0.1834141,"[-0.81, -0.89, 0.19, -0.06, 0.23]",mussel
2,1,-0.16,2.0308862,"[-0.91, -0.81, 0.0, 0.0, -0.63]",mussel
2,2,-0.68,0.8616686,"[-0.89, -0.88, -0.12, 0.25, -0.82]",mussel
2,3,-1.0,-1.3595464,"[1.0, -1.0, 0.5, -0.5, -0.76]",mussel
2,4,-0.55,0.7101852,"[-0.89, -0.93, -0.06, 0.31, -0.84]",mussel
3,0,-0.61,-1.2327609,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
3,1,-0.55,1.5638028,"[-0.76, -0.89, -1.0, 1.0, -0.41]",mussel
3,2,-0.55,2.4294524,"[-0.89, -0.93, -0.06, 0.31, -0.84]",mussel
3,3,0.35,1.4233727,"[-0.89, -0.87, 1.0, -1.0, -0.72]",mussel
3,4,-0.61,-1.1013741,"[-0.99, -0.42, 0.62, -0.62, -0.97]",mussel
4,0,-0.61,1.9947604,"[-0.95, -0.93, 0.44, -0.44, 0.04]",mussel
4,1,-0.61,2.348199,"[-0.91, -0.9, 0.25, -0.25, -0.78]",mussel
4,2,-0.68,1.3868115,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
4,3,-0.68,1.3743708,"[-0.89, -0.88, -0.12, 0.25, -0.82]",mussel
4,4,-0.48,2.20252,"[-0.93, -0.77, -0.12, 0.12, -0.32]",mussel
5,0,-0.29,-0.4459474,"[-0.81, -0.62, -0.25, 0.25, -0.22]",mussel
5,1,-0.68,1.3497872,"[-0.93, -0.76, 0.62, -0.62, -0.79]",mussel
5,2,-0.68,0.1633057,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
5,3,0.03,-0.5435438,"[-0.95, -0.89, 0.94, -0.94, -0.68]",mussel
5,4,-1.0,-0.8237916,"[-1.0, 0.76, 0.69, -0.69, -1.0]",mussel
6,0,-0.42,1.5836917,"[-0.95, -0.56, -0.38, 0.38, -0.88]",mussel
6,1,-0.48,-0.77896035,"[-0.95, 0.47, 0.62, -0.62, -0.39]",mussel
6,2,-0.68,0.582058,"[-0.89, -0.88, -0.12, 0.25, -0.82]",mussel
6,3,-1.0,0.7580529,"[-1.0, 0.76, 0.69, -0.69, -1.0]",mussel
6,4,-0.61,0.9627921,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
7,0,-0.42,-0.29166043,"[-0.81, -0.94, 1.0, -1.0, -0.93]",mussel
7,1,-0.74,-0.007219553,"[-0.86, -0.98, -0.81, 0.81, -0.9]",mussel
7,2,-0.55,0.935874,"[-0.91, -0.71, -0.12, 0.12, -0.67]",mussel
7,3,-0.61,-0.48527646,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
7,4,-1.0,0.03925824,"[1.0, -1.0, 0.5, -0.5, -0.76]",mussel
8,0,-0.61,2.2051497,"[-0.81, -0.99, -0.94, 0.94, -0.59]",mussel
8,1,-0.23,1.4129931,"[-0.98, -0.48, 0.0, 0.38, 0.02]",mussel
8,2,0.23,0.9568763,"[-0.7, -0.92, 0.31, -0.31, -0.24]",mussel
8,3,-0.55,0.8391933,"[-0.89, -0.93, -0.06, 0.31, -0.84]",mussel
8,4,-0.35,-0.2992518,"[-0.91, -0.7, -0.19, 0.19, -0.31]",mussel
9,0,-0.23,2.6584458,"[-0.98, -0.48, 0.0, 0.38, 0.02]",mussel
9,1,-0.55,2.229379,"[-0.98, -0.07, 0.62, -0.62, -0.86]",mussel
9,2,-0.68,2.3676176,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
9,3,-0.16,1.1723782,"[-0.91, -0.81, 0.0, 0.0, -0.63]",mussel
9,4,-1.0,0.07407838,"[1.0, -1.0, 0.5, -0.5, -0.76]",mussel
10,0,-0.48,0.13872176,"[-0.93, -0.77, -0.12, 0.12, -0.32]",mussel
10,1,-0.42,2.9591923,"[-0.81, -0.94, 1.0, -1.0, -0.93]",mussel
10,2,-0.68,0.06760532,"[-0.89, -0.88, -0.12, 0.25, -0.82]",mussel
10,3,-0.35,1.8727369,"[-0.95, -0.78, -0.06, 0.06, -0.72]",mussel
10,4,-0.48,0.23168987,"[-0.38, -1.0, 0.12, -0.12, -0.87]",mussel
11,0,-0.55,0.542807,"[-0.98, -0.07, 0.62, -0.62, -0.86]",mussel
11,1,-1.0,1.3184806,"[-1.0, 0.76, 0.69, -0.69, -1.0]",mussel
11,2,0.03,2.3193705,"[-0.95, -0.89, 0.94, -0.94, -0.68]",mussel
11,3,-0.55,2.9859033,"[-0.76, -0.89, -1.0, 1.0, -0.41]",mussel
11,4,-0.87,0.7662947,"[0.25, -0.86, 0.56, -0.56, -0.89]",mussel
12,0,1.0,1.2527629,"[-0.91, -0.89, 0.88, -0.88, 0.4]",mussel
12,1,-0.68,-0.8816459,"[-0.93, -0.76, 0.62, -0.62, -0.79]",mussel
12,2,-0.94,2.098919,"[-0.81, 1.0, 0.62, -0.62, -0.99]",mussel
12,3,-0.48,1.0993623,"[-0.38, -1.0, 0.12, -0.12, -0.87]",mussel
12,4,-0.74,3.1903512,"[-0.86, -0.98, -0.81, 0.81, -0.9]",mussel
13,0,0.16,1.0148844,"[-0.89, -0.8, 0.06, -0.06, -0.37]",mussel
13,1,-0.61,2.2687943,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
13,2,-0.35,1.2686131,"[-0.91, -0.89, 0.38, -0.38, -0.71]",mussel
13,3,-0.68,1.2848155,"[-0.93, -0.76, 0.62, -0.62, -0.79]",mussel
13,4,-0.74,1.3400811,"[-0.86, -0.98, -0.81, 0.81, -0.9]",mussel
14,0,-0.61,1.8633846,"[-0.81, -0.99, -0.94, 0.94, -0.59]",mussel
14,1,0.23,-0.5980817,"[-0.81, -0.89, 0.19, -0.06, 0.23]",mussel
14,2,-0.42,0.8644917,"[-0.86, -0.81, -0.44, 0.44, -0.19]",mussel
14,3,-0.55,0.2879495,"[-0.89, -0.93, -0.06, 0.31, -0.84]",mussel
14,4,-0.68,0.72124875,"[-0.89, -0.88, -0.12, 0.25, -0.82]",mussel
15,0,0.16,2.035769,"[-0.91, -0.79, 0.81, -0.81, -0.81]",mussel
15,1,0.23,0.9134527,"[-0.7, -0.92, 0.31, -0.31, -0.24]",mussel
15,2,-0.68,2.5748272,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
15,3,1.0,0.63933027,"[-0.91, -0.89, 0.88, -0.88, 0.4]",mussel
15,4,-0.29,1.2603173,"[-0.81, -0.89, 0.12, -0.12, 0.02]",mussel
16,0,-0.61,2.6794236,"[-0.99, -0.42, 0.62, -0.62, -0.97]",mussel
16,1,0.23,1.3180864,"[-0.7, -0.92, 0.31, -0.31, -0.24]",mussel
16,2,-0.29,0.9443914,"[-0.81, -0.62, -0.25, 0.25, -0.22]",mussel
16,3,-0.74,2.638228,"[-0.91, -0.69, 0.62, -0.62, -0.98]",mussel
16,4,-0.42,1.3335787,"[-0.86, -0.81, -0.44, 0.44, -0.19]",mussel
17,0,-0.29,-0.53108144,"[-0.99, -0.58, 0.75, -0.75, -0.29]",mussel
17,1,-0.29,2.3528128,"[-0.81, -0.89, 0.12, -0.12, 0.02]",mussel
17,2,-0.42,1.9144349,"[-0.81, -0.94, 1.0, -1.0, -0.93]",mussel
17,3,-1.0,1.1572763,"[1.0, -1.0, 0.5, -0.5, -0.76]",mussel
17,4,-0.74,1.9470115,"[-0.86, -0.98, -0.81, 0.81, -0.9]",mussel
18,0,-0.29,0.6317758,"[-0.81, -0.62, -0.25, 0.25, -0.22]",mussel
18,1,-0.94,0.08560586,"[-0.81, 1.0, 0.62, -0.62, -0.99]",mussel
18,2,-0.48,-0.5584303,"[-0.95, 0.47, 0.62, -0.62, -0.39]",mussel
18,3,-0.74,0.6628579,"[-0.91, -0.69, 0.62, -0.62, -0.98]",mussel
18,4,-0.68,2.5926805,"[-0.86, -0.85, -0.88, 0.88, -0.77]",mussel
19,0,0.16,-0.09254384,"[-0.89, -0.8, 0.06, -0.06, -0.37]",mussel
19,1,0.35,2.1017923,"[-0.89, -0.87, 1.0, -1.0, -0.72]",mussel
19,2,-0.16,1.467431,"[-0.91, -0.81, 0.0, 0.0, -0.63]",mussel
19,3,-0.87,0.81244135,"[0.25, -0.86, 0.56, -0.56, -0.89]",mussel
19,4,-0.42,-0.049634814,"[-0.62, -0.8, -0.75, 0.75, -0.66]",mussel
20,0,-0.61,0.32463974,"[0.25, -0.63, -0.56, 0.56, -0.99]",mussel
20,1,-0.74,1.2331263,"[-0.86, -0.98, -0.81, 0.81, -0.9]",mussel
