run,trial,ytrue,ypred,x,name
0,0,-1.0,1.2613076,"[0.18, -0.98, -1.0, -0.78, -0.94]",news
0,1,-1.0,0.2982204,"[-0.97, -0.97, -1.0, -0.88, -0.96]",news
0,2,-1.0,0.6415839,"[-0.97, -0.97, -1.0, -0.83, -0.94]",news
0,3,-1.0,1.460417,"[-0.96, -0.55, -0.99, -0.84, -0.97]",news
0,4,-0.99,1.5248975,"[-0.46, -0.15, -0.99, -0.86, -0.96]",news
1,0,-1.0,1.717272,"[-0.93, -0.45, -1.0, -0.89, -0.97]",news
1,1,-0.99,1.2589984,"[-0.98, -0.98, -0.98, -0.74, -0.85]",news
1,2,-1.0,1.0719296,"[-0.22, -0.99, -0.99, -0.87, -0.97]",news
1,3,-0.99,1.9763869,"[0.35, -0.6, -1.0, -0.87, -0.98]",news
1,4,-1.0,-0.02371335,"[-0.99, -0.73, -0.99, -0.88, -0.98]",news
2,0,-1.0,1.8973608,"[-0.99, -0.1, -1.0, -0.88, -0.98]",news
2,1,-1.0,0.66106,"[-0.98, 0.77, -0.99, -0.9, -0.98]",news
2,2,-1.0,1.1651037,"[-0.99, -0.99, -0.99, -0.88, -0.98]",news
2,3,-1.0,-0.14567816,"[0.47, -0.98, -0.99, -0.83, -0.95]",news
2,4,-0.99,1.125799,"[-0.98, -0.99, -0.99, -0.85, -0.96]",news
3,0,-1.0,3.136418,"[-0.97, 0.41, -1.0, -0.92, -0.98]",news
3,1,-0.97,0.90798175,"[-0.98, 0.19, -1.0, -0.9, -0.98]",news
3,2,-1.0,0.7183088,"[-0.99, -0.08, -1.0, -0.89, -0.98]",news
3,3,-1.0,0.7910732,"[0.16, -0.73, -0.99, -0.88, -0.97]",news
3,4,-1.0,2.311939,"[-0.5, 0.29, -0.99, -0.89, -0.98]",news
4,0,-1.0,2.9597373,"[0.54, -1.0, -1.0, -0.83, -0.96]",news
4,1,-1.0,1.1004119,"[-0.97, 0.39, -1.0, -0.88, -0.98]",news
4,2,-1.0,2.479704,"[-0.98, -0.29, -1.0, -0.89, -0.97]",news
4,3,-1.0,1.22757,"[0.77, -0.98, -1.0, -0.89, -0.98]",news
4,4,-1.0,-1.1609445,"[0.49, -0.99, -0.99, -0.74, -0.94]",news
