run,trial,ytrue,ypred,x,name
0,0,0.5,-0.5730891,"[-0.4, -0.19, -0.11, -0.14, 1.0]",obesity
0,1,-0.33,0.35272628,"[0.57, -0.28, 0.27, -0.66, -1.0]",obesity
0,2,1.0,1.5362833,"[-0.48, 0.77, -0.56, 0.15, 1.0]",obesity
0,3,0.0,1.5680023,"[-0.74, -0.59, -0.86, -0.6, 1.0]",obesity
0,4,-0.83,-0.66145194,"[0.5, 0.12, 0.13, -0.37, -1.0]",obesity
1,0,0.33,0.61739933,"[-0.5, -0.36, -0.04, -0.44, 1.0]",obesity
1,1,-0.33,-0.93721557,"[0.37, -0.77, -0.08, -0.57, -1.0]",obesity
1,2,0.17,1.5019716,"[-0.37, -0.12, -0.39, -0.49, 1.0]",obesity
1,3,-0.83,1.7322687,"[0.96, -0.08, -0.02, -0.31, -1.0]",obesity
1,4,-0.33,0.33770084,"[0.57, -0.28, 0.27, -0.66, -1.0]",obesity
2,0,0.33,2.2792404,"[-0.29, 0.28, -0.25, 0.01, 1.0]",obesity
2,1,0.17,1.9934096,"[-0.55, -0.62, -0.37, -0.48, 1.0]",obesity
2,2,0.0,3.6539874,"[0.02, -0.12, 0.01, -0.52, -1.0]",obesity
2,3,-0.17,0.3432182,"[1.0, -0.29, -0.2, -0.57, -1.0]",obesity
2,4,0.5,1.141344,"[-0.49, -0.36, -0.22, -0.38, 1.0]",obesity
3,0,0.67,1.9939098,"[0.8, 0.55, 0.1, -0.27, -1.0]",obesity
3,1,0.33,-0.5279112,"[-0.38, -0.29, -0.3, -0.42, 1.0]",obesity
3,2,0.5,0.77673185,"[-0.66, 0.22, -0.51, -0.31, 1.0]",obesity
3,3,-0.33,0.69271773,"[0.57, -0.28, 0.27, -0.66, -1.0]",obesity
3,4,0.0,0.73773736,"[-1.0, -0.83, -0.5, -0.65, 1.0]",obesity
4,0,-0.33,0.16756546,"[0.16, -0.45, 0.77, -0.23, -1.0]",obesity
4,1,0.33,0.6447294,"[-0.45, -0.11, -0.67, -0.3, 1.0]",obesity
4,2,0.0,1.4307852,"[-0.66, -0.35, -0.5, -0.52, 1.0]",obesity
4,3,0.0,2.0571418,"[0.91, -0.13, 1.0, -0.55, -1.0]",obesity
4,4,0.17,1.7175775,"[-0.37, -0.12, -0.39, -0.49, 1.0]",obesity
5,0,0.5,1.4491147,"[-0.28, -0.28, -0.59, 0.09, 1.0]",obesity
5,1,0.33,-0.087947726,"[-0.42, -0.39, -0.36, -0.41, 1.0]",obesity
5,2,0.5,-0.12569559,"[-0.22, 0.32, -0.32, 0.08, 1.0]",obesity
5,3,0.83,-1.0449042,"[-0.69, 0.02, -0.3, -0.29, 1.0]",obesity
5,4,0.33,-0.20375407,"[-0.62, -0.66, -0.77, -0.71, 1.0]",obesity
6,0,0.0,1.3286436,"[0.7, 0.42, 0.66, 1.0, -1.0]",obesity
6,1,-0.33,0.47733718,"[0.74, -0.19, -0.24, -0.37, -1.0]",obesity
6,2,0.0,0.6490884,"[0.22, 0.04, 0.01, -0.38, -1.0]",obesity
6,3,-1.0,0.042683184,"[0.87, 0.12, 0.45, -0.33, -1.0]",obesity
6,4,0.17,0.3902064,"[-0.18, -0.11, -0.17, -0.37, 1.0]",obesity
7,0,0.5,1.698751,"[-0.29, 0.19, -0.28, -0.01, 1.0]",obesity
7,1,0.33,1.4624596,"[-0.55, -0.21, -0.86, -0.53, 1.0]",obesity
7,2,-0.83,-0.08691323,"[0.34, -0.86, -0.14, -0.74, -1.0]",obesity
7,3,0.17,1.4377587,"[-0.51, -0.55, -0.55, -0.53, 1.0]",obesity
7,4,-0.33,1.477807,"[-0.46, -0.74, -0.46, -0.83, 1.0]",obesity
8,0,-1.0,0.9534472,"[0.87, 0.12, 0.45, -0.33, -1.0]",obesity
8,1,0.83,0.32357687,"[-0.33, 0.39, -0.44, 0.0, 1.0]",obesity
8,2,0.0,2.1278224,"[-0.64, -0.5, -0.86, -0.72, 1.0]",obesity
8,3,0.0,-0.86015415,"[-0.44, -0.96, -0.49, -0.91, 1.0]",obesity
8,4,-0.33,0.4067992,"[0.27, -0.53, -0.03, -0.55, -1.0]",obesity
9,0,-0.33,1.26899,"[0.37, -0.77, -0.08, -0.57, -1.0]",obesity
9,1,0.33,0.55355245,"[-0.38, -0.29, -0.3, -0.42, 1.0]",obesity
9,2,0.5,2.021122,"[-0.37, 0.83, 0.43, 0.17, 1.0]",obesity
9,3,0.0,1.6679057,"[0.43, -0.06, 0.52, -0.41, -1.0]",obesity
9,4,0.33,0.7225058,"[-0.46, 0.25, -0.17, -0.06, 1.0]",obesity
10,0,0.17,0.04590988,"[-0.37, -0.12, -0.39, -0.49, 1.0]",obesity
10,1,-0.33,0.61280733,"[0.22, -0.23, 0.21, -0.23, -1.0]",obesity
10,2,0.67,0.5156685,"[-0.67, 0.25, -0.23, -0.23, 1.0]",obesity
10,3,-1.0,0.10816175,"[0.68, -0.28, 0.31, -0.32, -1.0]",obesity
10,4,0.33,-0.20706856,"[-0.76, -0.36, -0.35, -0.47, 1.0]",obesity
11,0,0.33,-1.0572159,"[-0.53, -0.08, -0.58, -0.52, 1.0]",obesity
11,1,0.0,0.68106556,"[-0.22, -0.42, -0.59, -0.61, 1.0]",obesity
11,2,0.33,1.351661,"[-0.62, -0.66, -0.77, -0.71, 1.0]",obesity
11,3,0.33,1.7245927,"[-0.31, -0.52, -1.0, -0.66, 1.0]",obesity
11,4,0.5,-0.1686691,"[-0.46, 0.43, -0.2, 0.13, 1.0]",obesity
12,0,0.33,0.8087431,"[-0.28, -0.35, -0.74, -0.29, 1.0]",obesity
12,1,0.0,-1.8569555,"[0.63, -0.08, -0.07, -0.46, -1.0]",obesity
12,2,-0.67,0.6792595,"[0.9, -0.09, 0.58, -0.44, -1.0]",obesity
12,3,-0.17,-0.07508385,"[-0.48, -0.39, 0.15, -0.8, 1.0]",obesity
12,4,0.33,2.1906347,"[-0.55, -0.21, -0.86, -0.53, 1.0]",obesity
13,0,0.67,0.5723264,"[0.5, 0.3, 0.03, 0.04, -1.0]",obesity
13,1,0.0,0.26831615,"[-0.34, -0.19, -0.09, -0.22, 1.0]",obesity
13,2,-0.33,-0.7455057,"[0.37, -0.77, -0.08, -0.57, -1.0]",obesity
13,3,1.0,0.041479707,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity
13,4,0.0,2.5162203,"[-0.44, -0.96, -0.49, -0.91, 1.0]",obesity
14,0,0.5,0.84606886,"[-0.37, 0.83, 0.43, 0.17, 1.0]",obesity
14,1,0.17,1.838016,"[-0.51, -0.22, -0.34, -0.6, 1.0]",obesity
14,2,0.0,1.2975603,"[-1.0, -0.83, -0.5, -0.65, 1.0]",obesity
14,3,1.0,2.744679,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity
14,4,-0.67,1.9988344,"[0.72, -0.02, 0.4, -0.13, -1.0]",obesity
15,0,0.0,0.36275947,"[-0.41, -0.63, -0.17, -0.42, 1.0]",obesity
15,1,-0.67,0.6542869,"[-0.09, -0.67, -0.35, -0.6, -1.0]",obesity
15,2,0.0,0.6875845,"[-0.62, -0.69, -0.96, -0.42, 1.0]",obesity
15,3,-0.33,1.1026763,"[0.34, -0.38, -0.16, -0.74, -1.0]",obesity
15,4,-0.67,0.7976384,"[0.75, -0.08, 0.13, -0.41, -1.0]",obesity
16,0,0.67,2.3948388,"[0.52, -0.02, 0.45, -0.48, -1.0]",obesity
16,1,0.0,0.020629525,"[0.02, -0.12, 0.01, -0.52, -1.0]",obesity
16,2,0.0,2.2025304,"[0.62, -0.05, 0.28, -0.33, -1.0]",obesity
16,3,0.0,1.6352398,"[-0.44, -0.96, -0.49, -0.91, 1.0]",obesity
16,4,0.0,1.3300438,"[-0.56, -0.46, -0.4, -0.45, 1.0]",obesity
17,0,-0.33,1.3262777,"[0.74, -0.19, -0.24, -0.37, -1.0]",obesity
17,1,0.33,-0.111472726,"[-0.79, -0.63, -0.51, -0.45, 1.0]",obesity
17,2,-1.0,-0.62709165,"[0.64, -0.4, 0.55, -0.34, -1.0]",obesity
17,3,0.33,1.0565856,"[-0.42, -0.39, -0.36, -0.41, 1.0]",obesity
17,4,1.0,1.1121838,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity
18,0,-0.33,1.5566452,"[-0.46, -0.74, -0.46, -0.83, 1.0]",obesity
18,1,1.0,0.35939288,"[-0.48, 0.77, -0.56, 0.15, 1.0]",obesity
18,2,0.67,1.4371216,"[-0.18, 0.29, -0.09, -0.49, -1.0]",obesity
18,3,0.5,1.2809172,"[-0.41, 0.06, -0.02, 0.05, 1.0]",obesity
18,4,-0.83,1.6488861,"[0.96, -0.08, -0.02, -0.31, -1.0]",obesity
19,0,0.33,3.0886736,"[-0.55, -0.12, -0.53, -0.39, 1.0]",obesity
19,1,-0.67,2.2066731,"[0.55, -0.01, 0.21, -0.31, -1.0]",obesity
19,2,0.33,3.20517,"[-0.42, -0.39, -0.36, -0.41, 1.0]",obesity
19,3,-0.33,1.0125309,"[0.37, -0.77, -0.08, -0.57, -1.0]",obesity
19,4,-0.83,0.5375085,"[0.97, -0.09, 0.89, -0.19, -1.0]",obesity
20,0,-0.83,1.1773466,"[0.73, -0.15, 0.1, -0.28, -1.0]",obesity
20,1,0.33,-0.62917495,"[-0.31, -0.52, -1.0, -0.66, 1.0]",obesity
20,2,-0.17,2.8220515,"[1.0, -0.29, -0.2, -0.57, -1.0]",obesity
20,3,-0.33,1.5226054,"[0.27, -0.53, -0.03, -0.55, -1.0]",obesity
20,4,-0.5,0.96970177,"[0.7, 0.11, 0.18, -0.28, -1.0]",obesity
21,0,-0.67,1.4822648,"[0.55, -0.01, 0.21, -0.31, -1.0]",obesity
21,1,0.0,1.3042665,"[-0.34, -0.19, -0.09, -0.22, 1.0]",obesity
21,2,0.67,0.0013642907,"[0.46, 0.28, 0.31, -0.1, -1.0]",obesity
21,3,0.83,0.22371876,"[-0.69, 0.02, -0.3, -0.29, 1.0]",obesity
21,4,0.0,0.68144476,"[0.63, -0.08, -0.07, -0.46, -1.0]",obesity
22,0,0.0,1.3142595,"[0.7, 0.42, 0.66, 1.0, -1.0]",obesity
22,1,0.0,1.21061,"[-0.66, 0.09, -0.55, -0.56, 1.0]",obesity
22,2,-1.0,0.58584476,"[0.68, -0.28, 0.31, -0.32, -1.0]",obesity
22,3,0.17,-0.0813781,"[-0.49, 0.16, -0.18, -0.12, 1.0]",obesity
22,4,-0.67,1.5586312,"[0.56, 0.04, 0.21, -0.31, -1.0]",obesity
23,0,0.33,1.8719044,"[-0.31, -0.52, -1.0, -0.66, 1.0]",obesity
23,1,-0.67,1.7707797,"[0.75, -0.08, 0.13, -0.41, -1.0]",obesity
23,2,0.5,0.5457415,"[-0.29, 0.19, -0.28, -0.01, 1.0]",obesity
23,3,0.0,1.3343637,"[-0.21, -0.4, 0.33, -0.58, 1.0]",obesity
23,4,-0.33,0.6821166,"[0.64, 0.3, 0.2, -0.05, -1.0]",obesity
24,0,-0.67,0.3488428,"[0.29, -0.25, -0.24, -0.49, -1.0]",obesity
24,1,0.0,2.089685,"[0.41, -0.09, -0.08, -0.49, -1.0]",obesity
24,2,-0.67,0.2301026,"[0.56, 0.04, 0.21, -0.31, -1.0]",obesity
24,3,-0.33,1.98965,"[0.26, -0.53, -0.2, -0.59, -1.0]",obesity
24,4,-0.67,1.2681968,"[-0.09, -0.67, -0.35, -0.6, -1.0]",obesity
25,0,-0.33,-0.067702055,"[0.81, -0.06, 0.04, -0.49, -1.0]",obesity
25,1,0.33,1.3236725,"[-0.01, -0.18, 0.08, -0.3, 1.0]",obesity
25,2,-0.67,2.1009521,"[0.29, -0.25, -0.24, -0.49, -1.0]",obesity
25,3,0.0,0.057165504,"[-0.66, -0.35, -0.5, -0.52, 1.0]",obesity
25,4,0.5,0.91865915,"[-0.4, -0.19, -0.11, -0.14, 1.0]",obesity
26,0,-0.33,1.2176558,"[0.37, -0.77, -0.08, -0.57, -1.0]",obesity
26,1,-0.83,0.9168392,"[0.73, -0.15, 0.1, -0.28, -1.0]",obesity
26,2,0.33,0.9544819,"[-0.62, -0.66, -0.77, -0.71, 1.0]",obesity
26,3,0.33,1.1665597,"[-0.79, -0.63, -0.51, -0.45, 1.0]",obesity
26,4,-0.83,1.7033774,"[0.34, -0.86, -0.14, -0.74, -1.0]",obesity
27,0,1.0,-0.1421336,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity
27,1,-0.67,1.6422184,"[0.92, -0.02, 0.32, -0.55, -1.0]",obesity
27,2,-0.5,0.066995025,"[0.39, -0.04, 0.16, -0.24, -1.0]",obesity
27,3,-0.33,0.3081789,"[0.57, -0.28, 0.27, -0.66, -1.0]",obesity
27,4,0.67,1.9064702,"[-0.67, 0.25, -0.23, -0.23, 1.0]",obesity
28,0,0.33,1.838788,"[-0.46, 0.25, -0.17, -0.06, 1.0]",obesity
28,1,0.5,0.22079968,"[-0.29, 0.19, -0.28, -0.01, 1.0]",obesity
28,2,0.5,1.8774676,"[-0.41, 0.06, -0.02, 0.05, 1.0]",obesity
28,3,-0.67,2.4003804,"[0.29, -0.25, -0.24, -0.49, -1.0]",obesity
28,4,1.0,0.7355782,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity
29,0,0.5,0.889737,"[-0.4, -0.19, -0.11, -0.14, 1.0]",obesity
29,1,0.0,0.00893867,"[0.02, -0.12, 0.01, -0.52, -1.0]",obesity
