run,trial,ytrue,ypred,x,name
0,0,-0.0,0.04551214,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
0,1,0.76,-1.8690035,"[0.23, 0.8, 0.4, 0.41, 0.6]",pinot
0,2,0.05,0.017907083,"[-0.74, -0.37, 0.05, -0.91, 0.2]",pinot
0,3,-0.22,2.5956101,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
0,4,-0.61,0.036221206,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
1,0,-0.17,0.688594,"[-0.87, -0.32, -0.25, -0.41, 1.0]",pinot
1,1,0.37,-1.2812476,"[0.23, 0.27, 0.55, -0.23, 0.2]",pinot
1,2,1.0,0.7115619,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
1,3,0.85,0.37996948,"[-0.23, 0.41, -0.1, 0.73, 1.0]",pinot
1,4,-0.02,3.272649,"[0.42, 0.02, 0.15, -0.18, 1.0]",pinot
2,0,0.85,0.77078927,"[-0.03, 0.32, 0.5, 0.0, 0.6]",pinot
2,1,0.59,1.841464,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
2,2,0.39,1.4122063,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
2,3,-0.61,1.189976,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
2,4,-0.02,2.4197397,"[0.42, 0.02, 0.15, -0.18, 1.0]",pinot
3,0,0.44,-0.2032795,"[0.1, -0.07, 0.4, 0.36, 1.0]",pinot
3,1,-0.29,1.0215342,"[-0.48, 0.02, -0.25, -0.36, -0.2]",pinot
3,2,-0.22,1.4782782,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
3,3,-0.61,-0.4483806,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
3,4,0.15,1.7270991,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
4,0,0.15,0.68721414,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
4,1,0.85,0.64908075,"[-0.03, 0.32, 0.5, 0.0, 0.6]",pinot
4,2,-0.29,-0.7217736,"[-0.48, 0.02, -0.25, -0.36, -0.2]",pinot
4,3,-0.54,0.28105956,"[-0.23, -0.9, -0.9, -1.0, 1.0]",pinot
4,4,1.0,-0.27875543,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
5,0,0.71,1.5904195,"[0.48, 0.51, 0.2, 0.59, 1.0]",pinot
5,1,-0.22,2.0111797,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
5,2,0.46,0.48075706,"[-0.35, -0.12, -0.35, -0.55, 1.0]",pinot
5,3,0.85,1.2213545,"[-0.23, 0.41, -0.1, 0.73, 1.0]",pinot
5,4,-0.29,0.06247598,"[-0.03, 0.02, -0.1, -0.73, 1.0]",pinot
6,0,-0.61,1.3431492,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
6,1,0.15,2.538031,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
6,2,-0.32,0.04597187,"[1.0, 0.02, -0.15, -0.14, 1.0]",pinot
6,3,-0.02,2.1089683,"[0.42, 0.02, 0.15, -0.18, 1.0]",pinot
6,4,-0.22,2.5521593,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
7,0,-1.0,0.16945368,"[-0.68, -0.76, 0.2, -0.95, 0.6]",pinot
7,1,-0.0,1.1895022,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
7,2,0.85,2.0413136,"[-0.23, 0.41, -0.1, 0.73, 1.0]",pinot
7,3,-0.1,1.3084394,"[0.29, -0.12, 0.0, -0.55, 1.0]",pinot
7,4,-0.61,1.6027482,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
8,0,-0.61,0.56741583,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
8,1,-0.17,0.19738317,"[-0.87, -0.32, -0.25, -0.41, 1.0]",pinot
8,2,0.15,1.0859078,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
8,3,0.59,0.31788713,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
8,4,0.76,0.596368,"[0.23, 0.8, 0.4, 0.41, 0.6]",pinot
9,0,-0.71,1.7752662,"[0.16, -0.95, -0.4, -0.59, 0.2]",pinot
9,1,-1.0,-0.76674247,"[-0.68, -0.76, 0.2, -0.95, 0.6]",pinot
9,2,-0.02,0.90655774,"[0.16, -0.07, 0.35, -0.73, 1.0]",pinot
9,3,0.44,0.6151135,"[0.1, -0.07, 0.4, 0.36, 1.0]",pinot
9,4,-0.22,0.9877455,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
10,0,0.39,2.4635158,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
10,1,0.37,1.9541035,"[-0.42, 0.17, 0.35, 0.0, 1.0]",pinot
10,2,-0.02,1.5797112,"[0.16, -0.07, 0.35, -0.73, 1.0]",pinot
10,3,0.17,0.18244308,"[0.16, 0.37, 0.4, 0.23, 1.0]",pinot
10,4,-0.71,0.6714822,"[0.16, -0.95, -0.4, -0.59, 0.2]",pinot
11,0,0.17,1.2838778,"[0.16, 0.37, 0.4, 0.23, 1.0]",pinot
11,1,0.02,2.2960315,"[0.03, -0.32, -0.55, -1.0, 1.0]",pinot
11,2,0.59,1.4403939,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
11,3,-0.1,0.9780025,"[0.29, -0.12, 0.0, -0.55, 1.0]",pinot
11,4,1.0,0.01071322,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
12,0,-0.02,1.4028076,"[0.16, -0.07, 0.35, -0.73, 1.0]",pinot
12,1,0.39,1.1137228,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
12,2,0.85,1.1517507,"[-0.23, 0.41, -0.1, 0.73, 1.0]",pinot
12,3,0.07,0.28683186,"[-0.55, -0.32, 0.4, -1.0, -1.0]",pinot
12,4,-0.22,0.96785027,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
13,0,-0.61,-1.1648233,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
13,1,0.59,3.5930374,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
13,2,-0.02,0.68123937,"[0.42, 0.02, 0.15, -0.18, 1.0]",pinot
13,3,-0.0,2.931653,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
13,4,0.37,1.4618154,"[-0.42, 0.17, 0.35, 0.0, 1.0]",pinot
14,0,-0.17,0.14633292,"[-0.87, -0.32, -0.25, -0.41, 1.0]",pinot
14,1,0.15,1.7383789,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
14,2,0.2,0.41037744,"[-0.74, -0.07, 0.1, -0.32, 1.0]",pinot
14,3,0.07,1.5988609,"[-0.55, -0.32, 0.4, -1.0, -1.0]",pinot
14,4,-0.29,-0.6796386,"[-0.03, 0.02, -0.1, -0.73, 1.0]",pinot
15,0,0.2,1.3943186,"[-0.74, -0.07, 0.1, -0.32, 1.0]",pinot
15,1,-0.54,1.0933261,"[-0.23, -0.9, -0.9, -1.0, 1.0]",pinot
15,2,0.15,0.28439313,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
15,3,0.71,-1.7540948,"[0.48, 0.51, 0.2, 0.59, 1.0]",pinot
15,4,0.39,-0.78232336,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
16,0,-0.29,0.8284532,"[-0.48, 0.02, -0.25, -0.36, -0.2]",pinot
16,1,-0.61,1.8659747,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
16,2,0.2,1.9621232,"[-0.23, 0.02, 0.05, -0.41, 1.0]",pinot
16,3,-0.22,1.9655597,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
16,4,1.0,-0.28861272,"[-0.48, 0.85, 1.0, 1.0, -0.2]",pinot
17,0,0.15,2.1918416,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
17,1,0.59,2.6657605,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
17,2,0.2,1.4765913,"[-0.74, -0.07, 0.1, -0.32, 1.0]",pinot
17,3,-0.22,0.930182,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
17,4,0.39,1.8295496,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
18,0,-0.54,1.2809453,"[-0.23, -0.9, -0.9, -1.0, 1.0]",pinot
18,1,-0.17,-0.885816,"[-0.87, -0.32, -0.25, -0.41, 1.0]",pinot
18,2,-0.61,0.813707,"[-0.29, -0.41, -0.3, -0.64, -0.2]",pinot
18,3,-0.0,-0.6534327,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
18,4,1.0,1.067055,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
19,0,-0.54,1.0431688,"[-0.23, -0.9, -0.9, -1.0, 1.0]",pinot
19,1,0.85,1.4308425,"[-0.03, 0.32, 0.5, 0.0, 0.6]",pinot
19,2,0.32,1.295742,"[0.42, 0.27, 0.25, 0.05, 1.0]",pinot
19,3,0.39,1.49739,"[-1.0, -0.51, -0.15, -0.55, 1.0]",pinot
19,4,0.76,1.6610918,"[0.23, 0.8, 0.4, 0.41, 0.6]",pinot
20,0,-0.32,1.2607708,"[1.0, 0.02, -0.15, -0.14, 1.0]",pinot
20,1,1.0,2.6711032,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
20,2,0.44,1.4557517,"[0.1, -0.07, 0.4, 0.36, 1.0]",pinot
20,3,-0.0,2.3922057,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
20,4,0.46,0.6076529,"[-0.35, -0.12, -0.35, -0.55, 1.0]",pinot
21,0,-0.17,0.39479303,"[-0.87, -0.32, -0.25, -0.41, 1.0]",pinot
21,1,-0.29,0.11584258,"[-0.48, 0.02, -0.25, -0.36, -0.2]",pinot
21,2,1.0,0.87228006,"[-0.23, 1.0, 0.55, 0.18, 0.2]",pinot
21,3,0.15,0.44698972,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
21,4,-0.22,1.846933,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
22,0,0.07,0.5822864,"[-0.55, -0.32, 0.4, -1.0, -1.0]",pinot
22,1,-0.54,0.74097717,"[-0.23, -0.9, -0.9, -1.0, 1.0]",pinot
22,2,-0.29,-0.44773817,"[-0.48, 0.02, -0.25, -0.36, -0.2]",pinot
22,3,0.32,0.9944859,"[0.42, 0.27, 0.25, 0.05, 1.0]",pinot
22,4,0.46,0.25691378,"[-0.35, -0.12, -0.35, -0.55, 1.0]",pinot
23,0,-0.0,0.9966478,"[0.48, -0.32, -0.05, -0.09, 1.0]",pinot
23,1,0.76,1.5952151,"[0.23, 0.8, 0.4, 0.41, 0.6]",pinot
23,2,0.2,0.9477639,"[-0.74, -0.07, 0.1, -0.32, 1.0]",pinot
23,3,-0.1,1.4482297,"[0.29, -0.12, 0.0, -0.55, 1.0]",pinot
23,4,0.32,1.3858032,"[0.42, 0.27, 0.25, 0.05, 1.0]",pinot
24,0,-0.32,-0.6891271,"[1.0, 0.02, -0.15, -0.14, 1.0]",pinot
24,1,0.07,0.8275251,"[-0.55, -0.32, 0.4, -1.0, -1.0]",pinot
24,2,-0.22,-0.5266197,"[-0.55, -0.9, -1.0, -0.73, 1.0]",pinot
24,3,-0.71,2.2923152,"[0.16, -0.95, -0.4, -0.59, 0.2]",pinot
24,4,0.44,0.2942382,"[-0.23, 0.27, 0.45, -0.23, 1.0]",pinot
25,0,-0.07,0.24236363,"[0.42, 0.07, -0.3, -0.73, 1.0]",pinot
25,1,0.32,1.6710479,"[0.42, 0.27, 0.25, 0.05, 1.0]",pinot
25,2,1.0,0.7541612,"[-0.48, 0.85, 1.0, 1.0, -0.2]",pinot
25,3,0.37,0.59233904,"[0.23, 0.27, 0.55, -0.23, 0.2]",pinot
25,4,0.17,1.6849158,"[0.16, 0.37, 0.4, 0.23, 1.0]",pinot
26,0,-0.29,0.9096097,"[-0.03, 0.02, -0.1, -0.73, 1.0]",pinot
26,1,0.71,1.4790773,"[0.48, 0.51, 0.2, 0.59, 1.0]",pinot
26,2,0.76,1.735516,"[0.23, 0.8, 0.4, 0.41, 0.6]",pinot
26,3,-0.02,1.2075332,"[0.16, -0.07, 0.35, -0.73, 1.0]",pinot
26,4,0.15,1.6293126,"[-0.35, -0.71, 0.15, -0.5, 1.0]",pinot
27,0,-0.29,0.25482452,"[-0.03, 0.02, -0.1, -0.73, 1.0]",pinot
27,1,0.2,1.186196,"[-0.23, 0.02, 0.05, -0.41, 1.0]",pinot
27,2,-0.1,1.2032628,"[0.29, -0.12, 0.0, -0.55, 1.0]",pinot
27,3,0.44,-1.0988245,"[-0.23, 0.27, 0.45, -0.23, 1.0]",pinot
27,4,0.44,-2.4711595,"[0.1, -0.07, 0.4, 0.36, 1.0]",pinot
28,0,0.02,0.41302997,"[0.03, -0.32, -0.55, -1.0, 1.0]",pinot
28,1,0.59,1.1229206,"[-0.55, -0.22, -0.15, -0.18, 1.0]",pinot
