run,trial,ytrue,ypred,x,name
0,0,0.33,1.5801563,"[0.48, -0.83, -0.48, -0.89, -0.55]",whitewine
0,1,-0.33,0.2224564,"[-0.52, -0.66, -0.47, -0.82, -0.75]",whitewine
0,2,-0.33,1.9404683,"[-0.52, -0.61, -0.07, -0.72, -0.29]",whitewine
0,3,-0.33,1.9800853,"[-0.48, -0.51, -0.5, -0.72, -0.61]",whitewine
0,4,0.0,0.45089018,"[0.1, -0.88, -0.57, -0.83, -0.67]",whitewine
1,0,0.0,2.3785357,"[-0.03, -0.83, -0.5, -0.8, -0.75]",whitewine
1,1,0.0,0.20854455,"[-0.42, -0.56, -0.2, -0.7, -0.67]",whitewine
1,2,0.0,1.7798324,"[-0.32, -0.59, -0.39, -0.67, -0.67]",whitewine
1,3,0.33,3.7078114,"[-0.19, -0.7, -0.44, -0.83, -0.76]",whitewine
1,4,0.0,0.06973082,"[-0.13, -0.77, -0.53, -0.7, -0.75]",whitewine
2,0,0.67,-0.46135843,"[-0.13, -0.79, -0.44, -0.8, -0.61]",whitewine
2,1,0.0,1.8776805,"[-0.29, -0.8, -0.33, -0.8, -0.71]",whitewine
2,2,0.0,3.170326,"[-0.42, -0.78, -0.58, -0.81, -0.75]",whitewine
2,3,-0.67,0.89667,"[-0.19, -0.71, -0.54, -0.77, -0.82]",whitewine
2,4,-0.33,1.2414783,"[-0.61, -0.68, -0.21, -0.77, -0.61]",whitewine
3,0,-0.33,1.7715219,"[-0.42, -0.74, -0.4, -0.65, -0.57]",whitewine
3,1,0.0,1.5808613,"[-0.35, -0.56, -0.44, -0.76, -0.76]",whitewine
3,2,0.0,1.4074928,"[0.16, -0.79, -0.26, -0.7, -0.49]",whitewine
3,3,0.33,0.015474737,"[0.23, -0.86, -0.49, -0.83, -0.71]",whitewine
3,4,0.0,-1.2067263,"[-0.74, -0.46, -0.25, -0.79, -0.63]",whitewine
4,0,-0.33,-0.49463654,"[-0.55, -0.57, -0.3, -0.78, -0.47]",whitewine
4,1,0.0,2.0756655,"[-0.68, -0.57, -0.49, -0.75, -0.71]",whitewine
4,2,0.0,1.7271714,"[-0.06, -0.8, -0.19, -0.78, -0.57]",whitewine
4,3,-0.33,1.1011748,"[0.13, -0.87, -0.48, -0.83, -0.69]",whitewine
4,4,0.0,0.14668876,"[-0.35, -0.65, 0.07, -0.75, -0.82]",whitewine
5,0,-0.33,-0.19204724,"[-0.68, -0.54, -0.23, -0.75, -0.61]",whitewine
5,1,0.0,0.39487886,"[-0.35, -0.67, -0.1, -0.83, -0.65]",whitewine
5,2,-0.33,1.8923209,"[0.13, -0.84, -0.5, -0.76, -0.29]",whitewine
5,3,-0.67,1.3138701,"[-0.61, -0.59, -0.14, -0.49, -0.41]",whitewine
5,4,0.0,0.50072825,"[-0.35, -0.6, -0.6, -0.76, -0.86]",whitewine
6,0,0.0,0.6479999,"[-0.23, -0.67, -0.33, -0.83, -0.53]",whitewine
6,1,0.33,0.86800796,"[-0.68, -0.58, -0.25, -0.69, -0.8]",whitewine
6,2,0.0,-1.3184018,"[-0.19, -0.79, -0.29, -0.77, -0.67]",whitewine
6,3,0.0,1.1667259,"[0.74, -0.9, -0.43, -0.84, -0.31]",whitewine
6,4,0.0,-0.0911845,"[0.1, -0.85, -0.45, -0.74, -0.73]",whitewine
7,0,-0.33,-0.12342286,"[-0.48, -0.51, -0.5, -0.72, -0.61]",whitewine
7,1,0.0,0.15646005,"[-0.58, -0.78, -0.34, -0.77, -0.68]",whitewine
7,2,0.0,-0.54731226,"[-0.65, -0.58, -0.19, -0.74, -0.67]",whitewine
7,3,0.0,0.8012718,"[-0.13, -0.71, -0.42, -0.78, -0.49]",whitewine
