run,trial,ytrue,ypred,x,name
0,0,-0.5,0.87,"[-0.72, -0.65, -0.79, 0.01, 0.05]",abalone
0,1,-0.21,-0.5,"[-0.67, -0.62, -0.77, 0.09, 0.12]",abalone
0,2,-0.64,-0.92,"[-0.87, -0.86, -0.85, -0.28, -0.22]",abalone
0,3,-0.57,0.03,"[-0.62, -0.41, -0.73, 0.28, 0.36]",abalone
0,4,-0.43,-0.54,"[-0.57, -0.42, -0.75, 0.21, 0.27]",abalone
1,0,-0.5,0.1,"[-0.52, -0.47, -0.75, 0.33, 0.28]",abalone
1,1,-0.21,-0.5,"[-0.4, -0.12, -0.71, 0.43, 0.45]",abalone
1,2,-0.36,-0.11,"[-0.23, -0.14, -0.65, 0.48, 0.46]",abalone
1,3,-0.29,-0.8,"[-0.83, -0.84, -0.82, -0.24, -0.24]",abalone
1,4,-0.43,-0.51,"[-0.73, -0.71, -0.79, -0.03, 0.01]",abalone
2,0,-0.14,0.1,"[-0.24, -0.14, -0.71, 0.33, 0.43]",abalone
2,1,-0.29,0.17,"[-0.21, 0.17, -0.69, 0.7, 0.69]",abalone
2,2,-0.5,-0.65,"[-0.65, -0.6, -0.78, 0.16, 0.22]",abalone
2,3,0.14,-0.31,"[-0.29, 0.02, -0.65, 0.68, 0.59]",abalone
2,4,-0.14,-0.54,"[-0.61, -0.59, -0.77, 0.08, 0.07]",abalone
3,0,-0.64,0.0,"[-0.93, -0.92, -0.87, -0.5, -0.46]",abalone
3,1,-0.64,-0.47,"[-0.84, -0.82, -0.83, -0.26, -0.2]",abalone
3,2,-0.29,0.64,"[-0.2, 0.09, -0.69, 0.58, 0.55]",abalone
3,3,-0.43,-0.64,"[-0.63, -0.5, -0.77, 0.26, 0.23]",abalone
3,4,-0.64,-0.64,"[-0.88, -0.84, -0.83, -0.28, -0.2]",abalone
4,0,-0.21,0.5,"[-0.43, -0.26, -0.73, 0.43, 0.5]",abalone
4,1,-0.79,-0.99,"[-0.99, -0.98, -0.93, -0.75, -0.84]",abalone
4,2,-0.43,-0.21,"[-0.52, -0.49, -0.72, 0.26, 0.23]",abalone
4,3,0.14,0.14,"[-0.11, 0.19, -0.65, 0.56, 0.58]",abalone
4,4,-0.86,-0.76,"[-0.97, -0.95, -0.88, -0.6, -0.55]",abalone
5,0,-0.36,0.5,"[-0.44, -0.25, -0.74, 0.41, 0.5]",abalone
5,1,-0.43,-0.53,"[-0.65, -0.51, -0.76, 0.16, 0.19]",abalone
5,2,-0.43,-0.45,"[-0.65, -0.56, -0.81, 0.18, 0.16]",abalone
5,3,-0.29,-0.42,"[-0.64, -0.57, -0.68, 0.18, 0.16]",abalone
5,4,0.0,0.36,"[0.19, 0.19, -0.68, 0.66, 0.62]",abalone
6,0,-0.5,0.8,"[-0.79, -0.7, -0.8, -0.03, -0.04]",abalone
6,1,-0.21,0.1,"[-0.37, -0.35, -0.72, 0.29, 0.32]",abalone
6,2,-0.5,-0.4,"[-0.7, -0.62, -0.79, 0.06, 0.09]",abalone
6,3,-0.43,-0.21,"[-0.33, -0.14, -0.73, 0.48, 0.54]",abalone
6,4,-0.36,-0.5,"[-0.5, -0.44, -0.74, 0.23, 0.24]",abalone
7,0,-0.36,0.0,"[-0.21, 0.19, -0.67, 0.66, 0.68]",abalone
7,1,-0.36,-0.36,"[-0.57, -0.41, -0.75, 0.33, 0.41]",abalone
7,2,-0.29,-0.36,"[-0.12, 0.12, -0.68, 0.7, 0.74]",abalone
7,3,-0.57,-0.36,"[-0.78, -0.7, -0.8, -0.06, -0.01]",abalone
7,4,-0.5,-0.57,"[-0.89, -0.87, -0.83, -0.34, -0.3]",abalone
8,0,-0.36,0.8,"[-0.03, 0.25, -0.67, 0.73, 0.7]",abalone
8,1,-0.79,-0.84,"[-0.99, -0.97, -0.93, -0.68, -0.66]",abalone
8,2,-0.36,-0.21,"[-0.43, -0.13, -0.73, 0.16, 0.24]",abalone
8,3,-0.43,-0.62,"[-0.74, -0.65, -0.8, 0.04, 0.08]",abalone
8,4,-0.36,-0.09,"[-0.18, 0.07, -0.66, 0.5, 0.61]",abalone
9,0,-0.36,0.87,"[-0.61, -0.42, -0.75, 0.16, 0.18]",abalone
9,1,-0.36,-0.31,"[-0.37, -0.29, -0.77, 0.28, 0.35]",abalone
9,2,0.29,-0.36,"[-0.68, -0.71, -0.79, 0.01, 0.01]",abalone
9,3,0.29,-0.36,"[-0.32, -0.06, -0.65, 0.34, 0.41]",abalone
9,4,-0.57,-0.36,"[-0.93, -0.93, -0.88, -0.43, -0.43]",abalone
10,0,-0.57,0.5,"[-0.83, -0.79, -0.81, -0.29, -0.26]",abalone
10,1,-0.43,-0.61,"[-0.89, -0.87, -0.85, -0.33, -0.3]",abalone
10,2,-0.43,0.13,"[-0.65, -0.51, -0.77, 0.19, 0.22]",abalone
10,3,-0.71,-0.6,"[-0.93, -0.92, -0.88, -0.45, -0.39]",abalone
10,4,-0.64,-0.57,"[-0.79, -0.76, -0.82, -0.09, -0.03]",abalone
11,0,-0.29,0.09,"[-0.15, 0.09, -0.73, 0.53, 0.54]",abalone
11,1,-0.21,-0.76,"[-0.69, -0.63, -0.81, 0.08, 0.09]",abalone
11,2,0.5,-0.14,"[-0.46, -0.39, -0.7, 0.33, 0.38]",abalone
11,3,-0.43,-0.21,"[-0.68, -0.52, -0.76, 0.09, 0.16]",abalone
11,4,-0.43,-0.31,"[-0.73, -0.5, -0.79, 0.21, 0.23]",abalone
12,0,-0.07,0.5,"[-0.42, -0.34, -0.68, 0.43, 0.34]",abalone
12,1,0.07,-0.02,"[-0.16, -0.09, -0.67, 0.33, 0.39]",abalone
12,2,0.0,0.02,"[-0.38, -0.22, -0.69, 0.39, 0.42]",abalone
12,3,-0.57,-0.02,"[-0.83, -0.81, -0.82, -0.16, -0.11]",abalone
12,4,-0.21,0.21,"[-0.27, -0.07, -0.66, 0.56, 0.54]",abalone
13,0,-0.57,0.0,"[-0.88, -0.85, -0.85, -0.26, -0.19]",abalone
13,1,-0.5,0.0,"[-0.63, -0.5, -0.73, 0.18, 0.18]",abalone
13,2,-0.43,-0.5,"[-0.41, -0.25, -0.73, 0.06, 0.15]",abalone
13,3,-0.29,-0.62,"[-0.69, -0.66, -0.73, 0.01, 0.0]",abalone
13,4,-0.43,-0.53,"[-0.8, -0.75, -0.83, -0.16, -0.11]",abalone
14,0,-0.29,0.8,"[0.05, 0.26, -0.65, 0.71, 0.74]",abalone
14,1,-0.5,-0.31,"[-0.32, -0.02, -0.71, 0.55, 0.59]",abalone
14,2,-0.43,-0.83,"[-0.83, -0.83, -0.83, -0.18, -0.16]",abalone
14,3,-0.43,-0.47,"[-0.54, -0.36, -0.74, 0.26, 0.31]",abalone
14,4,-0.71,-0.47,"[-0.94, -0.91, -0.88, -0.45, -0.39]",abalone
15,0,-0.43,0.8,"[-0.4, -0.14, -0.7, 0.66, 0.7]",abalone
15,1,-0.36,-0.4,"[-0.39, -0.2, -0.7, 0.41, 0.42]",abalone
15,2,-0.64,-0.79,"[-0.88, -0.84, -0.75, -0.26, -0.2]",abalone
15,3,-0.36,-0.47,"[-0.53, -0.44, -0.73, 0.21, 0.28]",abalone
15,4,0.14,-0.21,"[-0.18, -0.05, -0.69, 0.63, 0.59]",abalone
16,0,-0.29,0.5,"[-0.4, -0.2, -0.68, 0.39, 0.49]",abalone
16,1,-0.64,-0.79,"[-0.92, -0.9, -0.85, -0.43, -0.34]",abalone
16,2,-0.14,-0.47,"[-0.58, -0.62, -0.8, 0.16, 0.08]",abalone
16,3,-0.21,-0.21,"[-0.26, -0.22, -0.69, 0.5, 0.43]",abalone
16,4,-0.71,-0.79,"[-0.97, -0.96, -0.91, -0.61, -0.55]",abalone
17,0,-0.21,0.02,"[-0.61, -0.51, -0.73, 0.21, 0.38]",abalone
17,1,-0.57,-0.93,"[-0.93, -0.91, -0.87, -0.46, -0.36]",abalone
17,2,-0.5,-0.03,"[-0.52, -0.39, -0.65, 0.33, 0.47]",abalone
17,3,-0.29,-0.14,"[-0.32, -0.02, -0.67, 0.48, 0.49]",abalone
17,4,-0.57,-0.75,"[-0.8, -0.82, -0.86, -0.19, -0.22]",abalone
18,0,-0.43,0.14,"[-0.38, -0.12, -0.72, 0.53, 0.54]",abalone
18,1,-0.43,-0.42,"[-0.3, -0.03, -0.64, 0.51, 0.61]",abalone
18,2,-0.64,-0.43,"[-0.69, -0.56, -0.8, 0.08, 0.14]",abalone
18,3,-0.29,-0.64,"[-0.47, -0.46, -0.78, 0.23, 0.24]",abalone
18,4,0.36,-0.14,"[-0.12, -0.11, -0.67, 0.58, 0.57]",abalone
19,0,-0.29,0.0,"[-0.65, -0.58, -0.73, 0.08, 0.14]",abalone
19,1,-0.43,0.53,"[-0.0, 0.47, -0.65, 0.66, 0.74]",abalone
19,2,-0.5,-0.31,"[-0.52, -0.16, -0.7, 0.34, 0.42]",abalone
19,3,-0.36,-0.31,"[-0.17, 0.03, -0.67, 0.51, 0.54]",abalone
19,4,-0.43,-0.71,"[-0.9, -0.9, -0.84, -0.43, -0.41]",abalone
20,0,-0.71,0.0,"[-0.97, -0.96, -0.91, -0.61, -0.58]",abalone
20,1,-0.21,0.21,"[-0.29, -0.25, -0.74, 0.48, 0.43]",abalone
20,2,-0.29,-0.53,"[-0.74, -0.68, -0.79, -0.01, -0.03]",abalone
20,3,-0.36,-0.31,"[-0.72, -0.59, -0.8, 0.11, 0.2]",abalone
20,4,-0.36,0.03,"[-0.02, 0.1, -0.65, 0.6, 0.58]",abalone
21,0,-0.36,0.2,"[-0.42, -0.4, -0.74, 0.36, 0.38]",abalone
21,1,-0.5,-0.31,"[-0.61, -0.46, -0.77, 0.21, 0.31]",abalone
21,2,-0.21,-0.43,"[-0.51, -0.37, -0.73, 0.39, 0.41]",abalone
21,3,-0.5,-0.8,"[-0.8, -0.78, -0.8, -0.09, -0.07]",abalone
21,4,-0.36,0.11,"[-0.32, -0.11, -0.69, 0.5, 0.5]",abalone
22,0,-0.64,0.0,"[-0.82, -0.77, -0.82, -0.16, -0.08]",abalone
22,1,-0.43,-0.68,"[-0.75, -0.7, -0.84, 0.01, 0.05]",abalone
22,2,-0.36,0.21,"[-0.21, 0.1, -0.66, 0.56, 0.58]",abalone
22,3,-0.43,-0.48,"[-0.68, -0.68, -0.81, 0.08, 0.08]",abalone
22,4,-0.36,-0.31,"[-0.46, -0.38, -0.74, 0.31, 0.35]",abalone
23,0,-0.21,0.0,"[-0.76, -0.73, -0.81, -0.09, -0.08]",abalone
23,1,-0.14,0.53,"[-0.28, -0.01, -0.68, 0.58, 0.57]",abalone
23,2,-0.5,-0.21,"[-0.79, -0.76, -0.81, -0.08, -0.03]",abalone
23,3,-0.57,-0.67,"[-0.89, -0.86, -0.84, -0.31, -0.24]",abalone
23,4,-0.43,0.03,"[-0.47, -0.39, -0.74, 0.41, 0.35]",abalone
24,0,-0.43,0.2,"[-0.56, -0.4, -0.75, 0.28, 0.35]",abalone
24,1,-0.29,-0.43,"[-0.41, -0.34, -0.75, 0.29, 0.31]",abalone
24,2,-0.29,-0.76,"[-0.8, -0.78, -0.81, -0.14, -0.12]",abalone
24,3,-0.36,-0.03,"[-0.38, -0.2, -0.74, 0.51, 0.51]",abalone
24,4,-0.43,-0.42,"[-0.58, -0.47, -0.78, 0.19, 0.14]",abalone
25,0,-0.43,0.1,"[-0.43, -0.28, -0.69, 0.34, 0.34]",abalone
25,1,-0.29,-0.26,"[-0.26, -0.04, -0.68, 0.56, 0.49]",abalone
25,2,0.0,-0.5,"[-0.49, -0.4, -0.74, 0.28, 0.28]",abalone
25,3,-0.36,-0.43,"[-0.43, -0.19, -0.7, 0.48, 0.53]",abalone
25,4,-0.64,-0.94,"[-0.94, -0.93, -0.88, -0.51, -0.5]",abalone
26,0,-0.43,0.5,"[-0.33, -0.11, -0.69, 0.56, 0.55]",abalone
26,1,-0.29,0.21,"[-0.07, 0.24, -0.65, 0.65, 0.74]",abalone
26,2,-0.36,-0.53,"[-0.5, -0.26, -0.73, 0.45, 0.47]",abalone
26,3,-0.14,-0.5,"[-0.47, -0.51, -0.73, 0.19, 0.11]",abalone
26,4,-0.36,-0.21,"[-0.26, -0.04, -0.65, 0.41, 0.47]",abalone
27,0,-0.36,0.5,"[-0.31, -0.36, -0.73, 0.33, 0.31]",abalone
27,1,-0.07,-0.47,"[-0.47, -0.31, -0.75, 0.29, 0.31]",abalone
27,2,-0.36,-0.62,"[-0.75, -0.62, -0.73, -0.08, 0.04]",abalone
27,3,-0.29,0.07,"[-0.46, -0.26, -0.73, 0.24, 0.45]",abalone
27,4,-0.5,-0.36,"[-0.8, -0.68, -0.79, -0.11, -0.01]",abalone
28,0,-0.36,0.23,"[-0.39, -0.26, -0.73, 0.36, 0.41]",abalone
28,1,-0.57,-0.82,"[-0.86, -0.84, -0.82, -0.21, -0.15]",abalone
28,2,-0.14,0.14,"[-0.13, 0.27, -0.63, 0.63, 0.64]",abalone
28,3,-0.64,-0.62,"[-0.83, -0.85, -0.87, -0.31, -0.3]",abalone
28,4,-0.36,-0.39,"[-0.42, -0.15, -0.71, 0.46, 0.5]",abalone
29,0,-0.57,0.09,"[-0.78, -0.7, -0.82, 0.03, 0.08]",abalone
29,1,-0.5,-0.21,"[-0.51, -0.39, -0.73, 0.39, 0.39]",abalone
29,2,-0.86,-0.99,"[-0.99, -0.98, -0.92, -0.75, -0.72]",abalone
29,3,0.43,-0.62,"[-0.66, -0.6, -0.73, 0.13, 0.12]",abalone
