run,trial,ytrue,ypred,x,name
0,0,-0.1,0.02,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
0,1,-0.29,-0.65,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
0,2,-0.08,-0.31,"[0.04, -0.14, -0.54, -0.76, 0.25]",afl
0,3,-0.46,-0.21,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
0,4,-0.42,-0.11,"[0.65, -0.14, -0.4, -0.65, 0.55]",afl
1,0,0.99,0.5,"[0.83, 0.14, 0.22, -0.18, 0.62]",afl
1,1,-0.76,-0.99,"[-0.22, -0.71, -0.98, -0.18, 1.0]",afl
1,2,0.52,0.02,"[0.48, 0.14, -0.31, -0.65, 0.05]",afl
1,3,-0.35,-0.14,"[0.65, -0.43, -0.63, -0.76, -0.23]",afl
1,4,-0.26,-0.12,"[-0.04, 0.71, -0.11, -0.88, -0.66]",afl
2,0,-0.01,1.0,"[-0.57, 0.43, -0.26, 0.18, -1.0]",afl
2,1,0.37,0.03,"[-0.74, -0.43, -0.14, 0.29, 0.05]",afl
2,2,0.08,-0.03,"[0.22, -0.71, -0.15, -0.65, 0.34]",afl
2,3,-0.29,-0.39,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
2,4,-0.32,-0.33,"[-0.48, -0.43, -0.59, -0.41, -0.05]",afl
3,0,-0.38,0.09,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
3,1,-0.32,-0.4,"[-0.48, -0.43, -0.59, -0.41, -0.05]",afl
3,2,0.07,-0.04,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
3,3,-0.42,-0.14,"[0.65, -0.14, -0.4, -0.65, 0.55]",afl
3,4,-0.76,-0.73,"[-0.22, -0.71, -0.98, -0.18, 1.0]",afl
4,0,-0.1,0.02,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
4,1,-0.07,0.7,"[0.39, -0.14, -0.54, -0.65, 0.79]",afl
4,2,-0.2,0.21,"[-1.0, -0.14, 0.57, 1.0, 0.57]",afl
4,3,-0.21,-0.09,"[0.48, -0.14, -0.07, -0.76, 0.06]",afl
4,4,-0.52,-0.14,"[-0.91, -0.14, -0.52, -0.18, 0.1]",afl
5,0,0.71,0.31,"[-0.65, 0.14, 0.36, 0.06, -0.29]",afl
5,1,0.07,-0.71,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
5,2,-0.52,0.21,"[-0.57, -0.43, 0.12, -0.06, 0.46]",afl
5,3,-0.52,-0.79,"[-0.91, -0.14, -0.52, -0.18, 0.1]",afl
5,4,-0.46,0.18,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
6,0,0.51,1.0,"[0.83, 1.0, 0.11, -0.76, -0.61]",afl
6,1,-0.38,-0.37,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
6,2,0.07,-0.04,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
6,3,-1.0,-0.21,"[-1.0, -0.43, -1.0, 0.41, 0.54]",afl
6,4,-0.42,-0.14,"[0.65, -0.14, -0.4, -0.65, 0.55]",afl
7,0,-0.33,0.1,"[-0.3, 0.43, 1.0, -0.53, 0.27]",afl
7,1,-0.38,-0.67,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
7,2,-0.1,-0.62,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
7,3,-0.33,0.03,"[0.57, 0.14, -0.5, -0.65, 0.22]",afl
7,4,-0.29,-0.33,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
8,0,0.51,1.0,"[0.83, 1.0, 0.11, -0.76, -0.61]",afl
8,1,-0.59,-0.21,"[-0.74, -0.43, -0.78, 0.41, 0.22]",afl
8,2,-1.0,-0.59,"[-1.0, -0.43, -1.0, 0.41, 0.54]",afl
8,3,-0.46,0.0,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
8,4,-0.21,0.0,"[0.48, -0.14, -0.07, -0.76, 0.06]",afl
9,0,-0.16,0.2,"[0.3, 0.14, -0.33, -0.76, 0.2]",afl
9,1,-0.76,-0.47,"[-0.22, -0.71, -0.98, -0.18, 1.0]",afl
9,2,-0.38,-0.68,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
9,3,-0.33,0.14,"[-0.3, 0.43, 1.0, -0.53, 0.27]",afl
9,4,-1.0,-0.76,"[-1.0, -0.43, -1.0, 0.41, 0.54]",afl
10,0,-0.41,0.87,"[0.91, 0.14, -0.71, -0.06, -0.14]",afl
10,1,0.71,-0.03,"[-0.65, 0.14, 0.36, 0.06, -0.29]",afl
10,2,-0.2,1.43,"[-1.0, -0.14, 0.57, 1.0, 0.57]",afl
10,3,-0.52,0.29,"[-0.57, -0.43, 0.12, -0.06, 0.46]",afl
10,4,0.07,0.14,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
11,0,-0.52,0.1,"[-0.57, -0.43, 0.12, -0.06, 0.46]",afl
11,1,-0.52,-0.76,"[-0.91, -0.14, -0.52, -0.18, 0.1]",afl
11,2,-0.52,-0.52,"[0.04, -0.71, -0.71, -0.53, -0.25]",afl
11,3,0.07,-0.52,"[-0.91, 0.14, -0.31, 0.06, 0.25]",afl
11,4,0.52,0.07,"[0.48, 0.14, -0.31, -0.65, 0.05]",afl
12,0,-0.01,1.0,"[-0.57, 0.43, -0.26, 0.18, -1.0]",afl
12,1,-0.69,-0.21,"[0.22, -0.43, -0.76, -0.65, 0.14]",afl
12,2,-0.59,-0.66,"[-0.74, -0.43, -0.78, 0.41, 0.22]",afl
12,3,-0.33,-0.04,"[0.57, 0.14, -0.5, -0.65, 0.22]",afl
12,4,-0.52,0.03,"[-0.57, -0.43, 0.12, -0.06, 0.46]",afl
13,0,-0.1,0.02,"[0.57, -0.71, -0.14, -0.88, -0.31]",afl
13,1,-1.0,-0.23,"[-1.0, -0.43, -1.0, 0.41, 0.54]",afl
13,2,-0.52,-0.2,"[-0.91, -0.14, -0.52, -0.18, 0.1]",afl
13,3,-0.33,0.43,"[-0.3, 0.43, 1.0, -0.53, 0.27]",afl
13,4,-0.41,-0.71,"[0.91, 0.14, -0.71, -0.06, -0.14]",afl
14,0,-0.38,0.09,"[0.13, -0.71, -0.7, -0.65, 0.02]",afl
14,1,-0.18,-0.18,"[0.74, 0.14, -0.47, -0.41, -0.69]",afl
14,2,0.14,-0.54,"[-0.04, -0.14, -0.2, -0.76, -0.26]",afl
14,3,-0.21,-0.14,"[0.48, -0.14, -0.07, -0.76, 0.06]",afl
14,4,-0.46,0.18,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
15,0,-0.01,1.0,"[-0.57, 0.43, -0.26, 0.18, -1.0]",afl
15,1,-0.07,0.53,"[0.39, -0.14, -0.54, -0.65, 0.79]",afl
15,2,-0.41,0.02,"[0.91, 0.14, -0.71, -0.06, -0.14]",afl
15,3,-0.35,-0.21,"[0.65, -0.43, -0.63, -0.76, -0.23]",afl
15,4,0.07,-0.04,"[0.3, -0.14, -0.76, -0.06, 0.32]",afl
16,0,-0.41,0.87,"[0.91, 0.14, -0.71, -0.06, -0.14]",afl
16,1,0.99,0.21,"[0.83, 0.14, 0.22, -0.18, 0.62]",afl
16,2,-0.32,-0.76,"[-0.48, -0.43, -0.59, -0.41, -0.05]",afl
16,3,-0.21,-0.37,"[0.48, -0.14, -0.07, -0.76, 0.06]",afl
16,4,-0.46,0.17,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
17,0,-0.52,0.31,"[-0.91, -0.14, -0.52, -0.18, 0.1]",afl
17,1,-0.16,-0.33,"[0.3, 0.14, -0.33, -0.76, 0.2]",afl
17,2,-0.72,-0.58,"[-0.3, -1.0, -0.95, -0.41, 0.64]",afl
17,3,-0.52,0.02,"[-0.57, -0.43, 0.12, -0.06, 0.46]",afl
17,4,-0.46,-0.48,"[-0.48, 0.14, -0.47, -0.41, 0.58]",afl
18,0,0.51,1.0,"[0.83, 1.0, 0.11, -0.76, -0.61]",afl
18,1,0.71,0.02,"[-0.65, 0.14, 0.36, 0.06, -0.29]",afl
18,2,-0.29,-0.71,"[-0.39, -0.14, -0.01, -0.65, -0.65]",afl
18,3,-0.01,-0.14,"[-0.57, 0.43, -0.26, 0.18, -1.0]",afl
18,4,-0.18,-0.14,"[0.74, 0.14, -0.47, -0.41, -0.69]",afl
19,0,-0.42,0.5,"[0.65, -0.14, -0.4, -0.65, 0.55]",afl
