run,trial,ytrue,ypred,x,name
0,0,-1.0,0.0,"[-0.91, -0.96, -0.92, -0.87, 0.68]",algae
0,1,-0.6,-1.0,"[-0.9, -0.95, -0.98, -0.71, 0.38]",algae
0,2,-0.96,-0.2,"[-0.7, -0.73, -0.85, -0.9, 0.24]",algae
0,3,-0.95,-0.91,"[-0.9, -0.95, -0.91, -0.92, -0.11]",algae
0,4,-1.0,-0.94,"[-0.74, -0.71, -0.84, -0.8, 0.14]",algae
1,0,-0.67,0.0,"[-0.86, -0.95, -0.91, -0.94, 0.55]",algae
1,1,-0.97,-0.47,"[-0.66, -0.8, -0.68, -0.77, 0.33]",algae
1,2,-0.96,-0.92,"[-0.85, -0.9, -0.59, -0.76, 0.28]",algae
1,3,-0.93,-0.71,"[-0.75, -0.85, -0.81, -0.84, 0.56]",algae
1,4,-1.0,-0.92,"[-0.76, -0.84, -0.79, -0.89, 0.5]",algae
2,0,-0.63,0.48,"[-0.78, -0.96, -0.86, -0.68, -0.06]",algae
2,1,0.04,0.68,"[-0.97, -0.99, -0.92, -0.97, 0.65]",algae
2,2,-0.96,0.11,"[-0.78, -0.97, -0.91, -0.74, 0.14]",algae
2,3,-0.73,-0.88,"[-0.86, -0.93, -0.91, -0.77, 0.26]",algae
2,4,-0.97,-0.57,"[-0.62, -0.67, -0.82, -0.33, -0.14]",algae
3,0,-0.97,0.0,"[-0.72, -0.87, -0.99, -0.71, -0.5]",algae
3,1,-0.17,-0.94,"[-0.99, -0.98, -0.96, -0.98, 0.55]",algae
3,2,-0.89,-0.53,"[-0.93, -0.95, -0.77, -0.79, 0.5]",algae
3,3,-0.84,-0.93,"[-0.95, -0.99, -0.89, -0.91, 0.5]",algae
3,4,-0.32,-0.8,"[-1.0, -1.0, -0.97, -0.98, 0.5]",algae
4,0,-0.96,0.0,"[-0.69, -0.77, -0.78, -0.78, -0.06]",algae
4,1,-0.96,-0.99,"[-0.88, -0.94, -0.86, -0.89, 0.6]",algae
4,2,-0.73,-0.96,"[-0.86, -0.93, -0.91, -0.77, 0.26]",algae
4,3,-0.85,-0.96,"[-0.87, -0.96, -0.85, -0.95, 0.29]",algae
4,4,0.12,-0.99,"[-1.0, -1.0, -0.97, -0.99, 0.34]",algae
5,0,-1.0,0.0,"[-0.74, -0.78, -0.78, -0.68, 0.73]",algae
5,1,-0.27,-1.0,"[-0.91, -0.95, -0.93, -0.8, 0.41]",algae
5,2,-0.95,-0.95,"[-0.6, -0.57, -0.86, -0.76, -0.31]",algae
5,3,-0.84,-0.82,"[-0.87, -0.93, -0.91, -0.59, -0.04]",algae
5,4,-1.0,-0.93,"[-0.9, -0.93, -0.88, -0.87, 0.13]",algae
6,0,-0.94,0.0,"[-0.77, -0.9, -0.61, -0.6, -0.5]",algae
6,1,0.03,-0.99,"[-0.94, -0.98, -0.94, -0.97, 0.76]",algae
6,2,-0.92,0.18,"[-0.89, -0.93, -0.84, -0.88, 0.61]",algae
6,3,-0.77,-0.93,"[-0.75, -0.74, -0.79, -0.8, 0.29]",algae
6,4,-1.0,-0.76,"[-0.74, -0.79, -0.74, -0.79, 0.24]",algae
7,0,-0.52,0.02,"[-0.98, -1.0, -0.91, -0.94, 0.33]",algae
