run,trial,ytrue,ypred,x,name
0,0,-0.89,0.3,"[-1.0, -0.21, -0.38, 0.02, -0.06]",athlete
0,1,-0.26,-0.81,"[1.0, -0.47, -0.37, -0.97, -0.93]",athlete
0,2,0.03,-0.23,"[1.0, -0.04, 0.11, -0.95, -0.93]",athlete
0,3,0.21,0.14,"[1.0, 0.13, 0.02, -0.22, -0.16]",athlete
0,4,-1.0,-0.42,"[-1.0, -0.27, -0.41, -0.05, -0.11]",athlete
1,0,-0.24,0.1,"[-1.0, -0.57, -0.6, -0.51, -0.61]",athlete
1,1,-0.05,-0.21,"[1.0, 0.11, 0.22, -0.81, -0.72]",athlete
1,2,-0.82,-0.14,"[-1.0, -0.33, -0.47, -0.08, -0.29]",athlete
1,3,0.03,-0.03,"[1.0, -0.01, 0.13, -0.92, -0.97]",athlete
1,4,-0.5,-0.36,"[-1.0, -0.57, -0.66, -0.23, -0.39]",athlete
2,0,-0.53,0.02,"[-1.0, -0.44, -0.42, -0.64, -0.82]",athlete
2,1,-0.21,-0.02,"[-1.0, 0.05, -0.09, -0.09, -0.12]",athlete
2,2,0.26,0.47,"[1.0, 0.78, 0.75, -0.4, -0.3]",athlete
2,3,-0.11,0.11,"[1.0, 0.33, 0.19, -0.09, -0.1]",athlete
2,4,-0.66,-0.31,"[-1.0, -0.2, -0.3, -0.19, -0.3]",athlete
3,0,0.61,0.5,"[1.0, -0.01, 0.05, -0.7, -0.67]",athlete
3,1,-0.55,-0.02,"[-1.0, -0.23, -0.38, -0.05, -0.17]",athlete
3,2,-0.26,-0.71,"[-1.0, -0.48, -0.48, -0.6, -0.75]",athlete
3,3,-0.42,-0.47,"[-1.0, -0.37, -0.41, -0.41, -0.5]",athlete
3,4,-0.29,-0.31,"[-1.0, -0.16, -0.16, -0.56, -0.72]",athlete
4,0,-0.87,0.1,"[-1.0, -0.45, -0.51, -0.35, -0.53]",athlete
4,1,0.16,0.21,"[1.0, 0.3, 0.33, -0.59, -0.55]",athlete
4,2,-0.29,-0.04,"[-1.0, 0.08, -0.2, 0.29, 0.25]",athlete
4,3,-0.37,-1.17,"[-1.0, -0.86, -0.89, -0.54, -0.67]",athlete
4,4,-0.58,-0.53,"[-1.0, -0.69, -0.67, -0.77, -0.85]",athlete
5,0,0.47,0.9,"[1.0, -0.27, -0.2, -0.78, -0.84]",athlete
5,1,0.13,0.5,"[1.0, -0.03, 0.11, -0.9, -0.83]",athlete
5,2,-0.26,0.72,"[1.0, 0.32, 0.19, -0.12, -0.21]",athlete
5,3,0.05,-0.17,"[1.0, 0.48, 0.44, -0.37, -0.45]",athlete
5,4,-0.71,-0.23,"[-1.0, -0.25, -0.36, -0.16, -0.43]",athlete
6,0,-0.66,0.2,"[-1.0, -0.17, -0.43, 0.31, 0.13]",athlete
6,1,0.13,-0.51,"[1.0, 0.23, 0.33, -0.79, -0.73]",athlete
6,2,0.29,0.14,"[1.0, 0.1, 0.19, -0.76, -0.66]",athlete
