run,trial,ytrue,ypred,x,name
0,0,-0.54,0.0,"[-0.88, -0.88, -0.64, -0.65, -0.87]",bodyfat
0,1,-0.47,-0.53,"[-0.86, -0.85, -0.82, -0.67, -0.85]",bodyfat
0,2,-0.06,0.03,"[-0.41, -0.47, -0.34, -0.15, -0.36]",bodyfat
0,3,-0.12,0.14,"[-0.06, -0.27, -0.36, -0.11, -0.25]",bodyfat
0,4,-0.72,-0.51,"[-0.79, -0.81, -0.78, -0.65, -0.83]",bodyfat
1,0,-0.37,0.02,"[-0.44, -0.57, -0.49, -0.13, -0.54]",bodyfat
1,1,-0.52,-0.47,"[-0.38, -0.66, -0.54, -0.48, -0.65]",bodyfat
1,2,-0.54,-0.82,"[-0.88, -0.88, -0.64, -0.65, -0.87]",bodyfat
1,3,-1.0,-1.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",bodyfat
1,4,-0.19,-0.21,"[0.2, -0.2, -0.25, -0.2, -0.26]",bodyfat
2,0,-0.12,0.02,"[-0.28, -0.54, -0.39, -0.14, -0.4]",bodyfat
2,1,0.6,0.02,"[0.06, -0.13, 0.13, 0.26, 0.03]",bodyfat
2,2,-0.68,-0.71,"[-0.63, -0.7, -0.69, -0.51, -0.71]",bodyfat
2,3,0.06,-0.24,"[-0.16, -0.31, -0.31, -0.09, -0.35]",bodyfat
2,4,0.07,-0.31,"[-0.31, -0.5, -0.31, -0.22, -0.5]",bodyfat
3,0,-0.07,0.09,"[0.09, -0.52, -0.31, -0.23, -0.43]",bodyfat
3,1,-0.24,-0.57,"[-0.63, -0.63, -0.55, -0.51, -0.62]",bodyfat
3,2,0.17,-0.03,"[-0.44, -0.39, -0.24, -0.12, -0.28]",bodyfat
3,3,0.29,0.02,"[-0.31, -0.54, -0.16, -0.01, -0.39]",bodyfat
3,4,-0.19,0.42,"[-0.12, -0.38, -0.35, -0.01, -0.19]",bodyfat
4,0,0.25,0.11,"[-0.32, -0.5, -0.36, -0.17, -0.51]",bodyfat
4,1,-0.66,-0.79,"[-0.9, -0.87, -0.68, -0.63, -0.85]",bodyfat
4,2,-0.03,-0.03,"[-0.47, -0.72, -0.45, -0.12, -0.66]",bodyfat
4,3,0.07,0.16,"[-0.31, -0.5, -0.31, -0.22, -0.5]",bodyfat
4,4,-0.6,-0.47,"[-0.71, -0.78, -0.63, -0.28, -0.66]",bodyfat
5,0,0.21,0.0,"[0.08, -0.35, -0.14, -0.02, -0.33]",bodyfat
5,1,0.12,0.12,"[0.04, -0.21, -0.11, 0.03, -0.18]",bodyfat
