run,trial,ytrue,ypred,x,name
0,0,-0.16,1,"[-0.07, 0.35, 0.0, -0.23, 0.2]",car
0,1,-1.0,1,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
0,2,-0.67,1,"[0.12, -0.03, -0.22, -0.4, -0.6]",car
0,3,-0.88,1,"[-0.23, -0.35, -0.44, -0.66, -0.6]",car
0,4,-0.99,1,"[-0.46, -0.61, -0.79, -0.79, -0.6]",car
1,0,-0.67,1,"[0.12, -0.03, -0.22, -0.4, -0.6]",car
1,1,-0.47,1,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
1,2,0.59,1,"[0.86, 0.57, 0.96, 0.53, 1.0]",car
1,3,-0.75,1,"[-0.35, -0.54, -0.71, -0.74, -0.6]",car
1,4,-0.34,1,"[0.49, 0.28, -0.06, 0.19, 0.2]",car
2,0,-0.58,1,"[0.15, -0.01, -0.63, -0.36, -0.6]",car
2,1,-0.73,1,"[0.06, -0.01, -0.63, -0.36, -0.6]",car
2,2,-0.06,1,"[0.29, 0.46, -0.08, -0.4, -0.2]",car
2,3,-0.87,1,"[-0.34, -0.48, -0.76, -0.62, -0.6]",car
2,4,-0.94,1,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
3,0,-0.61,1,"[-0.02, 0.04, -0.55, -0.49, -0.6]",car
3,1,-0.54,1,"[0.35, -0.01, -0.31, -0.15, 0.2]",car
3,2,-0.44,1,"[0.07, 0.35, -0.36, -0.57, -0.6]",car
3,3,-0.81,1,"[-0.17, -0.03, -0.67, -0.45, -0.6]",car
3,4,-0.91,1,"[-0.34, -0.13, -0.55, -0.49, -0.6]",car
4,0,-0.67,1,"[0.01, -0.13, -0.18, -0.45, -0.6]",car
4,1,-0.12,1,"[0.61, 0.72, 0.25, 0.06, -0.6]",car
4,2,-0.34,1,"[0.49, 0.28, -0.06, 0.19, 0.2]",car
4,3,-0.88,1,"[-0.23, -0.35, -0.44, -0.66, -0.6]",car
4,4,-0.31,1,"[0.87, 0.57, 0.1, 0.53, 1.0]",car
5,0,-0.78,0.5,"[-0.38, -0.23, -0.61, -0.66, -0.6]",car
5,1,0.59,1.09,"[0.86, 0.57, 0.96, 0.53, 1.0]",car
5,2,-0.47,-0.68,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
5,3,-0.32,0.31,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
5,4,-0.58,-0.32,"[0.59, 0.28, -0.31, 0.19, 0.2]",car
6,0,-0.34,0.5,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
6,1,-0.42,0.98,"[0.84, 1.0, -0.06, 0.7, 1.0]",car
6,2,-1.0,-1.02,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
6,3,-0.9,-0.8,"[-0.29, -0.42, -0.55, -0.74, -0.6]",car
6,4,-0.06,0.1,"[0.29, 0.46, -0.08, -0.4, -0.2]",car
7,0,-0.18,1.0,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
7,1,-0.88,-0.8,"[-0.23, -0.35, -0.44, -0.66, -0.6]",car
7,2,-0.34,0.09,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
7,3,-0.19,0.21,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
7,4,-0.99,-0.88,"[-0.88, -0.88, -0.93, -0.87, -0.6]",car
8,0,-0.91,0.8,"[-0.31, -0.42, -0.41, -0.66, -0.6]",car
8,1,-0.34,0.39,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
8,2,-0.94,-0.91,"[-0.5, -0.42, -0.7, -0.79, -0.6]",car
8,3,-0.19,0.14,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
8,4,-0.94,-0.94,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
9,0,-0.55,0.8,"[0.46, 0.06, 0.18, 0.02, 0.2]",car
9,1,-0.94,-0.95,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
9,2,-0.67,-0.47,"[0.12, -0.03, -0.22, -0.4, -0.6]",car
9,3,-0.4,0.21,"[0.51, 0.28, -0.2, -0.02, 0.2]",car
9,4,-0.8,-0.82,"[-0.34, -0.03, -0.71, -0.66, -0.6]",car
10,0,-0.71,0.0,"[-0.01, 0.16, -0.4, -0.57, -0.6]",car
10,1,-0.18,1.02,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
10,2,1.0,0.53,"[0.91, 0.93, 0.82, 0.49, 1.0]",car
10,3,-0.76,-0.61,"[-0.1, -0.07, -0.55, -0.49, -0.6]",car
10,4,-0.99,-0.99,"[-0.88, -0.88, -0.93, -0.87, -0.6]",car
11,0,0.07,0.8,"[0.51, 0.35, 0.06, -0.15, 0.2]",car
11,1,0.37,0.09,"[0.66, 0.33, -0.14, 0.19, 0.2]",car
11,2,-0.76,-0.03,"[-0.1, -0.07, -0.55, -0.49, -0.6]",car
11,3,-0.94,-1.02,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
11,4,0.16,0.21,"[0.55, 0.28, 0.18, -0.06, 0.2]",car
12,0,-0.8,0.01,"[-0.34, -0.03, -0.71, -0.66, -0.6]",car
12,1,-0.61,-0.4,"[-0.01, 0.06, -0.55, -0.49, -0.6]",car
12,2,-0.12,0.36,"[0.61, 0.72, 0.25, 0.06, -0.6]",car
12,3,-1.0,-1.0,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
12,4,0.43,1.0,"[0.96, 0.57, 0.27, 0.53, 1.0]",car
13,0,0.18,0.3,"[0.56, -0.01, -0.25, -0.02, 0.2]",car
13,1,-0.67,-0.31,"[0.01, -0.13, -0.18, -0.45, -0.6]",car
13,2,-0.65,-0.47,"[0.24, 0.06, -0.55, -0.49, -0.6]",car
13,3,-0.99,-0.92,"[-0.88, -0.88, -0.93, -0.87, -0.6]",car
13,4,-0.61,-0.68,"[0.06, -0.09, -0.11, -0.36, -0.6]",car
14,0,0.45,0.8,"[0.51, 0.65, 0.39, -0.15, 0.2]",car
14,1,0.25,0.48,"[0.42, 0.72, -0.04, -0.23, 0.2]",car
14,2,-0.91,-0.4,"[-0.19, -0.3, -0.69, -0.49, -0.6]",car
14,3,-0.6,-0.21,"[0.15, -0.01, -0.3, -0.15, -0.6]",car
14,4,-0.9,-1.14,"[-0.55, -0.54, -0.79, -0.66, -0.6]",car
15,0,-0.95,0.1,"[-0.5, -0.42, -0.7, -0.79, -0.6]",car
15,1,-0.06,-0.03,"[0.29, 0.46, -0.08, -0.4, -0.2]",car
15,2,-0.88,-0.99,"[-0.51, -0.61, -0.7, -0.79, -0.6]",car
15,3,-0.44,-0.21,"[0.07, 0.35, -0.36, -0.57, -0.6]",car
15,4,-0.76,-0.61,"[-0.1, -0.07, -0.55, -0.49, -0.6]",car
16,0,-0.66,0.1,"[-0.37, -0.72, -0.63, -0.74, -0.6]",car
16,1,-0.44,-0.21,"[0.07, 0.35, -0.36, -0.57, -0.6]",car
16,2,-0.63,-0.4,"[0.12, 0.13, -0.31, -0.49, -0.6]",car
16,3,-0.61,-0.63,"[0.04, -0.03, -0.35, -0.49, -0.6]",car
16,4,-0.68,-0.68,"[-0.16, -0.09, -0.51, -0.57, -0.6]",car
17,0,1.0,1.0,"[0.91, 0.93, 0.82, 0.49, 1.0]",car
17,1,-0.88,-1.0,"[-0.23, -0.35, -0.44, -0.66, -0.6]",car
17,2,-0.62,0.05,"[0.28, -0.09, -0.14, 0.02, 0.2]",car
17,3,-0.87,-0.92,"[-0.34, -0.48, -0.76, -0.62, -0.6]",car
17,4,-0.9,-0.88,"[-0.55, -0.54, -0.79, -0.66, -0.6]",car
18,0,-0.39,0.8,"[0.75, 0.54, 1.0, -0.15, 0.2]",car
18,1,0.18,-0.21,"[0.56, -0.01, -0.25, -0.02, 0.2]",car
18,2,-0.26,0.09,"[0.25, 0.35, -0.14, -0.15, 0.2]",car
18,3,-0.12,-0.39,"[0.61, 0.72, 0.25, 0.06, -0.6]",car
18,4,0.07,0.03,"[0.51, 0.35, 0.06, -0.15, 0.2]",car
19,0,-0.34,0.5,"[0.49, 0.28, -0.06, 0.19, 0.2]",car
19,1,-0.91,-0.81,"[-0.46, -0.61, -0.62, -0.79, -0.6]",car
19,2,-0.96,-0.84,"[-0.48, -0.42, -0.78, -0.74, -0.6]",car
19,3,-0.26,-0.04,"[0.25, 0.35, -0.14, -0.15, 0.2]",car
19,4,0.01,-0.34,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
20,0,-0.94,0.1,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
20,1,0.36,0.96,"[0.6, 0.28, 0.18, 0.66, 1.0]",car
20,2,0.45,0.57,"[0.51, 0.65, 0.39, -0.15, 0.2]",car
20,3,-0.66,-0.81,"[-0.37, -0.72, -0.63, -0.74, -0.6]",car
20,4,-0.92,-0.76,"[-0.46, -0.42, -0.84, -0.74, -0.6]",car
21,0,-0.79,0.0,"[-0.04, -0.1, -0.59, -0.45, -0.6]",car
21,1,0.45,0.17,"[0.51, 0.65, 0.39, -0.15, 0.2]",car
21,2,-0.34,0.31,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
21,3,-0.22,-0.79,"[0.07, -0.04, -0.52, -0.45, -0.6]",car
21,4,-0.99,-0.79,"[-0.46, -0.61, -0.79, -0.79, -0.6]",car
22,0,0.92,0.8,"[0.52, 0.35, 0.32, -0.06, 0.2]",car
22,1,-0.97,-0.99,"[-0.78, -0.8, -0.88, -0.87, -1.0]",car
22,2,-0.22,-0.18,"[0.07, -0.04, -0.52, -0.45, -0.6]",car
22,3,-0.87,-0.58,"[-0.34, -0.48, -0.76, -0.62, -0.6]",car
22,4,0.01,0.68,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
23,0,-0.79,0.0,"[-0.04, -0.1, -0.59, -0.45, -0.6]",car
23,1,-0.94,-0.79,"[-0.7, -0.61, -0.78, -0.79, -0.6]",car
23,2,-0.5,-0.64,"[0.15, -0.03, -0.39, -0.49, -0.6]",car
23,3,-0.16,0.14,"[-0.07, 0.35, 0.0, -0.23, 0.2]",car
23,4,-0.47,-0.68,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
24,0,-0.61,0.0,"[0.06, -0.09, -0.11, -0.36, -0.6]",car
24,1,-0.06,-0.03,"[0.29, 0.46, -0.08, -0.4, -0.2]",car
24,2,-0.67,-0.66,"[0.01, -0.13, -0.18, -0.45, -0.6]",car
24,3,-0.4,0.21,"[0.51, 0.28, -0.2, -0.02, 0.2]",car
24,4,0.01,-0.04,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
25,0,-0.63,0.1,"[0.12, 0.13, -0.31, -0.49, -0.6]",car
25,1,-0.99,-0.63,"[-0.46, -0.61, -0.79, -0.79, -0.6]",car
25,2,-0.16,0.18,"[-0.07, 0.35, 0.0, -0.23, 0.2]",car
25,3,-0.91,-0.75,"[-0.19, -0.3, -0.69, -0.49, -0.6]",car
25,4,-0.6,-0.47,"[0.15, -0.01, -0.3, -0.15, -0.6]",car
26,0,-0.44,0.0,"[0.07, 0.35, -0.36, -0.57, -0.6]",car
26,1,-0.26,0.1,"[0.25, 0.35, -0.14, -0.15, 0.2]",car
26,2,-0.94,-0.62,"[-0.5, -0.42, -0.7, -0.79, -0.6]",car
26,3,-0.47,-0.24,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
26,4,0.36,1.24,"[0.6, 0.28, 0.18, 0.66, 1.0]",car
27,0,-0.99,0.0,"[-0.46, -0.61, -0.79, -0.79, -0.6]",car
27,1,-0.18,0.99,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
27,2,-0.19,0.39,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
27,3,-0.92,-0.99,"[-0.46, -0.42, -0.84, -0.74, -0.6]",car
27,4,-0.32,-0.04,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
28,0,-0.3,0.0,"[-0.1, 0.28, -0.31, -0.53, -0.6]",car
28,1,-0.73,-0.3,"[0.06, -0.01, -0.63, -0.36, -0.6]",car
28,2,-1.0,-1.0,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
28,3,-0.92,-0.9,"[-0.46, -0.42, -0.84, -0.74, -0.6]",car
28,4,-0.61,-0.61,"[-0.02, 0.04, -0.55, -0.49, -0.6]",car
29,0,-0.42,1.0,"[0.84, 1.0, -0.06, 0.7, 1.0]",car
29,1,-1.0,-1.0,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
29,2,0.37,0.0,"[0.66, 0.33, -0.14, 0.19, 0.2]",car
29,3,-0.12,0.0,"[0.61, 0.72, 0.25, 0.06, -0.6]",car
29,4,-0.91,-0.51,"[-0.34, -0.13, -0.55, -0.49, -0.6]",car
30,0,-0.44,0.0,"[0.07, 0.35, -0.36, -0.57, -0.6]",car
30,1,-0.68,-0.44,"[-0.16, -0.09, -0.51, -0.57, -0.6]",car
30,2,-0.61,-0.61,"[-0.02, 0.04, -0.55, -0.49, -0.6]",car
30,3,-0.62,0.21,"[0.28, -0.09, -0.14, 0.02, 0.2]",car
30,4,-0.61,-0.53,"[0.04, -0.03, -0.35, -0.49, -0.6]",car
31,0,0.92,0.8,"[0.52, 0.35, 0.32, -0.06, 0.2]",car
31,1,-0.76,-0.84,"[-0.22, -0.03, -0.7, -0.66, -0.6]",car
31,2,-0.31,1.47,"[0.87, 0.57, 0.1, 0.53, 1.0]",car
31,3,-0.18,0.02,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
31,4,-0.47,-0.68,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
32,0,0.16,0.8,"[0.55, 0.28, 0.18, -0.06, 0.2]",car
32,1,-0.44,0.14,"[0.49, 0.28, 0.3, 0.06, 0.2]",car
32,2,-0.47,-0.18,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
32,3,-0.97,-0.99,"[-0.71, -1.0, -0.85, -0.91, -1.0]",car
32,4,-0.68,-0.68,"[-0.16, -0.42, -0.31, -0.66, -0.6]",car
33,0,-0.94,0.1,"[-0.5, -0.42, -0.7, -0.79, -0.6]",car
33,1,-0.34,0.31,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
33,2,-0.4,-0.34,"[0.51, 0.28, -0.2, -0.02, 0.2]",car
33,3,-0.58,-0.48,"[0.59, 0.28, -0.31, 0.19, 0.2]",car
33,4,-0.34,-0.34,"[0.49, 0.28, -0.06, 0.19, 0.2]",car
34,0,-0.61,0.0,"[0.06, -0.09, -0.11, -0.36, -0.6]",car
34,1,-0.61,-0.63,"[0.04, -0.03, -0.35, -0.49, -0.6]",car
34,2,-0.58,-0.61,"[0.15, -0.01, -0.63, -0.36, -0.6]",car
34,3,-0.4,0.23,"[0.51, 0.28, -0.2, -0.02, 0.2]",car
34,4,-0.61,-0.61,"[-0.02, 0.04, -0.55, -0.49, -0.6]",car
35,0,-0.71,0.0,"[-0.01, 0.16, -0.4, -0.57, -0.6]",car
35,1,-0.8,-0.71,"[-0.34, -0.03, -0.71, -0.66, -0.6]",car
35,2,-0.19,0.31,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
35,3,-0.16,-0.05,"[-0.07, 0.35, 0.0, -0.23, 0.2]",car
35,4,-0.9,-0.8,"[-0.55, -0.54, -0.79, -0.66, -0.6]",car
36,0,-0.95,0.1,"[-0.5, -0.42, -0.7, -0.79, -0.6]",car
36,1,-0.62,0.05,"[0.28, -0.09, -0.14, 0.02, 0.2]",car
36,2,-0.5,-0.77,"[0.15, -0.03, -0.39, -0.49, -0.6]",car
36,3,-0.4,0.36,"[0.51, 0.28, -0.2, -0.02, 0.2]",car
36,4,-0.19,-0.3,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
37,0,-0.18,1.0,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
37,1,-0.34,-0.1,"[0.49, 0.28, -0.06, 0.19, 0.2]",car
37,2,-0.06,-0.1,"[0.29, 0.46, -0.08, -0.4, -0.2]",car
37,3,-0.61,-0.4,"[-0.01, 0.06, -0.55, -0.49, -0.6]",car
37,4,-0.56,-0.31,"[0.11, 0.35, -0.39, -0.49, -0.6]",car
38,0,-0.99,0.0,"[-0.46, -0.61, -0.79, -0.79, -0.6]",car
38,1,-0.19,0.31,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
38,2,0.07,-0.04,"[0.51, 0.35, 0.06, -0.15, 0.2]",car
38,3,0.92,0.21,"[0.52, 0.35, 0.32, -0.06, 0.2]",car
38,4,-0.96,-0.99,"[-0.48, -0.42, -0.78, -0.74, -0.6]",car
39,0,-0.67,0.1,"[0.12, -0.03, -0.22, -0.4, -0.6]",car
39,1,0.01,0.4,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
39,2,-0.94,-0.84,"[-0.7, -0.61, -0.78, -0.79, -0.6]",car
39,3,-0.18,1.02,"[1.0, 1.0, 0.02, 1.0, 0.2]",car
39,4,-0.66,-0.81,"[-0.37, -0.72, -0.63, -0.74, -0.6]",car
40,0,-0.62,0.31,"[0.28, -0.09, -0.14, 0.02, 0.2]",car
40,1,-0.9,-0.95,"[-0.29, -0.42, -0.55, -0.74, -0.6]",car
40,2,-0.81,-0.79,"[-0.17, -0.03, -0.67, -0.45, -0.6]",car
40,3,0.01,0.14,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
40,4,-0.97,-1.0,"[-0.78, -0.8, -0.88, -0.87, -1.0]",car
41,0,-0.97,1.0,"[-0.71, -1.0, -0.85, -0.91, -1.0]",car
41,1,-0.87,-0.81,"[-0.34, -0.48, -0.76, -0.62, -0.6]",car
41,2,-0.47,-0.68,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
41,3,-0.61,-0.27,"[0.04, -0.03, -0.35, -0.49, -0.6]",car
41,4,-0.61,-0.71,"[-0.02, 0.04, -0.55, -0.49, -0.6]",car
42,0,-0.71,0.0,"[-0.01, 0.16, -0.4, -0.57, -0.6]",car
42,1,0.01,0.31,"[0.49, 0.39, -0.06, 0.19, 0.2]",car
42,2,-0.3,-0.71,"[-0.1, 0.28, -0.31, -0.53, -0.6]",car
42,3,-0.58,-0.57,"[0.15, -0.01, -0.63, -0.36, -0.6]",car
42,4,-0.92,-1.0,"[-0.46, -0.42, -0.84, -0.74, -0.6]",car
43,0,-0.47,0.0,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car
43,1,-0.88,-0.8,"[-0.51, -0.61, -0.7, -0.79, -0.6]",car
43,2,0.43,1.02,"[0.96, 0.57, 0.27, 0.53, 1.0]",car
43,3,-0.22,-0.47,"[0.07, -0.04, -0.52, -0.45, -0.6]",car
43,4,-0.78,-0.68,"[-0.38, -0.23, -0.61, -0.66, -0.6]",car
44,0,-0.8,0.01,"[-0.34, -0.03, -0.71, -0.66, -0.6]",car
44,1,-0.71,-0.4,"[-0.01, 0.16, -0.4, -0.57, -0.6]",car
44,2,0.18,0.31,"[0.56, -0.01, -0.25, -0.02, 0.2]",car
44,3,-0.6,-0.42,"[0.15, -0.01, -0.3, -0.15, -0.6]",car
44,4,-0.88,-0.8,"[-0.51, -0.61, -0.7, -0.79, -0.6]",car
45,0,-0.81,0.0,"[-0.17, -0.03, -0.67, -0.45, -0.6]",car
45,1,-0.87,-0.91,"[-0.34, -0.48, -0.76, -0.62, -0.6]",car
45,2,-0.75,-0.89,"[-0.35, -0.54, -0.71, -0.74, -0.6]",car
45,3,-0.78,-0.83,"[-0.38, -0.23, -0.61, -0.66, -0.6]",car
45,4,-0.61,-0.1,"[0.06, -0.09, -0.11, -0.36, -0.6]",car
46,0,-0.19,0.5,"[0.69, 0.42, 0.2, -0.15, 0.2]",car
46,1,-0.01,-0.14,"[0.39, 0.12, -0.04, -0.23, 0.2]",car
46,2,-0.32,0.03,"[0.47, 0.28, -0.06, 0.19, 0.2]",car
46,3,-1.0,-1.0,"[-1.0, -0.8, -1.0, -1.0, -1.0]",car
46,4,-0.94,-0.85,"[-0.52, -0.42, -0.7, -0.79, -0.6]",car
47,0,-0.61,0.1,"[0.04, -0.03, -0.35, -0.49, -0.6]",car
47,1,-0.65,0.21,"[0.28, -0.09, -0.14, 0.02, 0.2]",car
47,2,-0.54,-0.68,"[0.35, -0.01, -0.31, -0.15, 0.2]",car
47,3,-0.12,0.53,"[0.61, 0.72, 0.25, 0.06, -0.6]",car
47,4,-0.01,-0.47,"[0.39, 0.12, -0.04, -0.23, 0.2]",car
48,0,-0.42,1.0,"[0.84, 1.0, -0.06, 0.7, 1.0]",car
48,1,0.36,-0.14,"[0.6, 0.28, 0.18, 0.66, 1.0]",car
48,2,-0.92,-0.48,"[-0.46, -0.42, -0.84, -0.74, -0.6]",car
48,3,0.92,0.21,"[0.52, 0.35, 0.32, -0.06, 0.2]",car
48,4,-0.8,-0.42,"[-0.34, -0.03, -0.71, -0.66, -0.6]",car
49,0,0.07,0.8,"[0.51, 0.35, 0.06, -0.15, 0.2]",car
