run,trial,ytrue,ypred,x,name
0,0,-0.51,0.0,"[-1.0, -0.07, -0.38, -0.79, -0.82]",homeless
0,1,-0.7,-0.31,"[-1.0, -0.4, 0.25, -0.22, -0.56]",homeless
0,2,-0.8,-0.65,"[-1.0, -0.71, -0.19, -0.34, -0.02]",homeless
0,3,-0.67,-0.73,"[-1.0, -0.55, 0.62, -0.99, -0.71]",homeless
0,4,0.16,-0.92,"[1.0, -0.91, -0.25, 1.0, 1.0]",homeless
1,0,-0.79,0.11,"[-1.0, -0.49, -0.25, 0.16, -0.36]",homeless
1,1,-0.87,-0.95,"[-1.0, -0.46, -0.81, -0.67, -0.59]",homeless
1,2,-0.77,0.73,"[-1.0, 0.6, 0.56, -0.2, -0.18]",homeless
1,3,-0.51,-0.85,"[-1.0, -0.07, -0.38, -0.79, -0.82]",homeless
1,4,-0.47,0.07,"[-1.0, -0.1, 0.19, 0.7, 0.56]",homeless
2,0,1.0,1.0,"[-1.0, -0.34, 1.0, 0.42, 0.31]",homeless
2,1,-0.44,-1.0,"[-1.0, 0.51, -0.38, -0.6, -0.6]",homeless
2,2,-0.92,0.18,"[-1.0, 0.29, 0.88, -0.92, -0.82]",homeless
2,3,-0.71,0.56,"[-1.0, 1.0, 0.56, 0.19, 0.46]",homeless
2,4,-0.3,-0.34,"[-1.0, -0.1, 0.06, -0.34, -0.87]",homeless
3,0,-0.44,0.1,"[-1.0, 0.51, -0.38, -0.6, -0.6]",homeless
3,1,-0.53,-0.43,"[-1.0, -0.52, -0.06, -0.79, -0.66]",homeless
3,2,-0.42,0.4,"[-1.0, 0.76, 0.56, -0.75, -0.56]",homeless
3,3,-0.77,-0.31,"[-1.0, 0.6, 0.56, -0.2, -0.18]",homeless
3,4,-0.87,-0.64,"[-1.0, -0.45, -1.0, -0.16, -0.71]",homeless
4,0,-0.67,1.0,"[-1.0, 0.57, -0.06, -0.72, -0.56]",homeless
4,1,-0.97,-0.71,"[-1.0, -0.12, 0.06, -0.42, -0.71]",homeless
4,2,-0.46,-0.94,"[-1.0, -0.48, -0.12, 0.08, -0.69]",homeless
4,3,-0.22,-0.71,"[-1.0, -0.46, -0.56, -0.4, -0.05]",homeless
4,4,0.07,0.48,"[1.0, -0.88, -0.56, -0.06, 0.36]",homeless
5,0,0.16,1.0,"[1.0, -0.91, -0.25, 1.0, 1.0]",homeless
5,1,-0.42,-0.31,"[-1.0, 0.76, 0.56, -0.75, -0.56]",homeless
5,2,1.0,0.21,"[-1.0, -0.34, 1.0, 0.42, 0.31]",homeless
5,3,0.29,-0.47,"[1.0, -0.93, 0.5, -0.9, -0.37]",homeless
5,4,-0.18,-0.31,"[-1.0, -0.54, -0.5, -0.56, 0.09]",homeless
6,0,-0.51,0.0,"[-1.0, -0.07, -0.38, -0.79, -0.82]",homeless
6,1,-0.98,-0.51,"[-1.0, -0.4, -0.5, -0.97, -1.0]",homeless
6,2,-0.43,-0.05,"[1.0, -0.93, -0.19, 0.01, -0.07]",homeless
6,3,0.44,-0.11,"[-1.0, -0.16, -0.19, -0.35, 0.08]",homeless
6,4,0.25,-0.99,"[1.0, -0.98, 0.5, -1.0, -0.92]",homeless
7,0,1.0,1.0,"[-1.0, -0.34, 1.0, 0.42, 0.31]",homeless
7,1,0.29,-1.0,"[1.0, -0.93, 0.5, -0.9, -0.37]",homeless
7,2,-0.67,-0.03,"[-1.0, -0.55, 0.62, -0.99, -0.71]",homeless
7,3,-0.51,-0.85,"[-1.0, -0.07, -0.38, -0.79, -0.82]",homeless
7,4,0.25,-0.47,"[1.0, -0.98, 0.5, -1.0, -0.92]",homeless
8,0,0.25,1.0,"[1.0, -0.98, 0.5, -1.0, -0.92]",homeless
8,1,-0.23,-0.25,"[-1.0, -0.52, -0.19, -0.33, -0.81]",homeless
8,2,1.0,0.21,"[-1.0, -0.34, 1.0, 0.42, 0.31]",homeless
8,3,-0.98,-0.5,"[-1.0, -0.4, -0.5, -0.97, -1.0]",homeless
8,4,-0.1,0.02,"[1.0, -0.95, 0.0, -0.07, -0.19]",homeless
9,0,0.29,1.0,"[1.0, -0.93, 0.5, -0.9, -0.37]",homeless
9,1,-0.44,-0.03,"[-1.0, 0.51, -0.38, -0.6, -0.6]",homeless
9,2,-0.83,-0.85,"[-1.0, -0.28, -0.69, -0.79, -0.62]",homeless
9,3,-0.1,0.21,"[1.0, -0.95, 0.0, -0.07, -0.19]",homeless
9,4,-0.22,-0.11,"[-1.0, -0.46, -0.56, -0.4, -0.05]",homeless
