run,trial,ytrue,ypred,x,name
0,0,-0.72,0.1,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
0,1,-0.24,-0.88,"[-1.0, -0.95, -0.98, -0.7, -0.94]",lake
0,2,-0.52,-0.36,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
0,3,-0.03,-0.68,"[-0.99, -0.99, -0.69, -0.93, -0.95]",lake
0,4,-0.24,-0.14,"[-1.0, -0.97, -0.73, -0.84, -0.96]",lake
1,0,0.86,1.0,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
1,1,1.0,-0.21,"[0.41, -0.86, -1.0, -0.89, -0.09]",lake
1,2,-0.17,-0.95,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
1,3,-0.52,-0.47,"[-1.0, -1.0, -0.59, -0.87, -0.97]",lake
1,4,-0.52,-0.53,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
2,0,-0.72,0.1,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
2,1,-0.03,-0.72,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
2,2,-0.52,-0.47,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
2,3,-1.0,0.72,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
2,4,-0.66,-0.79,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
3,0,-0.38,0.01,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
3,1,0.1,-0.13,"[-0.31, 1.0, -1.0, -0.91, 1.0]",lake
3,2,-0.52,-0.73,"[-1.0, -0.99, -0.95, -0.89, -0.98]",lake
3,3,-0.24,-0.53,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
3,4,0.52,-0.47,"[-0.42, -0.93, -1.0, -0.87, -0.88]",lake
4,0,1.0,0.53,"[0.41, -0.86, -1.0, -0.89, -0.09]",lake
4,1,-0.72,-1.0,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
4,2,-0.24,-0.47,"[-1.0, -0.97, -0.73, -0.84, -0.96]",lake
4,3,-0.03,-0.36,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
4,4,-0.52,-0.47,"[-1.0, -1.0, -0.59, -0.87, -0.97]",lake
5,0,-0.79,0.0,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
5,1,-0.03,-0.64,"[-1.0, -0.99, -0.77, -1.0, -0.79]",lake
5,2,-1.0,-0.13,"[-1.0, -0.99, -0.89, -0.98, -0.91]",lake
5,3,-0.31,-0.79,"[-1.0, -0.99, -0.62, -1.0, -1.0]",lake
5,4,-0.24,-0.99,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
6,0,-0.38,0.01,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
6,1,-0.03,-0.96,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
6,2,-0.52,-0.05,"[-1.0, -0.99, -0.78, -0.82, -0.98]",lake
6,3,-0.1,-0.47,"[-1.0, -0.96, -0.98, -0.71, -0.94]",lake
6,4,-0.79,-0.25,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
7,0,-0.52,0.1,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
7,1,0.52,-0.47,"[-0.42, -0.93, -1.0, -0.87, -0.88]",lake
7,2,-1.0,-0.53,"[-1.0, -0.99, -0.89, -0.98, -0.91]",lake
7,3,-0.1,-0.56,"[-1.0, -0.95, -0.98, -0.71, -0.97]",lake
7,4,-0.59,-0.01,"[-1.0, -0.99, -0.93, -0.72, -0.87]",lake
8,0,-0.38,0.01,"[-0.99, -0.98, -0.98, 0.12, 0.32]",lake
8,1,-0.52,-0.99,"[-1.0, -0.99, -0.96, -0.7, -0.92]",lake
8,2,-0.31,-0.62,"[-1.0, -0.82, -0.95, -0.66, -1.0]",lake
8,3,-0.17,-0.48,"[-1.0, -1.0, -0.91, -0.85, -0.98]",lake
8,4,-0.1,-0.53,"[-1.0, -0.96, -0.98, -0.71, -0.94]",lake
9,0,-0.52,1.0,"[-1.0, -1.0, -0.59, -0.87, -0.97]",lake
9,1,-0.1,-0.68,"[-1.0, -0.95, -0.98, -0.71, -0.97]",lake
9,2,-0.66,-0.18,"[-1.0, -0.94, -1.0, -0.58, -0.92]",lake
9,3,0.86,-0.78,"[1.0, -0.5, -1.0, -0.89, 0.32]",lake
9,4,-0.38,-0.48,"[-1.0, -1.0, -0.98, -0.76, -0.98]",lake
10,0,0.1,1.0,"[-0.31, 1.0, -1.0, -0.91, 1.0]",lake
10,1,-0.24,-0.1,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
10,2,-0.03,-0.47,"[-1.0, -0.99, -0.77, -1.0, -0.79]",lake
10,3,-0.72,0.17,"[-1.0, -0.99, -0.64, 0.8, -1.0]",lake
10,4,-0.17,-0.36,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
11,0,-0.24,0.01,"[-0.99, -0.98, -0.95, -0.89, -0.91]",lake
11,1,-1.0,-0.24,"[-1.0, -1.0, 1.0, 0.1, 0.92]",lake
11,2,-0.17,-0.24,"[-1.0, -1.0, -0.95, -0.83, -0.95]",lake
11,3,1.0,-0.95,"[0.41, -0.86, -1.0, -0.89, -0.09]",lake
11,4,-0.79,-0.14,"[-1.0, -1.0, -0.86, -0.8, -1.0]",lake
12,0,-0.03,0.1,"[-1.0, -0.9, -0.95, -0.71, -0.89]",lake
12,1,-0.03,-0.02,"[-1.0, -0.99, -0.84, -0.85, -0.92]",lake
12,2,-0.17,-0.03,"[-1.0, -1.0, -0.91, -0.85, -0.98]",lake
12,3,-0.72,-0.03,"[-1.0, -0.99, -0.91, 1.0, -0.99]",lake
12,4,-0.17,-0.03,"[-1.0, -0.99, -0.98, -0.88, -0.62]",lake
13,0,0.1,1.0,"[-0.31, 1.0, -1.0, -0.91, 1.0]",lake
