run,trial,ytrue,ypred,x,name
0,0,0.0,0.09,"[-1.0, 0.07, 0.08, 0.45, 0.44]",mortality
0,1,0.13,0.0,"[-0.83, -0.54, 0.21, 0.03, -0.16]",mortality
0,2,0.49,0.0,"[-0.49, 1.0, -1.0, -0.27, 0.72]",mortality
0,3,0.46,0.33,"[-0.66, 0.47, 0.1, 0.21, 0.36]",mortality
0,4,-0.2,0.17,"[-0.98, -0.37, -0.04, 0.82, 0.0]",mortality
1,0,-0.5,0.0,"[-0.81, -0.79, 0.46, 0.94, -0.8]",mortality
1,1,0.31,0.1,"[-0.74, -0.61, 0.37, -0.09, 0.04]",mortality
1,2,0.1,0.93,"[-0.27, 0.33, 0.9, 1.0, 0.24]",mortality
1,3,0.24,0.31,"[0.89, -0.61, -0.1, -0.03, 0.04]",mortality
1,4,0.41,-0.5,"[-0.81, 0.14, -0.8, -0.64, 0.68]",mortality
2,0,-0.7,1.0,"[-0.86, -0.73, 0.85, 0.88, -1.0]",mortality
2,1,-0.19,0.1,"[-0.58, -0.58, 0.23, 0.45, 0.04]",mortality
2,2,-0.04,-0.31,"[-0.36, -0.9, 0.1, -0.64, 0.24]",mortality
2,3,-0.1,-0.7,"[-0.89, -0.38, 0.26, 0.45, 0.04]",mortality
2,4,0.06,-0.04,"[-0.77, -1.0, 0.24, -0.52, 0.36]",mortality
3,0,0.32,0.4,"[-0.7, -0.4, 0.29, 0.39, 0.4]",mortality
3,1,0.46,0.31,"[-0.66, 0.47, 0.1, 0.21, 0.36]",mortality
3,2,-0.56,0.02,"[-0.07, -0.63, 0.99, 0.88, -0.96]",mortality
3,3,-0.01,0.03,"[-0.83, -0.84, -0.06, 0.45, 0.12]",mortality
3,4,-0.11,0.21,"[-0.56, -0.86, 0.43, 0.88, 0.32]",mortality
4,0,-0.35,0.0,"[-0.95, -0.99, 0.09, 0.27, 0.4]",mortality
4,1,-0.59,-0.1,"[-0.82, -0.94, 0.36, 0.88, -0.4]",mortality
4,2,0.28,-0.31,"[-0.73, -0.86, 0.0, 0.21, 0.0]",mortality
4,3,-0.04,0.09,"[-0.36, -0.9, 0.1, -0.64, 0.24]",mortality
4,4,-0.25,-0.37,"[-0.93, -0.91, -0.41, -0.21, 0.2]",mortality
