run,trial,ytrue,ypred,x,name
0,0,-0.33,1,"[-0.59, -0.5, -0.55, -0.63, -0.36]",pitcher
0,1,-0.99,1,"[-0.96, -0.95, -0.94, -0.96, -1.0]",pitcher
0,2,-0.91,1,"[-0.89, -0.9, -0.89, -0.9, -0.91]",pitcher
0,3,-0.98,1,"[-0.92, -0.92, -0.92, -0.96, -0.91]",pitcher
0,4,-0.91,1,"[-0.93, -0.78, -0.92, -0.96, -0.73]",pitcher
1,0,-0.94,1,"[-0.94, -0.93, -0.92, -0.94, -1.0]",pitcher
1,1,-0.19,1,"[-0.06, -0.12, -0.02, -0.07, 0.0]",pitcher
1,2,-0.86,1,"[-0.9, -0.76, -0.87, -0.93, -0.82]",pitcher
1,3,-0.71,1,"[-0.93, -0.68, -0.88, -0.96, -0.55]",pitcher
1,4,-0.17,1,"[-0.41, -0.36, -0.2, -0.47, -0.18]",pitcher
2,0,0.05,1,"[-0.78, -0.13, -0.73, -0.78, -0.09]",pitcher
2,1,-0.59,1,"[-0.72, -0.67, -0.72, -0.73, -0.55]",pitcher
2,2,-0.1,1,"[-0.51, -0.47, -0.48, -0.52, -0.27]",pitcher
2,3,-0.37,1,"[-0.64, -0.24, -0.59, -0.63, -0.27]",pitcher
2,4,-0.24,1,"[-0.8, -0.77, -0.78, -0.78, -0.82]",pitcher
3,0,-0.17,1,"[-0.66, -0.69, -0.63, -0.61, -0.45]",pitcher
3,1,-1.0,1,"[-0.94, -0.94, -0.95, -0.96, -0.91]",pitcher
3,2,-0.33,1,"[0.04, -0.05, 0.17, -0.02, 0.18]",pitcher
3,3,-0.4,1,"[-0.74, -0.76, -0.71, -0.75, -0.73]",pitcher
3,4,-0.6,1,"[-0.75, -0.69, -0.73, -0.76, -0.73]",pitcher
4,0,-0.74,1,"[-0.77, -0.72, -0.7, -0.77, -0.64]",pitcher
4,1,-0.4,1,"[-0.74, -0.76, -0.71, -0.75, -0.73]",pitcher
4,2,-0.99,1,"[-0.96, -0.95, -0.94, -0.96, -1.0]",pitcher
4,3,-0.17,1,"[-0.41, -0.36, -0.2, -0.47, -0.18]",pitcher
4,4,-0.73,1,"[-0.86, -0.53, -0.79, -0.89, -0.73]",pitcher
5,0,-0.98,1.0,"[-0.98, -0.87, -0.98, -0.96, -1.0]",pitcher
5,1,-0.95,-0.83,"[-0.89, -0.83, -0.83, -0.9, -0.82]",pitcher
5,2,1.0,-0.5,"[-0.41, -0.51, -0.48, -0.39, -0.45]",pitcher
5,3,-0.75,-0.87,"[-0.87, -0.65, -0.85, -0.84, -0.64]",pitcher
5,4,-0.45,-0.65,"[-0.65, -0.01, -0.64, -0.71, 0.0]",pitcher
6,0,-0.73,0.1,"[-0.9, -0.55, -0.92, -0.86, -0.82]",pitcher
6,1,-0.73,-0.64,"[-0.86, -0.53, -0.79, -0.89, -0.73]",pitcher
6,2,-0.97,-0.73,"[-0.96, -0.95, -0.95, -0.96, -1.0]",pitcher
