run,trial,ytrue,ypred,x,name
0,0,-0.36,1,"[-0.71, -0.05, 0.12, -0.47, -0.36]",reactor
0,1,-0.45,1,"[0.52, 0.17, 0.02, -0.2, -0.1]",reactor
0,2,0.23,1,"[0.71, -0.02, -0.27, 0.2, 0.28]",reactor
0,3,0.5,1,"[0.62, 0.15, -0.22, 0.47, 0.19]",reactor
0,4,-0.39,1,"[-0.81, -0.78, -0.12, 0.07, -0.36]",reactor
1,0,-0.97,1,"[-0.24, -0.14, 0.37, -0.2, -0.96]",reactor
1,1,-0.81,1,"[0.05, 0.27, 0.76, -1.0, -0.66]",reactor
1,2,-0.25,1,"[0.33, -0.32, -0.9, -0.07, -0.28]",reactor
1,3,-0.3,1,"[-1.0, 0.81, 1.0, -0.6, -0.92]",reactor
1,4,-0.45,1,"[0.52, 0.17, 0.02, -0.2, -0.1]",reactor
2,0,-0.42,1,"[-0.43, -0.01, -0.85, -0.2, -0.19]",reactor
2,1,-0.16,1,"[-0.24, 0.76, -0.27, 0.2, -0.1]",reactor
2,2,-0.25,1,"[0.33, -0.32, -0.9, -0.07, -0.28]",reactor
2,3,-0.81,1,"[0.05, 0.27, 0.76, -1.0, -0.66]",reactor
2,4,-0.26,1,"[-0.52, 0.08, -0.46, 0.07, -0.36]",reactor
3,0,0.5,1,"[0.62, 0.15, -0.22, 0.47, 0.19]",reactor
3,1,0.07,1,"[0.43, 0.36, 0.27, -0.47, -0.19]",reactor
3,2,-0.25,1,"[0.33, -0.32, -0.9, -0.07, -0.28]",reactor
3,3,-0.14,1,"[-0.33, 0.76, -0.61, 0.33, -0.1]",reactor
3,4,-0.76,1,"[-0.33, 0.08, -0.8, -0.73, -1.0]",reactor
4,0,-0.14,1,"[-0.33, 0.76, -0.61, 0.33, -0.1]",reactor
4,1,0.43,1,"[-0.81, -0.0, 0.32, -0.33, -0.41]",reactor
4,2,-0.76,1,"[-0.33, 0.08, -0.8, -0.73, -1.0]",reactor
4,3,-0.45,1,"[0.52, 0.17, 0.02, -0.2, -0.1]",reactor
4,4,0.19,1,"[-0.71, 0.08, -0.32, 0.6, 0.49]",reactor
5,0,-0.14,1.0,"[1.0, -0.33, 0.76, 0.33, -0.1]",reactor
5,1,0.45,1.36,"[1.0, 1.0, 1.0, 0.73, 1.0]",reactor
5,2,-0.16,-0.04,"[1.0, -0.24, 0.76, 0.2, -0.1]",reactor
5,3,-0.76,-0.86,"[-1.0, -0.33, 0.08, -0.73, -1.0]",reactor
5,4,-0.97,-1.14,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
6,0,-0.25,0.31,"[1.0, 0.33, -0.32, -0.07, -0.28]",reactor
6,1,-0.39,-0.39,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
6,2,-0.81,-0.17,"[1.0, -0.52, 0.08, -0.33, -0.49]",reactor
6,3,-0.26,-0.39,"[1.0, -0.52, 0.08, 0.07, -0.36]",reactor
6,4,-0.58,-0.58,"[1.0, -0.71, -0.69, -0.33, -0.28]",reactor
7,0,-0.39,1.0,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
7,1,0.19,0.53,"[1.0, -0.71, 0.08, 0.6, 0.49]",reactor
7,2,0.5,0.67,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
7,3,0.23,0.31,"[1.0, 0.71, -0.02, 0.2, 0.28]",reactor
7,4,-0.45,0.31,"[1.0, 0.52, 0.17, -0.2, -0.1]",reactor
8,0,0.5,0.8,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
8,1,-0.81,-0.5,"[1.0, -0.52, 0.08, -0.33, -0.49]",reactor
8,2,-0.21,0.5,"[1.0, 0.81, -0.76, 0.6, 0.66]",reactor
8,3,0.19,0.31,"[1.0, -0.71, 0.08, 0.6, 0.49]",reactor
8,4,-0.25,-0.14,"[1.0, 0.33, -0.32, -0.07, -0.28]",reactor
9,0,0.29,0.31,"[1.0, 0.14, 0.81, -0.47, -0.58]",reactor
9,1,0.23,0.47,"[1.0, 0.71, -0.02, 0.2, 0.28]",reactor
9,2,-0.14,0.21,"[1.0, -0.33, 0.76, 0.33, -0.1]",reactor
9,3,-0.26,-0.21,"[1.0, -0.52, 0.08, 0.07, -0.36]",reactor
9,4,1.0,0.03,"[1.0, -1.0, 0.88, 0.07, 0.02]",reactor
10,0,1.0,1.0,"[1.0, -1.0, 0.88, 0.07, 0.02]",reactor
10,1,0.23,0.0,"[1.0, 0.71, -0.02, 0.2, 0.28]",reactor
10,2,-0.26,-0.21,"[1.0, -0.52, 0.08, 0.07, -0.36]",reactor
10,3,0.45,1.0,"[1.0, 1.0, 1.0, 0.73, 1.0]",reactor
10,4,-0.76,-0.45,"[-1.0, -0.33, 0.08, -0.73, -1.0]",reactor
11,0,-0.26,1.0,"[1.0, -0.52, 0.08, 0.07, -0.36]",reactor
11,1,0.5,0.39,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
11,2,-0.45,0.31,"[1.0, 0.52, 0.17, -0.2, -0.1]",reactor
11,3,-0.81,-0.62,"[1.0, -0.52, 0.08, -0.33, -0.49]",reactor
11,4,-0.3,-1.62,"[1.0, -1.0, 0.81, -0.6, -0.92]",reactor
12,0,0.19,0.9,"[1.0, -0.71, 0.08, 0.6, 0.49]",reactor
12,1,0.5,0.4,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
12,2,-0.76,-0.14,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
12,3,-0.77,-0.14,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
12,4,0.29,0.48,"[1.0, 0.14, 0.81, -0.47, -0.58]",reactor
13,0,-0.58,0.5,"[1.0, -0.71, -0.69, -0.33, -0.28]",reactor
13,1,0.5,0.48,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
13,2,-0.3,-0.76,"[1.0, -1.0, 0.81, -0.6, -0.92]",reactor
13,3,-0.14,0.14,"[1.0, -0.33, 0.76, 0.33, -0.1]",reactor
13,4,-0.77,-0.16,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
14,0,-0.97,0.1,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
14,1,-0.81,-0.47,"[1.0, -0.52, 0.08, -0.33, -0.49]",reactor
14,2,-0.58,-0.84,"[1.0, -0.71, -0.69, -0.33, -0.28]",reactor
14,3,-0.78,-0.77,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
14,4,0.29,-0.14,"[1.0, 0.14, 0.81, -0.47, -0.58]",reactor
15,0,-0.59,0.0,"[1.0, -0.71, -0.83, -0.2, -0.62]",reactor
15,1,-0.67,-0.36,"[1.0, -1.0, -1.0, -0.07, -0.36]",reactor
15,2,-0.16,0.37,"[1.0, -0.24, 0.76, 0.2, -0.1]",reactor
15,3,-0.3,-0.71,"[1.0, -1.0, 0.81, -0.6, -0.92]",reactor
15,4,-0.81,-0.04,"[-1.0, 0.05, 0.27, -1.0, -0.66]",reactor
16,0,-0.36,0.1,"[1.0, -0.71, -0.05, -0.47, -0.36]",reactor
16,1,-0.78,-0.66,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
16,2,-0.77,-0.78,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
16,3,0.5,0.19,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
16,4,-0.39,-0.36,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
17,0,-0.14,1.0,"[1.0, -0.33, 0.76, 0.33, -0.1]",reactor
17,1,0.29,-0.86,"[1.0, 0.14, 0.81, -0.47, -0.58]",reactor
17,2,0.5,0.11,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
17,3,1.0,-0.04,"[1.0, -1.0, 0.88, 0.07, 0.02]",reactor
17,4,0.19,0.21,"[1.0, -0.71, 0.08, 0.6, 0.49]",reactor
18,0,-0.25,0.31,"[1.0, 0.33, -0.32, -0.07, -0.28]",reactor
18,1,-0.67,-0.58,"[1.0, -1.0, -1.0, -0.07, -0.36]",reactor
18,2,-0.59,-1.14,"[1.0, -0.71, -0.83, -0.2, -0.62]",reactor
18,3,-0.39,-0.52,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
18,4,-0.97,-0.54,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
19,0,-1.0,0.1,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
19,1,-0.76,-1.0,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
19,2,-0.21,0.76,"[1.0, 0.81, -0.76, 0.6, 0.66]",reactor
19,3,-0.78,-0.53,"[-1.0, 0.05, 0.27, -0.33, -0.66]",reactor
19,4,-0.76,-1.0,"[-1.0, -0.33, 0.08, -0.73, -1.0]",reactor
20,0,0.32,0.31,"[1.0, 0.14, 0.81, -0.47, -0.58]",reactor
20,1,0.36,0.98,"[1.0, 0.9, 0.1, 1.0, 0.92]",reactor
20,2,-0.58,-0.14,"[1.0, -0.71, -0.69, -0.33, -0.28]",reactor
20,3,-0.45,0.14,"[1.0, 0.52, 0.17, -0.2, -0.1]",reactor
20,4,-1.0,-0.18,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
21,0,0.45,1.0,"[1.0, 1.0, 1.0, 0.73, 1.0]",reactor
21,1,-0.21,0.21,"[1.0, 0.81, -0.76, 0.6, 0.66]",reactor
21,2,0.5,0.06,"[1.0, 0.62, 0.15, 0.47, 0.19]",reactor
21,3,-0.76,-0.14,"[1.0, -0.81, -0.78, 0.07, -0.36]",reactor
21,4,0.19,0.14,"[1.0, -0.71, 0.08, 0.6, 0.49]",reactor
22,0,-0.59,0.0,"[1.0, -0.71, -0.83, -0.2, -0.62]",reactor
22,1,-1.0,-0.47,"[-1.0, -0.24, -0.14, -0.2, -0.96]",reactor
22,2,-0.42,-0.14,"[1.0, -0.43, -0.01, -0.2, -0.19]",reactor
22,3,-0.58,-0.66,"[1.0, -0.71, -0.69, -0.33, -0.28]",reactor
22,4,-0.81,-0.76,"[-1.0, 0.05, 0.27, -1.0, -0.66]",reactor
23,0,0.07,1.0,"[1.0, 0.43, 0.36, -0.47, -0.19]",reactor
23,1,-0.81,-0.02,"[-1.0, 0.05, 0.27, -1.0, -0.66]",reactor
