run,trial,ytrue,ypred,x,name
0,0,0.05,0.31,"[-0.72, 0.36, -0.9, -0.28, -0.29]",rebellion
0,1,-0.48,0.11,"[-0.15, -0.36, -0.76, 0.5, -0.59]",rebellion
0,2,-0.57,0.05,"[0.31, 0.36, -0.91, 0.28, 0.57]",rebellion
0,3,-1.0,-0.13,"[-0.96, -1.0, 0.67, -0.46, -0.09]",rebellion
0,4,-0.14,0.0,"[-0.75, 0.68, -0.76, -0.18, -0.08]",rebellion
1,0,0.0,1.0,"[-0.51, 0.6, -0.87, 0.83, 0.7]",rebellion
1,1,0.05,1.0,"[-0.72, 0.36, -0.9, -0.28, -0.29]",rebellion
1,2,1.0,0.1,"[-0.98, 0.6, -0.61, -0.57, 0.0]",rebellion
1,3,-0.86,0.0,"[-0.05, 0.44, -0.88, 0.18, -0.16]",rebellion
1,4,-0.95,-0.47,"[-0.23, -0.04, -0.85, 0.03, -0.72]",rebellion
2,0,-0.48,0.53,"[0.54, 0.52, -0.98, 0.11, 0.65]",rebellion
2,1,-0.95,-0.57,"[-0.23, -0.04, -0.85, 0.03, -0.72]",rebellion
2,2,-0.48,-0.47,"[-0.63, 0.52, -0.88, -0.15, -0.34]",rebellion
2,3,-0.43,-0.95,"[-0.62, 0.28, -0.8, 0.28, -0.9]",rebellion
2,4,-0.67,-0.48,"[0.05, 0.28, -0.96, 0.09, 0.05]",rebellion
3,0,0.33,0.12,"[-0.53, 0.84, -0.96, 0.42, -0.34]",rebellion
3,1,-0.86,0.17,"[-0.87, 0.92, -0.82, -0.01, -0.16]",rebellion
3,2,-0.57,0.21,"[0.31, 0.36, -0.91, 0.28, 0.57]",rebellion
3,3,-0.29,0.21,"[-0.79, 0.76, -0.88, 0.64, -0.27]",rebellion
3,4,-0.76,-0.47,"[-0.8, 0.28, -0.94, -0.97, -1.0]",rebellion
4,0,-0.29,0.09,"[-0.79, 0.76, -0.88, 0.64, -0.27]",rebellion
4,1,0.0,0.53,"[-0.51, 0.6, -0.87, 0.83, 0.7]",rebellion
4,2,-0.48,-0.77,"[-0.63, 0.52, -0.88, -0.15, -0.34]",rebellion
4,3,-0.76,-0.71,"[-0.19, 0.36, -0.88, 0.36, -0.66]",rebellion
4,4,-0.76,-1.0,"[-0.8, 0.28, -0.94, -0.97, -1.0]",rebellion
5,0,-0.14,0.0,"[-0.75, 0.68, -0.76, -0.18, -0.08]",rebellion
5,1,0.52,0.84,"[-0.03, 0.68, -0.94, 0.93, 0.89]",rebellion
5,2,-0.48,0.21,"[0.54, 0.52, -0.98, 0.11, 0.65]",rebellion
5,3,-0.48,-0.14,"[-0.15, -0.36, -0.76, 0.5, -0.59]",rebellion
5,4,-0.43,-0.14,"[-0.62, 0.28, -0.8, 0.28, -0.9]",rebellion
6,0,-0.62,1.0,"[-0.0, 0.76, -0.89, 0.26, 0.31]",rebellion
6,1,-0.14,-0.11,"[-0.75, 0.68, -0.76, -0.18, -0.08]",rebellion
6,2,-0.43,-0.64,"[-0.62, 0.28, -0.8, 0.28, -0.9]",rebellion
6,3,1.0,-0.17,"[-0.98, 0.6, -0.61, -0.57, 0.0]",rebellion
6,4,-0.67,-0.37,"[-0.19, 0.84, -0.93, -0.73, 0.43]",rebellion
7,0,-0.67,0.5,"[-0.19, 0.84, -0.93, -0.73, 0.43]",rebellion
7,1,0.33,-0.21,"[-0.62, 1.0, -0.93, -0.45, 0.14]",rebellion
7,2,-0.48,-0.67,"[-1.0, 0.76, -0.81, 0.13, -0.5]",rebellion
7,3,0.33,0.17,"[-0.53, 0.84, -0.96, 0.42, -0.34]",rebellion
7,4,-0.48,-0.67,"[-0.63, 0.52, -0.88, -0.15, -0.34]",rebellion
8,0,-0.86,0.53,"[-0.05, 0.44, -0.88, 0.18, -0.16]",rebellion
8,1,-0.76,-0.99,"[-0.8, 0.28, -0.94, -0.97, -1.0]",rebellion
8,2,0.52,0.68,"[1.0, 0.52, -0.91, 0.26, 0.85]",rebellion
8,3,0.33,-0.79,"[-0.53, 0.84, -0.96, 0.42, -0.34]",rebellion
8,4,0.05,-0.36,"[-0.72, 0.36, -0.9, -0.28, -0.29]",rebellion
9,0,-0.57,0.5,"[0.31, 0.36, -0.91, 0.28, 0.57]",rebellion
