run,trial,ytrue,ypred,x,name
0,0,0.0,1,"[-0.42, -0.72, -0.04, -0.81, -0.43]",whitewine
0,1,-0.33,1,"[-0.52, -0.78, -0.17, -0.76, -0.57]",whitewine
0,2,0.0,1,"[0.03, -0.84, -0.3, -0.79, -0.65]",whitewine
0,3,0.0,1,"[0.0, -0.83, -0.29, -0.77, -0.45]",whitewine
0,4,-0.33,1,"[-0.35, -0.71, -0.05, -0.82, -0.55]",whitewine
1,0,0.0,1,"[0.06, -0.87, -0.6, -0.75, -0.75]",whitewine
1,1,0.0,1,"[-0.48, -0.59, -0.48, -0.73, -0.76]",whitewine
1,2,0.0,1,"[-0.26, -0.68, -0.16, -0.77, -0.65]",whitewine
1,3,-0.33,1,"[-0.32, -0.66, -0.52, -0.7, -0.61]",whitewine
1,4,0.33,1,"[0.03, -0.77, -0.24, -0.77, -0.84]",whitewine
2,0,0.0,1,"[-0.48, -0.7, -0.44, -0.83, -0.67]",whitewine
2,1,0.0,1,"[-0.16, -0.69, -0.33, -0.83, -0.73]",whitewine
2,2,0.0,1,"[-0.03, -0.72, -0.43, -0.83, -0.39]",whitewine
2,3,0.0,1,"[-0.1, -0.8, -0.38, -0.53, -0.8]",whitewine
2,4,0.0,1,"[-0.45, -0.6, -0.17, -0.73, -0.57]",whitewine
3,0,-0.33,1,"[-0.74, -0.59, -0.33, -0.79, -0.69]",whitewine
3,1,0.33,1,"[-0.06, -0.8, -0.61, -0.86, -0.69]",whitewine
3,2,0.33,1,"[0.39, -0.81, -0.59, -0.82, -0.31]",whitewine
3,3,-0.33,1,"[-0.55, -0.67, -0.52, -0.74, -0.37]",whitewine
3,4,0.0,1,"[-0.03, -0.85, -0.36, -0.74, -0.86]",whitewine
4,0,0.33,1,"[-0.68, -0.51, -0.33, -0.76, -0.82]",whitewine
4,1,0.0,1,"[-0.13, -0.67, -0.41, -0.77, -0.76]",whitewine
4,2,0.0,1,"[0.16, -0.83, -0.43, -0.77, -0.63]",whitewine
4,3,-0.33,1,"[-0.32, -0.79, -0.54, -0.79, -0.55]",whitewine
4,4,0.33,1,"[0.55, -0.85, -0.58, -0.88, -0.33]",whitewine
5,0,0.0,0.0,"[0.1, -0.8, -0.59, -0.8, -0.41]",whitewine
5,1,0.33,0.0,"[0.29, -0.8, -0.46, -0.85, -0.49]",whitewine
5,2,0.33,0.33,"[0.29, -0.79, -0.34, -0.87, -0.55]",whitewine
5,3,0.0,-0.67,"[-0.52, -0.61, -0.34, -0.73, -0.73]",whitewine
5,4,0.0,0.0,"[-0.32, -0.82, -0.26, -0.79, -0.84]",whitewine
6,0,0.33,0.53,"[0.48, -0.91, -0.22, -0.86, -0.63]",whitewine
6,1,0.0,-0.58,"[-0.65, -0.63, -0.38, -0.77, -0.76]",whitewine
6,2,0.0,0.17,"[-0.16, -0.69, -0.29, -0.83, -0.69]",whitewine
6,3,-0.33,0.0,"[-0.23, -0.8, -0.91, -0.78, -0.65]",whitewine
6,4,0.0,-0.33,"[0.48, -0.84, -0.4, -0.91, -0.31]",whitewine
7,0,-0.33,0.0,"[-0.58, -0.64, -0.62, -0.47, -0.39]",whitewine
7,1,0.0,-0.67,"[-0.23, -0.67, -0.33, -0.83, -0.53]",whitewine
7,2,-0.33,0.17,"[0.1, -0.85, -0.82, -0.74, -0.75]",whitewine
7,3,0.0,-0.33,"[-0.32, -0.67, -0.58, -0.66, -0.27]",whitewine
7,4,0.67,-0.33,"[0.19, -0.75, -0.43, -0.79, -0.45]",whitewine
8,0,0.33,0.0,"[-0.26, -0.76, -0.48, -0.86, -0.47]",whitewine
8,1,0.33,0.37,"[0.52, -0.92, -0.57, -0.88, -0.43]",whitewine
8,2,0.0,0.33,"[-0.23, -0.68, -0.3, -0.74, -0.65]",whitewine
8,3,0.67,0.33,"[0.19, -0.75, -0.43, -0.79, -0.45]",whitewine
8,4,0.0,0.0,"[-0.16, -0.77, -0.32, -0.88, -0.59]",whitewine
9,0,-0.33,0.0,"[-0.48, -0.69, -0.21, -0.76, -0.53]",whitewine
9,1,0.0,-0.31,"[-0.39, -0.7, -0.29, -0.72, -0.35]",whitewine
9,2,0.0,-0.33,"[0.29, -0.89, -0.75, -0.82, -0.73]",whitewine
9,3,0.0,0.0,"[-0.03, -0.82, -0.6, -0.79, -0.78]",whitewine
9,4,0.33,0.0,"[-0.23, -0.76, -0.45, -0.76, -0.8]",whitewine
10,0,-0.33,0.02,"[-0.52, -0.54, -0.07, -0.76, -0.51]",whitewine
10,1,0.0,-0.39,"[-0.23, -0.68, -0.35, -0.74, -0.61]",whitewine
